DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
Confirmed,"","Alberta","Canada",4413146,336518,0,0.00,318,1716.18,388,302.51,467,1976.47,536,39.68,602,1616.87,683,220.34
Confirmed,"","British Columbia","Canada",5110917,219725,0,0.05,311,776.80,387,404.13,443,1210.71,527,39.28,598,728.23,683,242.50
Confirmed,"","Manitoba","Canada",1377517,68359,0,0.00,305,400.20,406,56.45,482,459.05,556,26.48,658,154.18,683,88.91
Confirmed,"","New Brunswick","Canada",779992,8784,0,0.00,362,26.29,533,0.22,625,97.57,646,42.82,683,89.28,683,89.28
Confirmed,"","Newfoundland and Labrador","Canada",521365,2065,0,0.00,66,15.63,211,0.01,387,34.24,424,0.23,613,18.62,683,1.57
Confirmed,"","Northwest Territories","Canada",44904,2069,0,0.00,469,5.61,551,0.00,575,23.07,591,10.56,621,41.12,683,1.39
Confirmed,"","Nova Scotia","Canada",977456,8394,0,0.00,98,63.06,182,0.02,471,157.17,540,0.80,657,36.47,683,20.37
Confirmed,"","Nunavut","Canada",38780,674,0,0.00,303,12.58,357,0.00,393,4.06,439,0.00,464,8.59,683,0.20
Confirmed,"","Ontario","Canada",14711827,631455,0,0.13,352,3484.70,391,1070.73,450,4307.87,541,153.11,683,911.35,683,911.35
Confirmed,"","Prince Edward Island","Canada",158158,373,0,0.00,67,1.86,192,0.00,403,2.31,551,0.00,604,4.17,683,0.44
Confirmed,"","Quebec","Canada",8537674,454500,0,0.00,100,899.53,208,76.05,347,2540.28,544,53.88,683,1231.07,683,1231.07
Confirmed,"","Repatriated Travellers","Canada",-1,13,0,0.00,307,1.46,683,0.00,,,,,,,,
Confirmed,"","Saskatchewan","Canada",1181665,81361,0,0.00,356,312.81,415,133.94,446,263.45,541,27.56,611,478.64,683,69.58
Confirmed,"","Yukon","Canada",41078,1541,0,0.00,307,1.90,419,0.00,525,17.43,592,0.96,664,26.25,683,5.41
