DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
Confirmed,"","","Albania",2877800,201722,0,0.00,322,786.59,343,462.29,384,1084.13,520,3.12,597,866.70,683,344.78
Confirmed,"","","Andorra",77265,18063,0,0.00,65,29.05,162,0.00,277,100.21,513,4.97,680,172.17,683,159.93
Confirmed,"","","Austria",9006400,1200143,0,0.00,295,7069.23,380,1347.71,430,3222.20,525,77.99,668,13618.61,683,7672.87
Confirmed,"","","Belarus",9449321,663743,0,0.00,114,946.04,203,97.54,328,1898.60,517,668.12,639,2031.71,683,1764.37
Confirmed,"","","Bosnia and Herzegovina",3280815,277491,0,0.00,288,1568.89,377,274.52,432,1589.85,529,8.32,657,815.28,683,439.45
Confirmed,"","","Bulgaria",6948445,703651,0,0.00,300,3323.18,362,439.98,427,3624.14,534,60.46,644,4656.72,683,1662.62
Confirmed,"","","Croatia",4105267,631315,0,0.00,322,3516.72,390,319.38,450,2184.12,518,72.31,659,5280.68,683,4180.75
Confirmed,"","","Cyprus",1207361,136932,0,0.00,456,829.35,507,57.41,542,988.93,618,102.22,679,565.35,683,521.44
Confirmed,"","","Czech Republic",10708982,2242123,0,0.00,277,12195.47,317,3649.04,406,12093.42,517,124.62,674,18082.42,683,16875.40
Confirmed,"","","Denmark",5946704,514936,0,0.00,330,3387.78,427,431.17,478,1036.30,518,204.27,679,4415.98,683,4300.55
Confirmed,"","","Estonia",1326539,225056,0,0.00,71,54.51,157,0.88,419,1455.65,520,25.80,647,1727.82,683,480.58
Confirmed,"","","Finland",5540718,191712,0,0.03,420,693.29,510,74.07,567,763.40,606,399.71,677,1187.12,683,907.12
Confirmed,"","","France",68450411,8378063,0,0.57,287,47993.92,314,10849.71,432,37602.93,520,1953.34,683,45455.52,683,45455.52
Confirmed,"","","Greece",10423055,967041,0,0.00,297,2566.56,363,491.76,437,2988.59,517,395.17,666,6703.10,683,5530.27
Confirmed,"","","Vatican City",809,27,0,0.00,64,0.50,83,0.05,99,0.24,253,0.00,266,1.52,683,0.00
Confirmed,"","","Iceland",341250,18385,0,0.00,66,68.86,181,-7.52,262,81.65,399,0.82,662,160.92,683,87.95
Confirmed,"","","Ireland",4937796,593912,0,0.00,82,811.20,152,8.77,351,5655.72,510,315.45,683,4946.79,683,4946.79
Confirmed,"","","Kosovo",1810366,161136,0,0.00,302,748.24,344,201.19,432,905.93,511,9.25,579,1916.69,683,7.96
Confirmed,"","","Latvia",1886202,257408,0,0.00,352,948.44,438,437.51,473,633.32,537,37.36,641,2420.97,683,700.29
Confirmed,"","","Liechtenstein",38137,4907,0,0.00,335,37.95,391,1.46,450,10.03,512,0.52,679,51.75,683,44.56
Confirmed,"","","Lithuania",2722290,479799,0,0.00,333,2880.96,412,453.95,465,1179.67,526,32.14,644,2876.36,683,1809.97
Confirmed,"","","Luxembourg",625976,90914,0,0.00,64,155.44,219,-120.56,285,654.60,515,12.83,678,351.94,683,281.18
Confirmed,"","","Moldova",4033962,366395,0,0.00,320,1446.31,362,466.55,426,1587.36,501,45.32,637,1604.99,683,479.16
Confirmed,"","","Monaco",39244,3888,0,0.00,378,23.27,492,0.55,553,15.32,608,1.84,681,24.19,683,23.83
Confirmed,"","","Montenegro",628062,158496,0,0.00,295,595.93,333,364.27,411,562.55,517,16.61,582,615.21,683,223.38
Confirmed,"","","Norway",5421242,284807,0,0.00,422,931.34,538,167.97,589,1418.15,628,414.90,681,3236.86,683,3170.44
Confirmed,"","","Poland",37846605,3670862,0,0.00,292,24416.76,378,5282.79,431,27648.48,534,80.15,683,24596.20,683,24596.20
Confirmed,"","","Portugal",10196707,1166297,0,0.00,368,12331.81,471,340.91,544,3241.48,621,593.33,683,3693.22,683,3693.22
Confirmed,"","","Romania",19237682,1786170,0,0.00,299,8378.57,381,2388.62,429,5609.07,531,43.11,636,14787.15,683,1316.76
Confirmed,"","","San Marino",33938,6160,0,0.00,86,13.22,189,0.00,429,38.12,502,0.01,678,29.12,683,22.12
Confirmed,"","","Serbia",8737370,1263972,0,0.00,315,7218.66,365,1608.94,421,4907.74,522,79.42,616,6951.61,683,1781.53
Confirmed,"","","Slovakia",5459643,1230413,0,0.00,346,6322.74,361,4465.16,399,5569.75,531,38.12,683,11560.77,683,11560.77
Confirmed,"","","Slovenia",2078932,430309,0,0.00,280,1746.75,291,1381.26,351,1842.96,525,28.93,662,3240.15,683,1790.41
Confirmed,"","","Switzerland",8654617,1047760,0,0.00,286,7984.06,521,116.57,595,2963.88,628,909.48,678,7616.50,683,5888.51
Confirmed,"","","Turkey",84339067,8904628,0,0.00,323,119581.79,367,6330.18,450,58689.51,529,5049.26,628,30142.67,683,21478.89
Confirmed,"","","Italy",61672582,5107264,0,0.01,296,34607.97,377,11934.65,422,22535.71,522,722.64,683,15322.56,683,15322.56
Confirmed,"","","Russia",147098080,9626418,0,0.01,108,10674.18,216,4752.11,336,28136.58,471,8148.08,652,38954.63,683,32370.80
Confirmed,"","","Sweden",10487192,1212206,0,0.01,350,6619.71,382,2882.85,446,6100.89,535,232.62,679,1820.99,683,1493.60
Confirmed,"","","Germany",94088743,6211136,0,0.03,330,24419.95,389,7326.21,449,20448.64,524,579.02,674,57473.49,683,52265.55
Confirmed,"","","Spain",55364462,5205918,0,0.00,68,7485.43,100,-654.71,367,35669.95,405,-2888.14,546,25630.41,683,7586.28
Confirmed,"","","Belgium",24879002,1832407,0,0.00,279,16361.28,344,1648.82,429,4798.23,514,482.38,676,17743.53,683,12416.98
Confirmed,"","","Netherlands",17854317,2792972,0,0.00,333,11171.26,520,652.68,540,9445.92,614,1744.71,672,22158.47,683,22065.89
Confirmed,"","","Ukraine",47107395,3668865,0,0.00,310,13990.83,381,3925.37,440,15499.94,523,943.33,648,22935.53,683,11842.95
Confirmed,"","","United Kingdom",66991013,10536483,0,0.00,350,57480.91,481,1760.38,542,44303.32,557,26475.51,683,45887.67,683,45887.67
