DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
Confirmed,"","Andaman and Nicobar Islands","India",417036,7656,0,0.00,202,124.12,373,0.20,464,56.39,569,0.59,607,2.69,683,0.94
Confirmed,"","Andhra Pradesh","India",53903393,2068744,0,0.00,197,9647.87,208,8900.89,222,10518.13,390,59.17,480,21439.01,683,164.49
Confirmed,"","Arunachal Pradesh","India",1570458,55237,0,0.00,247,233.22,415,0.20,491,386.20,514,253.68,545,432.55,683,3.33
Confirmed,"","Assam","India",35607039,614722,0,0.00,202,2541.85,213,1911.53,224,2710.24,388,10.86,485,5659.96,683,142.18
Confirmed,"","Bihar","India",124799926,720885,0,0.00,202,3549.91,375,109.94,383,192.09,409,33.47,466,13616.37,683,2.98
Confirmed,"","Chandigarh","India",1158473,65167,0,0.00,236,311.63,386,20.64,470,827.94,558,3.36,578,340.40,683,5.13
Confirmed,"","Chhattisgarh","India",29436231,1005751,0,0.00,238,3084.73,363,507.48,372,1055.53,402,237.26,458,15324.26,683,31.17
Confirmed,"","Dadra and Nagar Haveli and Daman and Diu","India",615724,10688,0,0.00,168,25.40,173,21.01,199,49.07,381,0.05,457,214.55,683,0.00
Confirmed,"","Delhi","India",18710922,1410957,0,0.00,153,3223.47,187,1020.72,292,6926.36,385,129.53,457,24295.18,683,73.23
Confirmed,"","Goa","India",1586250,178825,0,0.00,204,406.79,212,344.77,239,553.80,391,46.19,471,3175.88,683,45.05
Confirmed,"","Gujarat","India",63872398,806935,0,0.00,242,1419.75,283,950.90,311,1537.12,384,257.60,462,13931.77,683,44.13
Confirmed,"","Haryana","India",28204692,766795,0,0.00,237,2496.18,269,1134.02,303,2451.65,380,80.01,469,14027.42,683,20.84
Confirmed,"","Himachal Pradesh","India",7451954,227084,0,0.00,238,370.87,273,215.02,310,774.95,394,26.12,474,4194.99,683,67.68
Confirmed,"","Jammu and Kashmir","India",13606320,333499,0,0.00,236,1471.40,381,58.44,471,4531.54,632,79.84,683,183.53,683,183.53
Confirmed,"","Jharkhand","India",38593948,347955,0,0.00,224,1711.37,390,40.58,463,6146.26,604,7.93,640,26.72,683,19.42
Confirmed,"","Karnataka","India",67562686,2992179,0,0.00,236,8817.48,245,8119.23,259,9735.75,390,404.00,470,45089.21,683,382.36
Confirmed,"","Kerala","India",35699443,5163345,0,0.00,261,8300.64,420,1864.29,471,37259.96,517,11515.14,587,28785.54,683,4706.46
Confirmed,"","Ladakh","India",274289,21627,0,0.00,145,69.54,162,7.60,292,81.39,407,2.06,452,193.39,683,27.27
Confirmed,"","Lakshadweep","India",64429,10402,0,0.00,412,17.60,433,3.87,459,137.26,467,126.99,485,239.61,683,1.85
Confirmed,"","Madhya Pradesh","India",85358965,783490,0,0.00,241,2505.99,284,711.83,308,1630.59,383,180.01,459,12933.27,683,14.65
Confirmed,"","Maharashtra","India",123144223,6549610,0,0.00,236,21620.66,330,2613.07,349,3649.67,373,2494.74,455,64412.88,683,619.21
Confirmed,"","Manipur","India",3091544,125065,0,0.00,269,298.71,417,2.76,493,825.14,517,559.51,548,1103.20,683,30.72
Confirmed,"","Meghalaya","India",3366710,84542,0,0.00,256,189.85,404,1.26,486,877.75,537,414.43,553,604.63,683,19.50
Confirmed,"","Mizoram","India",1239244,136397,0,0.00,289,46.10,409,0.97,552,925.47,572,538.00,615,1343.11,683,265.56
Confirmed,"","Nagaland","India",2249695,32015,0,0.00,194,125.01,242,60.88,301,114.69,423,0.30,479,292.85,683,3.86
Confirmed,"","Odisha","India",46356333,1047159,0,0.00,242,4252.60,394,66.88,404,81.98,413,66.77,483,11329.66,683,224.30
Confirmed,"","Puducherry","India",1413542,128960,0,0.00,218,478.60,232,406.86,245,485.61,404,18.75,478,1789.01,683,30.26
Confirmed,"","Punjab","India",30141372,600805,0,0.00,238,2527.87,281,436.02,308,722.36,368,189.13,473,8270.46,683,39.37
Confirmed,"","Rajasthan","India",81032688,943779,0,0.00,256,2158.35,284,1780.08,307,2997.47,393,92.79,468,17372.93,683,20.41
Confirmed,"","Sikkim","India",690251,32359,0,0.00,243,58.76,387,1.46,492,290.94,517,115.57,550,244.75,683,23.31
Confirmed,"","Tamil Nadu","India",77841267,2696480,0,0.00,188,6379.25,197,5727.41,220,6060.87,395,453.87,485,34538.48,683,725.90
Confirmed,"","Telangana","India",39362732,673090,0,0.00,195,2110.41,206,1677.47,220,2649.78,387,141.76,461,7602.84,683,188.24
Confirmed,"","Tripura","India",4169794,84010,0,0.00,227,549.77,410,0.82,485,725.25,518,370.26,537,457.15,683,9.74
Confirmed,"","Unknown","India",-1,-9434,0,0.00,147,26.92,172,-403.92,341,380.67,348,-380.67,683,0.00,683,0.00
Confirmed,"","Uttar Pradesh","India",237882724,1699344,0,0.00,232,6347.83,285,1933.06,305,2260.75,393,92.10,459,33656.37,683,15.37
Confirmed,"","Uttarakhand","India",11250858,342852,0,0.00,238,1247.24,279,315.18,324,614.75,399,7.07,471,7232.38,683,17.54
Confirmed,"","West Bengal","India",99609303,1610427,0,0.00,276,4064.20,391,170.60,477,19812.15,586,641.08,645,910.42,683,638.06
