DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
Confirmed,"Baker","Oregon","US",16124,2220,0,0.00,343,6.93,372,1.20,449,7.10,485,0.70,601,21.37,683,3.90
Confirmed,"Benton","Oregon","US",93052,6157,0,0.00,354,23.36,407,6.28,468,15.68,525,1.16,630,28.77,683,10.80
Confirmed,"Clackamas","Oregon","US",418187,33071,0,0.00,314,149.90,406,18.24,464,92.69,526,14.07,586,158.84,683,56.17
Confirmed,"Clatsop","Oregon","US",40224,2639,0,0.00,247,11.14,270,0.46,346,7.72,406,0.60,571,27.68,683,4.34
Confirmed,"Columbia","Oregon","US",52354,4387,0,0.00,355,12.15,419,1.64,438,10.39,527,2.15,570,26.67,683,13.98
Confirmed,"Coos","Oregon","US",64487,5776,0,0.00,401,17.36,499,0.72,585,43.64,672,12.48,680,23.82,683,21.23
Confirmed,"Crook","Oregon","US",24404,3433,0,0.00,357,10.39,405,0.77,471,9.83,521,1.28,630,26.49,683,15.81
Confirmed,"Curry","Oregon","US",22925,1940,0,0.00,327,6.19,367,0.58,421,5.08,476,0.78,573,31.07,683,4.05
Confirmed,"Deschutes","Oregon","US",197692,23828,0,0.00,315,65.61,419,9.34,462,78.20,527,7.34,585,155.98,683,54.21
Confirmed,"Douglas","Oregon","US",110980,13537,0,0.00,302,25.16,339,8.57,388,26.03,454,7.12,577,170.06,683,28.45
Confirmed,"Gilliam","Oregon","US",1912,185,0,0.00,351,0.84,433,0.00,576,1.95,622,0.28,661,1.58,683,0.05
Confirmed,"Grant","Oregon","US",7199,1091,0,0.00,304,6.69,377,0.03,448,9.59,525,0.05,610,14.14,683,1.14
Confirmed,"Harney","Oregon","US",7393,1213,0,0.00,300,3.13,326,0.74,384,4.24,413,0.21,610,15.20,683,2.65
Confirmed,"Hood River","Oregon","US",23382,2167,0,0.00,137,4.89,157,0.10,330,17.45,515,0.24,622,13.37,683,5.81
Confirmed,"Jackson","Oregon","US",220944,25126,0,0.00,318,76.68,422,24.78,456,46.68,526,9.09,581,230.46,683,43.46
Confirmed,"Jefferson","Oregon","US",24658,4245,0,0.00,185,8.56,222,1.89,322,25.32,429,1.14,612,22.19,683,8.10
Confirmed,"Josephine","Oregon","US",87487,10288,0,0.00,355,34.58,405,9.80,422,18.33,500,3.91,574,123.76,683,22.53
Confirmed,"Klamath","Oregon","US",68238,9118,0,0.00,318,40.38,405,4.33,458,44.03,518,2.16,621,54.82,683,13.42
Confirmed,"Lake","Oregon","US",7868,1057,0,0.00,305,4.85,337,1.02,383,6.52,494,0.18,601,11.55,683,1.22
Confirmed,"Lane","Oregon","US",382067,30448,0,0.00,322,93.53,417,11.87,454,61.51,531,11.18,574,219.13,683,62.97
Confirmed,"Lincoln","Oregon","US",49962,3662,0,0.00,139,18.02,237,0.08,319,10.32,393,0.97,585,36.12,683,7.89
Confirmed,"Linn","Oregon","US",129749,14873,0,0.00,317,48.00,407,5.48,466,35.78,506,10.92,587,111.30,683,40.13
Confirmed,"Malheur","Oregon","US",30571,5933,0,0.00,172,25.18,271,9.62,316,18.54,529,0.05,601,38.70,683,1.64
Confirmed,"Marion","Oregon","US",347818,40180,0,0.00,320,161.12,432,27.72,458,85.29,526,14.86,585,206.17,683,53.87
Confirmed,"Morrow","Oregon","US",11603,1978,0,0.00,191,8.76,274,0.86,354,7.25,422,0.20,567,12.30,683,0.67
Confirmed,"Multnomah","Oregon","US",812855,60767,0,0.00,313,358.83,406,27.79,458,150.37,527,17.59,587,210.67,683,88.96
Confirmed,"Polk","Oregon","US",86085,8332,0,0.00,353,29.80,421,3.95,453,13.72,501,4.54,583,49.67,683,21.71
Confirmed,"Sherman","Oregon","US",1779,193,0,0.00,193,0.74,269,0.00,351,1.78,479,0.00,647,1.77,683,0.42
Confirmed,"Tillamook","Oregon","US",27036,2182,0,0.00,331,8.07,379,0.90,434,4.91,501,-0.41,584,28.04,683,3.18
Confirmed,"Umatilla","Oregon","US",77950,15148,0,0.00,188,51.34,242,8.59,350,70.51,436,4.00,614,72.74,683,5.00
Confirmed,"Unassigned","Oregon","US",-1,0,0,0.00,79,0.02,87,-0.02,683,0.00,683,0.00,,,,
Confirmed,"Union","Oregon","US",26835,3408,0,0.00,146,27.36,186,0.31,305,14.26,484,0.80,575,27.65,683,4.01
Confirmed,"Wallowa","Oregon","US",7208,764,0,0.00,382,2.53,416,0.05,587,8.64,601,3.63,622,7.74,683,1.35
Confirmed,"Wasco","Oregon","US",26681,3187,0,0.00,319,13.31,405,0.24,455,5.32,507,0.51,581,21.21,683,4.46
Confirmed,"Washington","Oregon","US",601592,42394,0,0.00,316,230.43,421,31.59,458,94.17,529,11.26,599,168.61,683,77.33
Confirmed,"Wheeler","Oregon","US",1332,114,0,0.00,319,0.57,407,0.00,557,1.35,589,0.11,627,2.94,683,0.00
Confirmed,"Yamhill","Oregon","US",107100,9848,0,0.00,194,13.35,245,3.76,351,35.48,420,3.71,602,59.36,683,17.29
