DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
Confirmed,"","Adygea Republic","Russia",453376,23831,0,0.00,160,41.49,210,17.77,326,101.11,495,7.66,683,100.74,683,100.74
Confirmed,"","Altai Krai","Russia",2350080,104775,0,0.00,174,222.64,231,62.12,297,235.37,499,57.44,669,529.56,683,520.96
Confirmed,"","Altai Republic","Russia",218063,24381,0,0.00,277,172.23,470,3.13,542,55.16,597,28.51,647,55.72,683,34.25
Confirmed,"","Amur Oblast","Russia",798423,47291,0,0.00,151,47.45,204,17.09,294,165.08,458,11.76,683,260.68,683,260.68
Confirmed,"","Arkhangelsk Oblast","Russia",1155027,113541,0,0.00,138,121.97,199,65.23,326,399.80,474,52.81,654,462.61,683,374.35
Confirmed,"","Astrakhan Oblast","Russia",1017514,73364,0,0.00,364,183.42,503,40.54,554,288.81,616,169.08,666,259.75,683,244.49
Confirmed,"","Bashkortostan Republic","Russia",4063293,106366,0,0.00,137,89.10,232,30.51,346,167.85,488,89.33,664,678.00,683,656.86
Confirmed,"","Belgorod Oblast","Russia",1549875,72174,0,0.00,147,75.97,221,41.62,347,187.32,501,60.63,652,348.32,683,337.78
Confirmed,"","Bryansk Oblast","Russia",1210982,87009,0,0.00,338,201.64,477,63.18,533,326.77,598,152.50,655,511.82,683,241.62
Confirmed,"","Buryatia Republic","Russia",984511,69206,0,0.00,306,271.50,470,25.68,528,317.74,600,78.72,669,238.19,683,231.83
Confirmed,"","Chechen Republic","Russia",1436981,27758,0,0.00,322,142.51,480,9.22,575,166.00,603,61.50,649,117.34,683,83.42
Confirmed,"","Chelyabinsk Oblast","Russia",3493036,127187,0,0.00,152,179.04,227,63.05,336,310.71,501,85.53,680,649.48,683,648.22
Confirmed,"","Chukotka Autonomous Okrug","Russia",49347,2796,0,0.00,306,7.70,470,0.12,546,14.01,589,8.41,662,18.98,683,5.52
Confirmed,"","Chuvashia Republic","Russia",1231117,40769,0,0.00,139,80.00,237,25.93,328,129.04,418,41.87,655,178.94,683,147.00
