DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"","","Afghanistan",38928341,157455,0,0.00,134,715.42,250,21.11,317,226.88,402,16.53,516,1810.72,655,17.58,670,48.48,683,28.35
Confirmed,"","","Armenia",2963233,340757,0,0.00,157,608.58,219,140.90,283,2057.57,375,142.53,430,918.55,503,72.70,642,1913.41,683,416.52
Confirmed,"","","Azerbaijan",10139175,596455,0,0.00,322,4141.84,382,132.10,443,2180.87,514,47.30,584,3747.66,619,771.09,652,2192.72,683,1559.63
Confirmed,"","","Bahrain",1701583,277834,0,0.00,155,542.01,193,332.93,235,700.66,305,147.85,388,761.77,409,609.68,490,2791.44,683,31.20
Confirmed,"","","Bangladesh",164689383,1577440,0,0.00,157,3685.71,256,1369.54,308,2178.41,385,371.53,440,6695.20,479,998.89,556,13752.18,683,227.39
Confirmed,"","","Bhutan",771612,2641,0,0.00,219,6.98,289,1.25,339,19.82,416,0.03,492,25.80,500,15.17,531,18.67,683,0.35
Confirmed,"","","Burma",54409794,524456,0,0.00,262,1384.52,290,1087.67,306,1460.22,449,8.00,546,5609.00,579,2635.17,588,3145.88,683,396.70
Confirmed,"","","Cambodia",16718971,120256,0,0.08,466,691.66,480,402.12,498,669.97,508,592.59,530,953.26,584,432.09,612,739.73,683,24.23
Confirmed,"","","Georgia",3989175,865374,0,0.00,318,4273.86,409,292.12,471,1337.02,516,672.25,572,4853.28,613,1596.83,654,4707.00,683,3866.74
Confirmed,"","","Indonesia",273523621,4257718,0,0.00,246,4247.41,284,3266.45,372,12457.69,442,4996.38,453,5322.59,479,3981.59,541,46438.43,683,253.63
Confirmed,"","","Iran",83992953,6134973,0,0.00,69,2799.20,98,1072.62,310,13494.21,340,6037.89,451,23683.12,501,8563.24,569,38221.86,683,3420.69
Confirmed,"","","Iraq",40222503,2084460,0,0.00,229,4343.81,263,3292.90,273,3608.92,361,754.73,454,7576.18,480,3718.31,556,11605.22,683,619.11
Confirmed,"","","Israel",8655541,1345948,0,0.00,70,570.98,117,18.63,247,5794.18,290,627.37,357,8144.94,501,13.78,586,9067.39,683,474.81
Confirmed,"","","Jordan",10203140,975714,0,0.00,301,5312.12,367,851.61,422,8186.28,480,595.42,490,962.17,512,454.83,683,4493.13,683,4493.13
Confirmed,"","","Kazakhstan",18776707,1058811,0,0.00,162,3189.08,254,232.53,369,1461.53,407,791.91,456,2830.87,507,1057.08,560,8080.32,683,763.85
Confirmed,"","","Kuwait",4270562,413492,0,0.00,117,920.73,194,542.16,274,768.35,340,233.13,446,1439.22,479,968.72,528,1761.75,683,27.32
Confirmed,"","","Kyrgyzstan",6524190,183617,0,0.00,179,2060.75,235,70.01,278,530.88,409,43.17,528,1355.27,617,69.70,642,104.18,683,52.92
Confirmed,"","","Laos",7275556,79861,0,0.00,65,0.91,264,0.00,463,76.51,503,5.53,579,346.79,591,188.08,674,1294.73,683,1197.81
Confirmed,"","","Maldives",540542,92208,0,0.00,213,137.67,329,18.29,485,1490.47,552,112.14,589,155.12,624,78.10,653,149.18,683,109.58
Confirmed,"","","Mongolia",3278292,383764,0,0.00,114,10.58,250,0.06,456,1156.47,480,540.76,512,2463.76,556,1161.77,591,3421.68,683,336.88
Confirmed,"","","Nepal",29136808,822605,0,0.14,154,505.00,175,122.42,270,3603.86,414,77.48,475,8731.60,533,1553.20,564,2545.23,683,235.74
Confirmed,"","","Oman",5106622,304601,0,0.00,174,1511.50,211,157.61,258,695.34,341,99.69,446,1238.40,476,587.83,517,1986.42,683,10.31
Confirmed,"","","Papua New Guinea",8947027,35532,0,0.00,201,14.91,295,0.47,432,272.53,465,75.89,477,251.42,580,1.95,639,394.92,683,73.13
Confirmed,"","","Philippines",109581085,2834817,0,0.01,205,4245.04,344,1174.71,445,10378.76,486,5273.97,506,6566.99,538,5082.64,598,20576.06,683,436.89
Confirmed,"","","Qatar",2881060,244223,0,0.00,128,1829.57,331,148.28,445,953.09,531,118.68,575,234.41,630,73.08,681,155.27,683,155.19
Confirmed,"","","Saudi Arabia",34813867,549910,0,0.00,118,2496.67,128,1912.99,146,4140.01,154,3662.55,161,3821.60,349,110.33,524,1351.01,683,31.46
Confirmed,"","","Singapore",5850343,269451,0,0.90,91,906.90,166,175.20,187,375.93,301,6.07,548,142.55,573,53.06,643,3631.20,683,896.22
Confirmed,"","","Sri Lanka",21413250,567683,0,0.08,323,683.34,348,515.04,385,853.49,437,197.95,498,3016.55,532,1357.29,582,5344.71,683,737.29
Confirmed,"","","Taiwan",23816775,16653,0,0.90,61,18.19,115,0.03,313,7.52,391,0.75,490,523.26,653,4.70,681,9.68,683,9.51
Confirmed,"","","Tajikistan",9537642,17492,0,0.00,121,192.66,221,34.34,244,42.96,311,37.95,324,61.30,505,0.00,553,77.49,683,0.00
Confirmed,"","","Thailand",69799978,2144183,0,1.67,66,115.72,146,2.22,374,782.78,406,58.99,493,3680.62,504,2720.90,569,21375.67,683,5814.34
Confirmed,"","","Timor-Leste",1318441,19828,0,0.00,85,2.03,242,0.00,489,178.42,518,49.40,526,59.70,545,35.56,580,295.26,683,0.86
Confirmed,"","","United Arab Emirates",9890400,742316,0,0.12,120,845.05,197,229.74,275,1365.95,292,1171.67,370,3631.58,481,1389.83,508,2113.73,683,60.93
Confirmed,"","","Uzbekistan",33469199,194325,0,0.00,195,721.25,224,329.50,240,600.49,397,33.82,469,390.00,497,233.02,563,912.64,683,220.10
Confirmed,"","","Vietnam",97338583,1309067,0,0.41,194,31.60,242,0.73,375,40.41,425,2.17,586,12929.97,634,3475.35,673,15080.90,683,14134.46
Confirmed,"","","West Bank and Gaza",5101416,461572,0,0.00,315,1961.28,367,492.00,440,2387.40,546,61.71,592,2348.00,612,1692.17,623,4286.46,683,216.17
Confirmed,"","","Yemen",29825968,10025,0,0.00,144,40.43,164,21.00,171,26.96,287,0.14,434,101.43,529,2.40,591,44.48,683,4.96
Confirmed,"","","Japan",133719175,1743872,0,0.85,127,1894.41,138,42.36,355,6187.26,402,1022.19,476,6039.10,515,1456.31,578,22632.67,683,112.02
Confirmed,"","","India",1371753892,34645559,0,0.01,238,92390.12,385,11322.12,468,385345.92,545,38276.86,555,40383.25,575,33627.62,586,41818.93,683,8808.04
Confirmed,"","","Pakistan",211877156,1290280,0,0.00,143,6197.41,221,404.41,318,3147.23,389,1177.88,455,5493.97,515,966.42,559,4650.14,683,379.67
Confirmed,"","","China",1467916324,112166,0,571.77,21,3963.74,103,4.78,187,198.31,247,18.70,363,178.78,472,14.39,563,107.50,683,78.32
Confirmed,"","","Malaysia",36400897,2658925,0,0.00,62,238.17,163,5.47,375,4414.32,431,1251.72,493,7561.89,516,5445.30,581,21463.23,683,5029.96
