DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"","Alabama","US",4959045,848475,0,0.00,176,1811.75,229,868.31,350,4054.09,439,312.73,478,1084.28,514,166.86,586,4587.70,683,492.72
Confirmed,"","Alaska","US",735128,152096,0,0.00,189,101.26,217,68.35,317,683.23,421,132.95,437,187.96,506,27.81,613,1178.19,683,193.16
Confirmed,"","Arizona","US",7350602,1291383,0,0.00,164,3578.31,231,452.44,352,9284.83,503,414.43,584,3188.86,632,2092.76,683,4252.67,683,4252.67
Confirmed,"","Arkansas","US",3035276,533384,0,0.00,185,777.45,207,479.88,351,2901.08,495,151.62,563,2267.58,647,429.69,683,825.58,683,825.58
Confirmed,"","California","US",41183543,5110625,0,0.00,181,9331.00,255,3354.20,330,42915.97,340,38995.98,352,42714.71,508,972.22,576,14913.35,683,5026.37
Confirmed,"","Colorado","US",6276145,839485,0,0.00,94,533.34,142,171.99,301,4928.79,418,965.38,459,1708.91,526,393.26,664,3154.59,683,1743.38
Confirmed,"","Connecticut","US",4508618,425663,0,0.00,89,972.39,164,78.35,321,2617.60,336,1717.08,354,2625.42,512,45.49,678,916.20,683,694.14
Confirmed,"","Delaware","US",1154550,156350,0,0.00,95,200.39,214,56.79,323,796.74,519,20.65,605,457.38,651,249.04,683,590.79,683,590.79
Confirmed,"","District of Columbia","US",1411498,67464,0,0.00,103,180.97,157,33.69,198,76.29,250,39.52,354,295.51,516,9.15,601,248.92,683,98.31
Confirmed,"","Florida","US",21746770,3741377,0,0.00,175,11383.90,252,2299.62,351,15677.21,418,4505.45,449,6299.17,501,1293.85,568,23255.70,683,2531.97
Confirmed,"","Georgia","US",10635766,1639855,0,0.00,87,817.20,114,628.00,184,3637.06,251,1161.32,353,9319.30,516,328.05,584,9056.73,683,892.19
Confirmed,"","Hawaii","US",1617297,88280,0,0.00,218,244.01,280,79.81,351,199.19,391,49.50,435,117.82,517,43.95,585,864.32,683,122.18
Confirmed,"","Idaho","US",2268644,309000,0,0.00,71,93.95,107,23.55,177,541.41,234,242.88,320,1543.42,525,70.99,617,1313.21,683,366.53
Confirmed,"","Illinois","US",12737239,1837425,0,0.00,102,2493.18,147,615.37,296,12075.53,513,226.62,587,4051.33,641,2117.68,679,5914.43,683,4983.27
Confirmed,"","Indiana","US",6767974,1119953,0,0.00,98,673.02,151,332.90,318,6597.15,520,250.57,588,4353.49,641,1613.84,679,4005.48,683,3333.18
Confirmed,"","Iowa","US",3162204,534740,0,0.00,101,510.23,145,281.39,294,4386.02,516,69.39,604,1773.78,626,946.36,681,1776.29,683,1765.49
Confirmed,"","Kansas","US",2925660,475346,0,0.00,301,2796.17,337,1675.90,344,2174.15,494,100.92,598,1549.36,634,794.27,683,1600.86,683,1600.86
Confirmed,"","Kentucky","US",4486855,795631,0,0.00,317,3284.27,338,2162.42,352,3787.23,520,151.02,598,4264.96,652,1162.30,679,2025.17,683,1700.76
Confirmed,"","Louisiana","US",4710823,772986,0,0.00,73,1335.38,106,337.16,181,2136.69,251,496.85,351,3539.49,513,301.72,566,5581.04,683,357.92
Confirmed,"","Maine","US",1452488,123179,0,0.00,357,588.46,393,141.69,449,438.76,530,17.99,617,588.90,628,415.03,666,633.08,683,615.43
Confirmed,"","Maryland","US",6116093,592844,0,0.00,118,1033.42,153,363.54,353,3037.00,519,57.36,611,1223.63,651,699.65,681,1264.82,683,1240.79
Confirmed,"","Massachusetts","US",7105488,945142,0,0.00,93,2331.29,160,205.81,352,6130.37,520,57.69,601,1950.26,642,1298.74,679,3393.03,683,2976.32
Confirmed,"","Michigan","US",9997245,1520048,0,0.00,73,1449.21,146,220.75,301,7378.80,391,1093.77,445,7592.63,518,148.03,680,8327.61,683,7401.63
Confirmed,"","Minnesota","US",5655502,928606,0,0.00,300,6673.51,391,777.36,444,2102.52,526,82.11,623,2948.22,638,2236.49,665,4192.66,683,3333.67
Confirmed,"","Mississippi","US",3006828,515659,0,0.00,185,1273.21,233,461.04,326,2113.91,338,1877.91,352,2282.76,513,116.14,574,3521.02,683,272.54
Confirmed,"","Missouri","US",6651694,926490,0,0.00,298,4983.28,338,3089.04,350,3993.05,451,-383.57,561,2836.78,641,964.27,683,2884.01,683,2884.01
Confirmed,"","Montana","US",1078221,192361,0,0.00,68,19.48,105,0.61,300,1203.10,341,380.98,351,524.48,527,47.44,622,904.51,683,228.51
Confirmed,"","Nebraska","US",1965752,314319,0,0.00,102,390.68,152,146.61,299,2259.87,510,29.69,596,762.50,638,473.65,679,962.43,683,787.97
Confirmed,"","Nevada","US",3136067,460210,0,0.00,178,1113.42,234,293.33,321,2655.52,340,1888.92,351,2355.22,492,197.09,599,1172.62,683,478.88
Confirmed,"","New Hampshire","US",1421012,166060,0,0.00,102,90.66,211,18.44,321,820.71,408,219.12,443,429.08,523,20.08,679,1154.91,683,916.20
Confirmed,"","New Jersey","US",9145858,1272255,0,0.00,75,3506.17,212,324.68,356,5977.16,395,3026.66,431,4429.39,527,204.71,683,3788.70,683,3788.70
Confirmed,"","New Mexico","US",2775944,321082,0,0.00,185,307.62,230,97.44,304,2363.32,526,60.13,584,820.93,607,615.35,679,1461.14,683,1233.86
Confirmed,"","New York","US",19759052,2774838,0,0.00,76,9452.67,213,608.23,353,15938.44,518,328.10,604,5211.70,642,3721.98,683,8984.49,683,8984.49
Confirmed,"","North Carolina","US",10657570,1545470,0,0.00,175,1962.48,205,1246.01,352,8250.22,524,298.39,599,7019.07,655,1689.42,679,2405.08,683,2043.44
Confirmed,"","North Dakota","US",764268,164777,0,0.00,118,68.26,151,29.09,296,1350.94,383,59.39,441,154.14,527,11.66,618,613.39,683,455.76
Confirmed,"","Ohio","US",11716783,1730947,0,0.00,88,787.09,139,396.31,322,11496.72,528,237.86,601,6976.77,644,3429.02,683,7573.34,683,7573.34
Confirmed,"","Oklahoma","US",3979152,670809,0,0.00,187,1005.54,207,670.02,353,4032.07,494,114.20,584,2661.22,654,600.60,679,950.97,683,770.52
Confirmed,"","Oregon","US",4233857,394899,0,0.00,188,338.53,232,187.57,316,1476.43,408,277.36,460,810.81,527,153.42,584,2225.31,683,702.17
Confirmed,"","Pennsylvania","US",12904988,1778586,0,0.00,78,1577.75,146,428.39,324,10201.65,410,2495.07,448,4800.07,526,177.50,683,7879.49,683,7879.49
Confirmed,"","Puerto Rico","US",3211042,212375,0,0.00,248,732.02,260,452.57,332,842.09,406,168.43,450,1055.04,520,36.56,577,899.58,683,138.98
Confirmed,"","Rhode Island","US",1107840,195148,0,0.00,91,364.11,159,43.14,319,1245.04,337,723.31,350,1206.97,529,15.88,679,735.67,683,620.12
Confirmed,"","South Carolina","US",5173231,921984,0,0.00,175,1870.72,210,793.33,245,1062.63,254,827.36,359,4769.52,513,88.61,588,5364.99,683,645.88
Confirmed,"","South Dakota","US",887401,168482,0,0.00,108,116.32,152,55.16,295,1379.73,511,8.62,599,466.73,627,304.38,679,490.25,683,406.94
Confirmed,"","Tennessee","US",6906135,1323964,0,0.00,186,2313.07,231,1291.72,329,8832.89,521,84.24,596,8122.08,652,968.48,679,1585.34,683,1340.39
Confirmed,"","Texas","US",29053552,4353158,0,0.00,176,10067.06,230,3658.02,243,6278.83,262,4378.03,355,22216.78,494,1334.17,596,18082.88,683,3294.89
Confirmed,"","Utah","US",3392774,602770,0,0.00,301,3242.62,338,2136.93,351,3091.05,494,216.68,598,1637.83,626,1311.47,662,1648.52,683,1084.00
Confirmed,"","Vermont","US",660765,52821,0,0.00,74,38.11,191,4.18,353,165.65,399,103.67,434,178.59,526,3.93,683,577.03,683,577.03
Confirmed,"","Virginia","US",8567806,977226,0,0.00,126,1059.43,147,515.45,197,1100.01,250,789.37,360,5761.15,511,138.22,601,3603.39,683,1392.96
Confirmed,"","Washington","US",7634872,781377,0,0.00,177,857.44,231,405.66,321,3115.19,412,691.80,456,1412.89,527,330.04,598,3409.40,683,1311.49
Confirmed,"","West Virginia","US",1808581,300674,0,0.00,348,1465.12,408,248.22,431,408.41,528,43.20,601,1865.98,672,597.73,682,1157.34,683,1156.45
