DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
Confirmed,"","","Algeria",43851043,211471,0,0.00,117,184.71,138,108.86,185,609.13,258,142.04,307,1047.75,428,102.30,553,1450.30,639,80.12,681,186.10,683,185.80
Confirmed,"","","Angola",32866268,65258,0,0.00,278,246.46,345,63.15,359,90.86,392,27.53,488,273.81,529,97.85,551,146.77,562,120.21,618,510.88,683,16.99
Confirmed,"","","Benin",12123198,24864,0,0.00,107,25.77,118,-19.40,153,53.33,253,4.49,407,89.85,538,2.93,589,483.58,606,135.72,613,220.79,683,1.40
Confirmed,"","","Botswana",2351624,195325,0,0.00,268,248.55,329,94.28,405,428.75,473,173.14,562,2170.37,595,652.55,603,1060.22,625,197.76,653,727.61,683,41.89
Confirmed,"","","Burkina Faso",20903278,16029,0,0.00,77,20.14,143,0.86,236,35.46,280,8.31,334,171.07,508,0.96,630,30.80,642,4.92,677,52.18,683,24.67
Confirmed,"","","Burundi",11890781,20443,0,0.00,174,12.84,239,0.50,360,35.16,382,13.62,449,49.63,469,20.40,566,207.86,591,93.35,611,291.51,683,4.46
Confirmed,"","","Cabo Verde",555988,38448,0,0.00,177,50.66,187,34.43,264,101.40,339,20.94,360,85.27,391,43.26,462,288.12,558,32.99,593,99.28,683,13.32
Confirmed,"","","Cameroon",26545864,107176,0,0.00,149,331.99,253,24.36,303,123.13,350,38.51,434,1384.94,455,350.03,463,775.46,558,2.80,617,834.49,683,38.20
Confirmed,"","","Central African Republic",4829764,11743,0,0.00,136,93.48,142,78.52,153,94.95,266,0.38,454,60.67,537,0.10,566,456.29,643,4.12,660,9.74,683,4.83
Confirmed,"","","Chad",16425859,5684,0,0.00,107,26.58,198,1.20,264,11.56,307,5.71,355,52.12,380,19.44,394,26.33,639,0.25,683,103.98,683,103.98
Confirmed,"","","Comoros",869594,4540,0,0.00,149,8.83,264,0.87,284,3.92,317,0.71,363,90.46,496,0.91,527,5.49,562,0.53,662,9.97,683,7.28
Confirmed,"","","Congo (Brazzaville)",5518091,18980,0,0.00,177,89.35,210,14.99,225,87.08,259,4.72,337,72.16,373,10.93,460,70.15,590,6.67,639,129.80,683,8.21
Confirmed,"","","Congo (Kinshasa)",89561404,58334,0,0.00,152,149.87,245,16.18,356,214.78,442,38.16,456,81.37,478,38.09,513,341.98,537,257.76,548,300.05,683,15.79
Confirmed,"","","Cote d'Ivoire",26378274,61824,0,0.00,148,307.93,206,51.42,227,86.44,291,14.78,368,245.11,397,110.78,426,410.41,517,22.42,586,265.70,683,16.96
Confirmed,"","","Djibouti",988001,13507,0,0.00,85,71.94,102,9.76,130,154.88,225,0.45,272,9.75,375,1.66,438,176.84,525,0.78,616,79.05,683,0.71
Confirmed,"","","Egypt",102334403,363173,0,0.00,145,1535.46,210,131.33,220,191.67,250,118.16,344,1309.31,378,539.75,479,1180.26,552,41.31,665,936.01,683,917.63
Confirmed,"","","Equatorial Guinea",1402985,13601,0,0.00,161,125.73,180,0.00,191,196.00,269,0.96,405,42.02,473,0.27,484,85.72,552,4.12,606,104.64,683,2.21
Confirmed,"","","Eritrea",3546427,7463,0,0.00,145,10.44,201,0.44,341,45.49,366,17.08,391,31.07,465,8.28,513,66.98,589,1.17,672,21.09,683,18.09
Confirmed,"","","Eswatini",1160164,47457,0,0.00,203,83.96,283,10.04,362,225.59,435,4.35,446,117.46,466,2.44,564,715.45,659,2.28,683,152.55,683,152.55
Confirmed,"","","Ethiopia",114963583,372215,0,0.00,214,1518.19,291,423.83,313,542.18,363,376.85,436,2085.61,528,78.06,583,1372.95,598,1203.42,605,1347.74,683,136.10
Confirmed,"","","Gabon",2225728,37472,0,0.00,146,122.73,171,43.67,185,95.10,270,5.07,411,157.59,439,118.15,447,158.68,551,8.72,619,218.48,683,28.62
Confirmed,"","","Gambia",2416663,9992,0,0.00,208,106.78,278,1.54,314,4.46,334,0.78,391,26.21,407,11.29,418,34.54,500,1.29,559,106.08,683,0.43
Confirmed,"","","Ghana",31072945,130920,0,0.00,108,287.42,118,135.18,185,719.30,261,34.75,294,151.75,336,89.63,374,764.52,490,38.37,577,526.91,683,0.00
Confirmed,"","","Guinea",13132791,30771,0,0.00,97,81.70,160,40.62,207,88.43,253,31.36,282,62.46,340,15.95,415,146.05,509,12.70,565,161.03,683,0.47
Confirmed,"","","Guinea-Bissau",1967998,6444,0,0.00,107,52.84,185,2.23,198,9.74,334,0.12,393,26.81,481,0.65,576,54.40,641,0.31,660,28.44,683,0.59
Confirmed,"","","Kenya",53771300,255443,0,0.00,192,650.54,238,129.84,295,1053.39,370,116.90,429,1298.95,496,284.39,516,530.42,530,424.92,568,1263.66,683,65.54
Confirmed,"","","Lesotho",2142251,21841,0,0.00,189,30.44,219,7.89,243,23.43,283,2.35,352,299.81,444,0.29,557,84.30,607,0.00,618,782.91,683,10.04
Confirmed,"","","Liberia",5057677,5824,0,0.00,149,20.82,248,0.68,327,11.52,433,0.80,526,131.74,575,2.82,604,19.71,613,-11.83,636,0.93,683,0.18
Confirmed,"","","Libya",6871287,375011,0,0.00,277,983.55,345,446.21,377,742.26,392,366.33,419,932.44,479,217.27,540,2243.38,546,1958.79,554,2610.03,683,467.06
Confirmed,"","","Madagascar",27691019,44761,0,0.00,184,329.71,333,7.36,368,59.46,402,11.48,450,576.43,612,0.00,623,79.79,643,0.64,683,104.67,683,104.67
Confirmed,"","","Malawi",19129955,61978,0,0.00,129,28.77,139,14.49,172,97.89,320,2.41,366,920.18,477,6.71,547,709.73,667,2.86,683,12.84,683,12.84
