DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
Confirmed,"","Alberta","Canada",4413146,336518,0,0.00,93,238.02,131,21.14,318,1716.18,342,861.21,349,1108.46,388,302.51,467,1976.47,536,39.68,602,1616.87,683,220.34
Confirmed,"","British Columbia","Canada",5110917,219725,0,0.05,63,64.24,134,9.21,311,776.80,338,443.35,349,611.27,387,404.13,443,1210.71,527,39.28,598,728.23,683,242.50
Confirmed,"","Manitoba","Canada",1377517,68359,0,0.00,70,15.85,117,0.26,215,36.87,231,16.71,305,400.20,406,56.45,482,459.05,556,26.48,658,154.18,683,88.91
Confirmed,"","New Brunswick","Canada",779992,8784,0,0.00,67,6.81,162,0.02,362,26.29,400,1.71,430,11.81,533,0.22,625,97.57,646,42.82,683,89.28,683,89.28
Confirmed,"","Newfoundland and Labrador","Canada",521365,2065,0,0.00,66,15.63,211,0.01,387,34.24,424,0.23,489,8.67,519,0.23,540,3.71,551,0.12,613,18.62,683,1.57
Confirmed,"","Northwest Territories","Canada",44904,2069,0,0.00,73,0.40,262,0.00,469,5.61,551,0.00,575,23.07,591,10.56,621,41.12,650,5.09,659,13.34,683,1.39
Confirmed,"","Nova Scotia","Canada",977456,8394,0,0.00,82,30.90,91,-17.84,98,63.06,182,0.02,312,13.34,380,0.81,471,157.17,540,0.80,657,36.47,683,20.37
Confirmed,"","Nunavut","Canada",38780,674,0,0.00,303,12.58,357,0.00,370,2.12,381,1.13,393,4.06,439,0.00,464,8.59,581,0.00,628,0.80,683,0.20
Confirmed,"","Ontario","Canada",14711827,631455,0,0.13,87,636.93,203,90.52,352,3484.70,391,1070.73,450,4307.87,541,153.11,597,749.48,643,368.12,683,911.35,683,911.35
Confirmed,"","Prince Edward Island","Canada",158158,373,0,0.00,67,1.86,192,0.00,320,1.38,392,0.06,403,2.31,551,0.00,604,4.17,644,0.16,671,4.09,683,0.44
Confirmed,"","Quebec","Canada",8537674,454500,0,0.00,100,899.53,208,76.05,347,2540.28,417,701.10,444,1541.24,544,53.88,601,771.45,640,432.36,683,1231.07,683,1231.07
Confirmed,"","Repatriated Travellers","Canada",-1,13,0,0.00,307,1.46,683,0.00,,,,,,,,,,,,,,,,
Confirmed,"","Saskatchewan","Canada",1181665,81361,0,0.00,185,31.23,217,2.64,320,271.85,338,165.13,356,312.81,415,133.94,446,263.45,541,27.56,611,478.64,683,69.58
Confirmed,"","Yukon","Canada",41078,1541,0,0.00,66,0.53,261,0.00,307,1.90,332,0.08,350,1.02,419,0.00,525,17.43,592,0.96,664,26.25,683,5.41
