DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
Confirmed,"","","Albania",2877800,201722,0,0.00,213,151.98,222,121.29,322,786.59,343,462.29,384,1084.13,520,3.12,597,866.70,629,433.71,657,573.19,683,344.78
Confirmed,"","","Andorra",77265,18063,0,0.00,65,29.05,162,0.00,277,100.21,333,34.67,361,69.44,513,4.97,546,31.08,594,4.18,680,172.17,683,159.93
Confirmed,"","","Austria",9006400,1200143,0,0.00,64,695.32,131,28.08,295,7069.23,380,1347.71,430,3222.20,525,77.99,600,2012.94,610,1741.72,668,13618.61,683,7672.87
Confirmed,"","","Belarus",9449321,663743,0,0.00,114,946.04,203,97.54,328,1898.60,414,1018.51,439,1237.48,474,1078.81,484,1326.21,517,668.12,639,2031.71,683,1764.37
Confirmed,"","","Bosnia and Herzegovina",3280815,277491,0,0.00,189,298.36,251,203.76,288,1568.89,377,274.52,432,1589.85,529,8.32,603,742.46,632,557.06,657,815.28,683,439.45
Confirmed,"","","Bulgaria",6948445,703651,0,0.00,94,55.63,128,16.14,182,237.04,229,121.72,300,3323.18,362,439.98,427,3624.14,534,60.46,644,4656.72,683,1662.62
Confirmed,"","","Croatia",4105267,631315,0,0.00,67,68.65,134,0.23,219,272.32,246,183.80,322,3516.72,390,319.38,450,2184.12,518,72.31,659,5280.68,683,4180.75
Confirmed,"","","Cyprus",1207361,136932,0,0.00,73,31.47,150,0.81,346,591.32,390,108.71,456,829.35,507,57.41,542,988.93,618,102.22,679,565.35,683,521.44
Confirmed,"","","Czech Republic",10708982,2242123,0,0.00,69,259.24,108,48.00,277,12195.47,317,3649.04,351,11674.72,370,6787.81,406,12093.42,517,124.62,674,18082.42,683,16875.40
Confirmed,"","","Denmark",5946704,514936,0,0.00,74,294.02,166,17.86,330,3387.78,427,431.17,478,1036.30,518,204.27,569,995.16,606,345.73,679,4415.98,683,4300.55
Confirmed,"","","Estonia",1326539,225056,0,0.00,71,54.51,157,0.88,252,52.42,266,31.73,352,586.78,368,502.34,419,1455.65,520,25.80,647,1727.82,683,480.58
Confirmed,"","","Finland",5540718,191712,0,0.03,76,139.81,173,4.77,322,445.26,347,249.04,420,693.29,510,74.07,567,763.40,606,399.71,677,1187.12,683,907.12
Confirmed,"","","France",68450411,8378063,0,0.57,82,6935.63,119,399.14,287,47993.92,314,10849.71,432,37602.93,520,1953.34,568,24517.33,628,4752.73,683,45455.52,683,45455.52
Confirmed,"","","Greece",10423055,967041,0,0.00,297,2566.56,363,491.76,437,2988.59,466,1918.66,473,2252.93,517,395.17,578,3220.63,613,2151.91,666,6703.10,683,5530.27
Confirmed,"","","Vatican City",809,27,0,0.00,45,0.11,52,0.01,64,0.50,83,0.05,99,0.24,253,0.00,266,1.52,683,0.00,,,,
Confirmed,"","","Iceland",341250,18385,0,0.00,66,68.86,181,-7.52,262,81.65,399,0.82,456,13.70,515,1.38,557,114.12,603,28.02,662,160.92,683,87.95
Confirmed,"","","Ireland",4937796,593912,0,0.00,82,811.20,152,8.77,270,1090.50,312,265.22,351,5655.72,510,315.45,578,1806.98,590,1134.97,683,4946.79,683,4946.79
Confirmed,"","","Kosovo",1810366,161136,0,0.00,190,231.49,252,-221.19,259,323.20,267,99.13,302,748.24,344,201.19,432,905.93,511,9.25,579,1916.69,683,7.96
Confirmed,"","","Latvia",1886202,257408,0,0.00,67,28.72,154,0.88,352,948.44,369,755.90,377,779.56,438,437.51,473,633.32,537,37.36,641,2420.97,683,700.29
Confirmed,"","","Liechtenstein",38137,4907,0,0.00,287,31.32,318,17.35,335,37.95,391,1.46,450,10.03,512,0.52,572,10.16,620,1.10,679,51.75,683,44.56
Confirmed,"","","Lithuania",2722290,479799,0,0.00,70,45.82,157,2.46,333,2880.96,392,496.38,402,656.08,412,453.95,465,1179.67,526,32.14,644,2876.36,683,1809.97
Confirmed,"","","Luxembourg",625976,90914,0,0.00,64,155.44,133,3.12,181,96.59,219,-120.56,285,654.60,362,118.95,431,227.35,515,12.83,678,351.94,683,281.18
Confirmed,"","","Moldova",4033962,366395,0,0.00,148,344.97,167,219.74,258,816.08,273,644.18,320,1446.31,362,466.55,426,1587.36,501,45.32,637,1604.99,683,479.16
Confirmed,"","","Monaco",39244,3888,0,0.00,65,3.75,141,0.00,289,15.08,310,3.93,378,23.27,492,0.55,553,15.32,608,1.84,681,24.19,683,23.83
Confirmed,"","","Montenegro",628062,158496,0,0.00,178,135.09,212,48.00,295,595.93,333,364.27,411,562.55,517,16.61,582,615.21,629,359.13,653,593.59,683,223.38
Confirmed,"","","Norway",5421242,284807,0,0.00,65,254.61,174,7.44,351,629.48,383,249.59,422,931.34,538,167.97,589,1418.15,628,414.90,681,3236.86,683,3170.44
Confirmed,"","","Poland",37846605,3670862,0,0.00,138,427.20,167,273.87,292,24416.76,340,8083.13,351,9020.14,378,5282.79,431,27648.48,534,80.15,683,24596.20,683,24596.20
Confirmed,"","","Portugal",10196707,1166297,0,0.00,71,750.97,114,219.83,299,6101.13,337,3314.71,368,12331.81,471,340.91,544,3241.48,621,593.33,683,3693.22,683,3693.22
Confirmed,"","","Romania",19237682,1786170,0,0.00,81,352.80,130,163.17,299,8378.57,341,3482.31,351,4046.91,381,2388.62,429,5609.07,531,43.11,636,14787.15,683,1316.76
Confirmed,"","","San Marino",33938,6160,0,0.00,86,13.22,189,0.00,348,28.36,364,14.60,429,38.12,502,0.01,581,7.53,630,1.37,678,29.12,683,22.12
Confirmed,"","","Serbia",8737370,1263972,0,0.00,83,331.88,129,40.91,185,396.52,245,68.41,315,7218.66,365,1608.94,421,4907.74,522,79.42,616,6951.61,683,1781.53
Confirmed,"","","Slovakia",5459643,1230413,0,0.00,284,2811.35,300,1733.56,333,5792.68,339,5404.54,346,6322.74,361,4465.16,399,5569.75,531,38.12,683,11560.77,683,11560.77
Confirmed,"","","Slovenia",2078932,430309,0,0.00,280,1746.75,291,1381.26,351,1842.96,413,716.07,434,1015.47,525,28.93,603,1011.99,625,820.85,662,3240.15,683,1790.41
Confirmed,"","","Switzerland",8654617,1047760,0,0.00,63,1038.78,133,16.02,286,7984.06,395,1013.67,447,2129.67,521,116.57,595,2963.88,628,909.48,678,7616.50,683,5888.51
Confirmed,"","","Turkey",84339067,8904628,0,0.00,82,4363.22,182,925.90,323,119581.79,367,6330.18,450,58689.51,529,5049.26,564,24039.30,580,19233.14,628,30142.67,683,21478.89
Confirmed,"","","Italy",61672582,5107264,0,0.01,62,5421.36,162,193.57,296,34607.97,377,11934.65,422,22535.71,522,722.64,580,6476.61,629,2539.79,683,15322.56,683,15322.56
Confirmed,"","","Russia",147098080,9626418,0,0.01,108,10674.18,131,8295.63,139,8693.33,216,4752.11,336,28136.58,471,8148.08,538,24395.14,594,17954.92,652,38954.63,683,32370.80
Confirmed,"","","Sweden",10487192,1212206,0,0.01,154,1175.83,219,-207.84,329,6527.90,338,5022.50,350,6619.71,382,2882.85,446,6100.89,535,232.62,679,1820.99,683,1493.60
Confirmed,"","","Germany",94088743,6211136,0,0.03,68,5505.81,170,343.96,330,24419.95,389,7326.21,449,20448.64,524,579.02,593,10313.11,612,7887.03,674,57473.49,683,52265.55
Confirmed,"","","Spain",55364462,5205918,0,0.00,68,7485.43,100,-654.71,284,20373.95,320,6934.67,367,35669.95,405,-2888.14,546,25630.41,628,1593.33,679,9272.31,683,7586.28
Confirmed,"","","Belgium",24879002,1832407,0,0.00,79,1378.38,149,87.00,279,16361.28,344,1648.82,374,2329.57,387,1929.06,429,4798.23,514,482.38,676,17743.53,683,12416.98
Confirmed,"","","Netherlands",17854317,2792972,0,0.00,279,9621.14,310,5075.89,333,11171.26,385,3516.13,455,8132.19,520,652.68,540,9445.92,614,1744.71,672,22158.47,683,22065.89
Confirmed,"","","Ukraine",47107395,3668865,0,0.00,103,471.54,124,382.53,155,886.25,171,760.59,310,13990.83,381,3925.37,440,15499.94,523,943.33,648,22935.53,683,11842.95
Confirmed,"","","United Kingdom",66991013,10536483,0,0.00,81,5284.57,156,283.81,350,57480.91,481,1760.38,542,44303.32,557,26475.51,637,45620.67,655,35310.24,683,45887.67,683,45887.67
