Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Afghanistan","","",0,38928341,37303,1396,95.82,35.86,0.0374
"Armenia","","",0,2963234,47672,923,1608.78,311.48,0.0194
"Azerbaijan","","",0,10139175,38240,564,377.15,55.63,0.0147
"Bahrain","","",0,1701583,66683,236,3918.88,138.69,0.0035
"Bangladesh","","",0,164689383,352894,5022,214.28,30.49,0.0142
"Bhutan","","",0,771611,269,0,34.86,0.00,0.0000
"Burma","","",0,54409793,11702,249,21.51,4.58,0.0213
"Cambodia","","",0,16718971,154,0,0.92,0.00,0.0000
"Georgia","","",0,3989175,5154,27,129.20,6.77,0.0052
"Indonesia","","",0,273523621,268624,9712,98.21,35.51,0.0362
"Iran","","",0,83992953,355650,19784,423.43,235.54,0.0556
"Iraq","","",0,40222503,352037,8959,875.22,222.74,0.0254
"Israel","","",0,8655541,220542,1319,2547.99,152.39,0.0060
"Jordan","","",0,10203140,9496,47,93.07,4.61,0.0049
"Kazakhstan","","",0,18776707,136851,2040,728.83,108.65,0.0149
"Kuwait","","",0,4270563,99867,575,2338.50,134.64,0.0058
"Kyrgyzstan","","",0,6524191,45655,1055,699.78,161.71,0.0231
"Laos","","",0,7275556,3,0,0.04,0.00,0.0000
"Maldives","","",0,540541,9774,33,1808.19,61.05,0.0034
"Mongolia","","",0,3278292,274,0,8.36,0.00,0.0000
"Nepal","","",0,29136808,75322,483,258.51,16.58,0.0064
"Oman","","",0,5106622,95231,903,1864.85,176.83,0.0095
"Papua New Guinea","","",0,8947027,525,7,5.87,0.78,0.0133
"Philippines","","",0,109581085,298306,4824,272.22,44.02,0.0162
"Qatar","","",0,2881060,111932,202,3885.10,70.11,0.0018
"Saudi Arabia","","",0,34813867,310693,4545,892.44,130.55,0.0146
"Singapore","","",0,5850343,41489,11,709.17,1.88,0.0003
"Sri Lanka","","",0,21413250,2729,5,12.74,0.23,0.0018
"Taiwan","","",0,23816775,81,1,0.34,0.04,0.0123
"Tajikistan","","",0,9537642,9594,73,100.59,7.65,0.0076
"Thailand","","",0,69799977,596,5,0.85,0.07,0.0084
"Timor-Leste","","",0,1318442,3,0,0.23,0.00,0.0000
"United Arab Emirates","","",0,9890399,79919,309,808.05,31.24,0.0039
"Uzbekistan","","",0,33469199,53713,451,160.48,13.48,0.0084
"Vietnam","","",0,97338583,811,35,0.83,0.36,0.0432
"West Bank and Gaza","","",0,5101416,38751,296,759.61,58.02,0.0076
"Yemen","","",0,29825968,2025,585,6.79,19.61,0.2889
"Japan","","",0,133719176,85092,1979,63.63,14.80,0.0233
"India","","",0,1371753893,6114205,95484,445.72,69.61,0.0156
"Pakistan","","",0,211877156,297503,6139,140.41,28.97,0.0206
"China","","",0,1467916324,6560,101,0.45,0.07,0.0154
"Malaysia","","",0,36400899,5100,33,14.01,0.91,0.0065
