Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Colombia","Amazonas","",0,76589,2742,116,3580.15,1514.58,0.0423
"Colombia","Antioquia","",0,6407102,112983,2365,1763.40,369.12,0.0209
"Colombia","Arauca","",0,262174,1706,46,650.71,175.46,0.0270
"Colombia","Atlantico","",0,2535517,67383,3061,2657.56,1207.25,0.0454
"Colombia","Bolivar","",0,2070110,28764,769,1389.49,371.48,0.0267
"Colombia","Boyaca","",0,1217376,7138,144,586.34,118.29,0.0202
"Colombia","Caldas","",0,998255,5738,126,574.80,126.22,0.0220
"Colombia","Capital District","",0,7412566,265687,6729,3584.28,907.78,0.0253
"Colombia","Caqueta","",0,401488,8390,295,2089.73,734.77,0.0352
"Colombia","Casanare","",0,420504,2294,46,545.54,109.39,0.0201
"Colombia","Cauca","",0,1464488,9289,257,634.28,175.49,0.0277
"Colombia","Cesar","",0,1200574,19452,578,1620.22,481.44,0.0297
"Colombia","Choco","",0,534826,3994,155,746.78,289.81,0.0388
"Colombia","Cordoba","",0,1784783,23801,1530,1333.55,857.25,0.0643
"Colombia","Cundinamarca","",0,2919059,33062,979,1132.63,335.38,0.0296
"Colombia","Guainia","",0,48113,825,12,1714.71,249.41,0.0145
"Colombia","Guaviare","",0,82767,787,14,950.86,169.15,0.0178
"Colombia","Huila","",0,1100386,11378,351,1034.00,318.98,0.0308
"Colombia","La Guajira","",0,880559,7995,300,907.95,340.69,0.0375
"Colombia","Magdalena","",0,1341746,15186,825,1131.81,614.87,0.0543
"Colombia","Meta","",0,1039722,15860,406,1525.41,390.49,0.0256
"Colombia","Narino","",0,1630592,18240,677,1118.61,415.19,0.0371
"Colombia","Norte de Santander","",0,1491689,15594,886,1045.39,593.96,0.0568
"Colombia","Putumayo","",0,348182,3760,170,1079.89,488.25,0.0452
"Colombia","Quindio","",0,539904,3515,97,651.04,179.66,0.0276
"Colombia","Risaralda","",0,943401,11001,241,1166.10,255.46,0.0219
"Colombia","San Andres y Providencia","",0,61280,1290,13,2105.09,212.14,0.0101
"Colombia","Santander","",0,2184837,30553,1282,1398.41,586.77,0.0420
"Colombia","Sucre","",0,904863,14008,576,1548.08,636.56,0.0411
"Colombia","Tolima","",0,1330186,12141,325,912.73,244.33,0.0268
"Colombia","Unknown","",0,-1,0,-10,0.00,0.00,0.0000
"Colombia","Valle del Cauca","",0,4475885,61564,2242,1375.46,500.91,0.0364
"Colombia","Vaupes","",0,40797,766,9,1877.59,220.60,0.0117
"Colombia","Vichada","",0,107807,505,4,468.43,37.10,0.0079
