Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Spain","Andalusia","",0,8427405,46949,449,557.10,53.28,0.0096
"Spain","Aragon","",0,1320585,30165,534,2284.21,404.37,0.0177
"Spain","Asturias","",0,1022204,2838,37,277.64,36.20,0.0130
"Spain","Baleares","",0,1188219,11618,74,977.77,62.28,0.0064
"Spain","C. Valenciana","",0,4974969,28465,242,572.16,48.64,0.0085
"Spain","Canarias","",0,2206901,10849,75,491.59,33.98,0.0069
"Spain","Cantabria","",0,581641,4418,29,759.58,49.86,0.0066
"Spain","Castilla - La Mancha","",0,2034877,24914,294,1224.35,144.48,0.0118
"Spain","Castilla y Leon","",0,2407733,27924,1099,1159.76,456.45,0.0394
"Spain","Catalonia","",0,7566431,82536,26,1090.82,3.44,0.0003
"Spain","Ceuta","",0,84829,449,6,529.30,70.73,0.0134
"Spain","Extremadura","",0,1065424,7323,80,687.33,75.09,0.0109
"Spain","Galicia","",0,2700441,11463,132,424.49,48.88,0.0115
"Spain","La Rioja","",0,313571,4283,64,1365.88,204.10,0.0149
"Spain","Madrid","",0,6641649,158350,518,2384.20,77.99,0.0033
"Spain","Melilla","",0,84688,812,2,958.81,23.62,0.0025
"Spain","Murcia","",0,1487662,16562,64,1113.29,43.02,0.0039
"Spain","Navarra","",0,649946,12237,71,1882.77,109.24,0.0058
"Spain","Pais Vasco","",0,2177880,30241,399,1388.55,183.21,0.0132
"Spain","Unknown","",0,-1,0,0,0.00,0.00,0.0000
