Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Arizona","Apache",4001,71887,3088,159,4295.63,2211.80,0.0515
"US","Arizona","Cochise",4003,125921,1866,71,1481.88,563.85,0.0380
"US","Arizona","Coconino",4005,143476,3604,99,2511.92,690.01,0.0275
"US","Arizona","Gila",4007,54018,1315,56,2434.37,1036.69,0.0426
"US","Arizona","Graham",4009,38837,822,25,2116.54,643.72,0.0304
"US","Arizona","Greenlee",4011,9498,57,0,600.13,0.00,0.0000
"US","Arizona","La Paz",4012,21108,532,14,2520.37,663.26,0.0263
"US","Arizona","Maricopa",4013,4485414,137507,3226,3065.65,719.22,0.0235
"US","Arizona","Mohave",4015,212181,3872,216,1824.86,1018.00,0.0558
"US","Arizona","Navajo",4017,110924,5072,214,4572.50,1929.25,0.0422
"US","Arizona","Out of AZ",80004,-1,0,0,0.00,0.00,0.0000
"US","Arizona","Pima",4019,1047279,24213,539,2311.99,514.67,0.0223
"US","Arizona","Pinal",4021,462788,10177,196,2199.06,423.52,0.0193
"US","Arizona","Santa Cruz",4023,46498,2813,63,6049.72,1354.90,0.0224
"US","Arizona","Unassigned",90004,-1,0,-4,0.00,0.00,0.0000
"US","Arizona","Yavapai",4025,235098,2459,81,1045.95,344.54,0.0329
"US","Arizona","Yuma",4027,213787,12626,344,5905.88,1609.08,0.0272
