Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","California","Alameda",6001,1671329,19709,313,1179.24,187.28,0.0159
"US","California","Alpine",6003,1128,0,0,0.00,0.00,0.0000
"US","California","Amador",6005,39752,284,16,714.43,402.50,0.0563
"US","California","Butte",6007,219186,2848,44,1299.35,200.74,0.0154
"US","California","Calaveras",6009,45905,245,10,533.71,217.84,0.0408
"US","California","Colusa",6011,21547,527,6,2445.82,278.46,0.0114
"US","California","Contra Costa",6013,1153526,15832,175,1372.49,151.71,0.0111
"US","California","Del Norte",6015,27812,136,2,489.00,71.91,0.0147
"US","California","El Dorado",6017,192843,1093,4,566.78,20.74,0.0037
"US","California","Fresno",6019,999101,28301,382,2832.65,382.34,0.0135
"US","California","Glenn",6021,28393,578,3,2035.71,105.66,0.0052
"US","California","Humboldt",6023,135558,440,5,324.58,36.88,0.0114
"US","California","Imperial",6025,181215,10495,287,5791.46,1583.75,0.0273
"US","California","Inyo",6027,18039,177,12,981.21,665.23,0.0678
"US","California","Kern",6029,900202,31134,363,3458.56,403.24,0.0117
"US","California","Kings",6031,152940,7566,77,4947.04,503.47,0.0102
"US","California","Lake",6033,64386,551,9,855.78,139.78,0.0163
"US","California","Lassen",6035,30573,739,0,2417.17,0.00,0.0000
"US","California","Los Angeles",6037,10039106,245337,5431,2443.81,540.98,0.0221
"US","California","Madera",6039,157327,4423,45,2811.34,286.03,0.0102
"US","California","Marin",6041,258826,6446,77,2490.48,297.50,0.0119
"US","California","Mariposa",6043,17203,68,2,395.28,116.26,0.0294
"US","California","Mendocino",6045,86749,842,17,970.62,195.97,0.0202
"US","California","Merced",6047,277680,8782,133,3162.63,478.97,0.0151
"US","California","Modoc",6049,8841,25,0,282.77,0.00,0.0000
"US","California","Mono",6051,14444,126,0,872.33,0.00,0.0000
"US","California","Monterey",6053,434060,9597,64,2210.98,147.45,0.0067
"US","California","Napa",6055,137744,1643,9,1192.79,65.34,0.0055
"US","California","Nevada",6057,99755,511,5,512.26,50.12,0.0098
"US","California","Orange",6059,3175692,52974,1182,1668.11,372.20,0.0223
"US","California","Placer",6061,398329,3432,34,861.60,85.36,0.0099
"US","California","Plumas",6063,18807,44,0,233.96,0.00,0.0000
"US","California","Riverside",6065,2470546,55023,1076,2227.16,435.53,0.0196
"US","California","Sacramento",6067,1552058,21381,381,1377.59,245.48,0.0178
"US","California","San Benito",6069,62807,1284,9,2044.36,143.30,0.0070
"US","California","San Bernardino",6071,2180085,51868,907,2379.17,416.04,0.0175
"US","California","San Diego",6073,3338330,44214,656,1324.43,196.51,0.0148
"US","California","San Francisco",6075,881548,9639,76,1093.42,86.21,0.0079
"US","California","San Joaquin",6077,762148,19551,429,2565.25,562.88,0.0219
"US","California","San Luis Obispo",6079,283111,3400,29,1200.94,102.43,0.0085
"US","California","San Mateo",6081,766572,8389,77,1094.35,100.45,0.0092
"US","California","Santa Barbara",6083,446499,8689,107,1946.03,239.64,0.0123
"US","California","Santa Clara",6085,1927852,19012,173,986.18,89.74,0.0091
"US","California","Santa Cruz",6087,273213,2278,7,833.78,25.62,0.0031
"US","California","Shasta",6089,180080,894,12,496.45,66.64,0.0134
"US","California","Sierra",6091,3005,5,0,166.39,0.00,0.0000
"US","California","Siskiyou",6093,43538,154,0,353.71,0.00,0.0000
"US","California","Solano",6095,447642,6048,47,1351.08,104.99,0.0078
"US","California","Sonoma",6097,494336,7179,122,1452.25,246.80,0.0170
"US","California","Stanislaus",6099,550660,16647,330,3023.10,599.28,0.0198
"US","California","Sutter",6101,96971,1646,8,1697.41,82.50,0.0049
"US","California","Tehama",6103,65084,579,1,889.62,15.36,0.0017
"US","California","Trinity",6105,12285,21,0,170.94,0.00,0.0000
"US","California","Tulare",6107,466195,15471,238,3318.57,510.52,0.0154
"US","California","Tuolumne",6109,54477,224,1,411.18,18.36,0.0045
"US","California","Unassigned",90006,-1,0,-1,0.00,0.00,0.0000
"US","California","Ventura",6111,846006,12482,123,1475.40,145.39,0.0099
"US","California","Yolo",6113,220500,2651,41,1202.27,185.94,0.0155
"US","California","Yuba",6115,78667,1055,5,1341.10,63.56,0.0047
