Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Colorado","Adams",8001,517420,7598,161,1468.44,311.16,0.0212
"US","Colorado","Alamosa",8003,16232,232,7,1429.28,431.25,0.0302
"US","Colorado","Arapahoe",8005,656589,6835,227,1040.99,345.73,0.0332
"US","Colorado","Archuleta",8007,14028,46,0,327.92,0.00,0.0000
"US","Colorado","Baca",8009,3580,7,0,195.53,0.00,0.0000
"US","Colorado","Bent",8011,5577,11,0,197.24,0.00,0.0000
"US","Colorado","Boulder",8013,326196,3721,40,1140.73,122.63,0.0107
"US","Colorado","Broomfield",8014,70465,495,23,702.48,326.40,0.0465
"US","Colorado","Chaffee",8015,20356,266,4,1306.74,196.50,0.0150
"US","Colorado","Cheyenne",8017,1830,13,0,710.38,0.00,0.0000
"US","Colorado","Clear Creek",8019,9700,26,0,268.04,0.00,0.0000
"US","Colorado","Conejos",8021,8205,34,0,414.38,0.00,0.0000
"US","Colorado","Costilla",8023,3887,29,1,746.08,257.27,0.0345
"US","Colorado","Crowley",8025,6061,70,0,1154.92,0.00,0.0000
"US","Colorado","Custer",8027,5068,15,0,295.97,0.00,0.0000
"US","Colorado","Delta",8029,31161,147,2,471.74,64.18,0.0136
"US","Colorado","Denver",8031,727211,10193,280,1401.66,385.03,0.0275
"US","Colorado","Dolores",8033,2055,2,0,97.32,0.00,0.0000
"US","Colorado","Douglas",8035,351154,2118,38,603.15,108.21,0.0179
"US","Colorado","Eagle",8037,55127,715,2,1297.01,36.28,0.0028
"US","Colorado","El Paso",8041,720403,5976,101,829.54,140.20,0.0169
"US","Colorado","Elbert",8039,26729,130,2,486.36,74.83,0.0154
"US","Colorado","Fremont",8043,47839,153,1,319.82,20.90,0.0065
"US","Colorado","Garfield",8045,60060,857,3,1426.91,49.95,0.0035
"US","Colorado","Gilpin",8047,6243,17,0,272.30,0.00,0.0000
"US","Colorado","Grand",8049,15734,71,1,451.25,63.56,0.0141
"US","Colorado","Gunnison",8051,17462,135,2,773.11,114.53,0.0148
"US","Colorado","Hinsdale",8053,820,0,0,0.00,0.00,0.0000
"US","Colorado","Huerfano",8055,6897,20,1,289.98,144.99,0.0500
"US","Colorado","Jackson",8057,1392,9,0,646.55,0.00,0.0000
"US","Colorado","Jefferson",8059,582881,4411,176,756.76,301.95,0.0399
"US","Colorado","Kiowa",8061,1406,0,0,0.00,0.00,0.0000
"US","Colorado","Kit Carson",8063,7097,59,1,831.34,140.90,0.0169
"US","Colorado","La Plata",8067,56221,200,2,355.74,35.57,0.0100
"US","Colorado","Lake",8065,8126,77,0,947.58,0.00,0.0000
"US","Colorado","Larimer",8069,356898,2214,33,620.35,92.46,0.0149
"US","Colorado","Las Animas",8071,14506,21,0,144.77,0.00,0.0000
"US","Colorado","Lincoln",8073,5701,8,0,140.33,0.00,0.0000
"US","Colorado","Logan",8075,22409,615,4,2744.43,178.50,0.0065
"US","Colorado","Mesa",8077,154210,581,7,376.76,45.39,0.0120
"US","Colorado","Mineral",8079,769,18,0,2340.70,0.00,0.0000
"US","Colorado","Moffat",8081,13283,35,1,263.49,75.28,0.0286
"US","Colorado","Montezuma",8083,26182,123,3,469.79,114.58,0.0244
"US","Colorado","Montrose",8085,42758,284,2,664.20,46.77,0.0070
"US","Colorado","Morgan",8087,29068,393,31,1352.00,1066.46,0.0789
"US","Colorado","Otero",8089,18278,88,5,481.45,273.55,0.0568
"US","Colorado","Ouray",8091,4951,20,0,403.96,0.00,0.0000
"US","Colorado","Out of CO",80008,-1,0,-2,0.00,0.00,0.0000
"US","Colorado","Park",8093,18845,45,1,238.79,53.06,0.0222
"US","Colorado","Phillips",8095,4264,28,0,656.66,0.00,0.0000
"US","Colorado","Pitkin",8097,17767,164,0,923.06,0.00,0.0000
"US","Colorado","Prowers",8099,12172,92,0,755.83,0.00,0.0000
"US","Colorado","Pueblo",8101,168424,964,27,572.36,160.31,0.0280
"US","Colorado","Rio Blanco",8103,6324,24,0,379.51,0.00,0.0000
"US","Colorado","Rio Grande",8105,11266,89,2,789.99,177.53,0.0225
"US","Colorado","Routt",8107,25638,100,3,390.05,117.01,0.0300
"US","Colorado","Saguache",8109,6824,107,2,1568.00,293.08,0.0187
"US","Colorado","San Juan",8111,728,5,0,686.81,0.00,0.0000
"US","Colorado","San Miguel",8113,8179,76,0,929.21,0.00,0.0000
"US","Colorado","Sedgwick",8115,2248,14,1,622.78,444.84,0.0714
"US","Colorado","Summit",8117,31010,334,3,1077.07,96.74,0.0090
"US","Colorado","Teller",8119,25387,148,2,582.98,78.78,0.0135
"US","Colorado","Unassigned",90008,-1,-158,-1,0.00,0.00,0.0000
"US","Colorado","Washington",8121,4907,55,0,1120.85,0.00,0.0000
"US","Colorado","Weld",8123,324492,3023,55,931.61,169.50,0.0182
"US","Colorado","Yuma",8125,10019,109,0,1087.93,0.00,0.0000
