Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Illinois","Adams",17001,65435,1108,9,1693.28,137.54,0.0081
"US","Illinois","Alexander",17003,5761,78,1,1353.93,173.58,0.0128
"US","Illinois","Bond",17005,16426,324,4,1972.48,243.52,0.0123
"US","Illinois","Boone",17007,53544,1025,13,1914.31,242.79,0.0127
"US","Illinois","Brown",17009,6577,60,0,912.27,0.00,0.0000
"US","Illinois","Bureau",17011,32628,643,11,1970.70,337.13,0.0171
"US","Illinois","Calhoun",17013,4739,57,0,1202.79,0.00,0.0000
"US","Illinois","Carroll",17015,14305,222,3,1551.90,209.72,0.0135
"US","Illinois","Cass",17017,12147,367,11,3021.32,905.57,0.0300
"US","Illinois","Champaign",17019,209689,4596,15,2191.82,71.53,0.0033
"US","Illinois","Christian",17021,32303,519,7,1606.66,216.70,0.0135
"US","Illinois","Clark",17023,15441,168,2,1088.01,129.53,0.0119
"US","Illinois","Clay",17025,13183,157,0,1190.93,0.00,0.0000
"US","Illinois","Clinton",17027,37562,1085,17,2888.56,452.59,0.0157
"US","Illinois","Coles",17029,50621,1453,29,2870.35,572.88,0.0200
"US","Illinois","Cook",17031,5150233,107291,3622,2083.23,703.27,0.0338
"US","Illinois","Crawford",17033,18667,439,3,2351.74,160.71,0.0068
"US","Illinois","Cumberland",17035,10766,212,4,1969.16,371.54,0.0189
"US","Illinois","De Witt",17039,15638,120,1,767.36,63.95,0.0083
"US","Illinois","DeKalb",17037,104897,1496,37,1426.16,352.73,0.0247
"US","Illinois","Douglas",17041,19465,297,6,1525.82,308.25,0.0202
"US","Illinois","DuPage",17043,922921,14472,397,1568.06,430.16,0.0274
"US","Illinois","Edgar",17045,17161,114,7,664.30,407.90,0.0614
"US","Illinois","Edwards",17047,6395,65,0,1016.42,0.00,0.0000
"US","Illinois","Effingham",17049,34008,869,1,2555.28,29.40,0.0012
"US","Illinois","Fayette",17051,21335,403,2,1888.91,93.74,0.0050
"US","Illinois","Ford",17053,12960,96,4,740.74,308.64,0.0417
"US","Illinois","Franklin",17055,38469,531,3,1380.33,77.98,0.0056
"US","Illinois","Fulton",17057,34339,177,0,515.45,0.00,0.0000
"US","Illinois","Gallatin",17059,4828,71,2,1470.59,414.25,0.0282
"US","Illinois","Greene",17061,12969,225,11,1734.91,848.18,0.0489
"US","Illinois","Grundy",17063,51054,640,5,1253.57,97.94,0.0078
"US","Illinois","Hamilton",17065,8116,69,1,850.17,123.21,0.0145
"US","Illinois","Hancock",17067,17708,212,3,1197.20,169.41,0.0142
