Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Minnesota","Aitkin",27001,15886,83,1,522.47,62.95,0.0120
"US","Minnesota","Anoka",27003,356921,5995,124,1679.64,347.42,0.0207
"US","Minnesota","Becker",27005,34423,277,2,804.69,58.10,0.0072
"US","Minnesota","Beltrami",27007,47188,446,5,945.16,105.96,0.0112
"US","Minnesota","Benton",27009,40889,540,2,1320.65,48.91,0.0037
"US","Minnesota","Big Stone",27011,4990,80,0,1603.21,0.00,0.0000
"US","Minnesota","Blue Earth",27013,67653,1682,6,2486.22,88.69,0.0036
"US","Minnesota","Brown",27015,25008,188,1,751.76,39.99,0.0053
"US","Minnesota","Carlton",27017,35871,220,1,613.31,27.88,0.0045
"US","Minnesota","Carver",27019,105089,1409,7,1340.77,66.61,0.0050
"US","Minnesota","Cass",27021,29778,176,3,591.04,100.75,0.0170
"US","Minnesota","Chippewa",27023,11800,223,1,1889.83,84.75,0.0045
"US","Minnesota","Chisago",27025,56579,502,0,887.25,0.00,0.0000
"US","Minnesota","Clay",27027,64222,1264,29,1968.17,451.56,0.0229
"US","Minnesota","Clearwater",27029,8818,28,0,317.53,0.00,0.0000
"US","Minnesota","Cook",27031,5463,6,0,109.83,0.00,0.0000
"US","Minnesota","Cottonwood",27033,11196,206,0,1839.94,0.00,0.0000
"US","Minnesota","Crow Wing",27035,65055,521,17,800.86,261.32,0.0326
"US","Minnesota","Dakota",27037,429021,7439,116,1733.95,270.38,0.0156
"US","Minnesota","Dodge",27039,20934,231,0,1103.47,0.00,0.0000
"US","Minnesota","Douglas",27041,38141,336,2,880.94,52.44,0.0060
"US","Minnesota","Faribault",27043,13653,141,0,1032.74,0.00,0.0000
"US","Minnesota","Fillmore",27045,21067,118,-1,560.12,-47.47,-0.0085
"US","Minnesota","Freeborn",27047,30281,510,3,1684.22,99.07,0.0059
"US","Minnesota","Goodhue",27049,46339,359,9,774.73,194.22,0.0251
"US","Minnesota","Grant",27051,5972,62,4,1038.18,669.79,0.0645
"US","Minnesota","Hennepin",27053,1265843,25543,704,2017.86,556.15,0.0276
