Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Missouri","Adair",29001,25343,334,0,1317.92,0.00,0.0000
"US","Missouri","Andrew",29003,17712,254,2,1434.06,112.92,0.0079
"US","Missouri","Atchison",29005,5143,51,0,991.64,0.00,0.0000
"US","Missouri","Audrain",29007,25388,435,3,1713.41,118.17,0.0069
"US","Missouri","Barry",29009,35789,483,6,1349.58,167.65,0.0124
"US","Missouri","Barton",29011,11754,193,0,1641.99,0.00,0.0000
"US","Missouri","Bates",29013,16172,117,1,723.47,61.84,0.0085
"US","Missouri","Benton",29015,19443,321,3,1650.98,154.30,0.0093
"US","Missouri","Bollinger",29017,12133,344,0,2835.24,0.00,0.0000
"US","Missouri","Boone",29019,180463,4567,8,2530.71,44.33,0.0018
"US","Missouri","Buchanan",29021,87363,1856,16,2124.47,183.14,0.0086
"US","Missouri","Butler",29023,42478,629,6,1480.77,141.25,0.0095
"US","Missouri","Caldwell",29025,9020,94,1,1042.13,110.86,0.0106
"US","Missouri","Callaway",29027,44743,640,1,1430.39,22.35,0.0016
"US","Missouri","Camden",29029,46305,964,10,2081.85,215.96,0.0104
"US","Missouri","Cape Girardeau",29031,78871,1720,13,2180.78,164.83,0.0076
"US","Missouri","Carroll",29033,8679,130,1,1497.87,115.22,0.0077
"US","Missouri","Carter",29035,5981,99,0,1655.24,0.00,0.0000
"US","Missouri","Cass",29037,105780,1450,17,1370.77,160.71,0.0117
"US","Missouri","Cedar",29039,14349,111,0,773.57,0.00,0.0000
"US","Missouri","Chariton",29041,7425,42,0,565.66,0.00,0.0000
"US","Missouri","Christian",29043,88595,1434,5,1618.60,56.44,0.0035
"US","Missouri","Clark",29045,6797,64,0,941.59,0.00,0.0000
"US","Missouri","Clay",29047,249948,1738,39,695.34,156.03,0.0224
"US","Missouri","Clinton",29049,20387,228,0,1118.36,0.00,0.0000
"US","Missouri","Cole",29051,76745,1519,12,1979.28,156.36,0.0079
"US","Missouri","Cooper",29053,17709,423,2,2388.62,112.94,0.0047
"US","Missouri","Crawford",29055,23919,393,4,1643.05,167.23,0.0102
"US","Missouri","Dade",29057,7561,67,0,886.13,0.00,0.0000
"US","Missouri","Dallas",29059,16878,191,1,1131.65,59.25,0.0052
"US","Missouri","Daviess",29061,8277,117,0,1413.56,0.00,0.0000
"US","Missouri","DeKalb",29063,12547,133,2,1060.01,159.40,0.0150
"US","Missouri","Dent",29065,15573,145,1,931.10,64.21,0.0069
"US","Missouri","Douglas",29067,13185,202,3,1532.04,227.53,0.0149
"US","Missouri","Dunklin",29069,29131,778,5,2670.69,171.64,0.0064
"US","Missouri","Franklin",29071,103967,1627,18,1564.92,173.13,0.0111
"US","Missouri","Gasconade",29073,14705,161,19,1094.87,1292.08,0.1180
"US","Missouri","Gentry",29075,6570,122,9,1856.93,1369.86,0.0738
"US","Missouri","Greene",29077,293086,6180,45,2108.60,153.54,0.0073
"US","Missouri","Grundy",29079,9850,192,3,1949.24,304.57,0.0156
"US","Missouri","Harrison",29081,8352,107,1,1281.13,119.73,0.0093
"US","Missouri","Henry",29083,21824,196,3,898.09,137.46,0.0153
"US","Missouri","Hickory",29085,9544,104,2,1089.69,209.56,0.0192
"US","Missouri","Holt",29087,4403,77,0,1748.81,0.00,0.0000
"US","Missouri","Howard",29089,10001,173,2,1729.83,199.98,0.0116
"US","Missouri","Howell",29091,40117,629,3,1567.91,74.78,0.0048
"US","Missouri","Iron",29093,10125,54,0,533.33,0.00,0.0000
"US","Missouri","Jackson",29095,703011,7133,85,1014.64,120.91,0.0119
"US","Missouri","Jasper",29097,121328,3822,51,3150.14,420.35,0.0133
"US","Missouri","Jefferson",29099,225080,3980,52,1768.26,231.03,0.0131
"US","Missouri","Johnson",29101,54061,1024,4,1894.16,73.99,0.0039
