Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Nevada","Carson City",32510,55915,499,7,892.43,125.19,0.0140
"US","Nevada","Churchill",32001,24909,144,2,578.10,80.29,0.0139
"US","Nevada","Clark",32003,2266714,62624,1180,2762.77,520.58,0.0188
"US","Nevada","Douglas",32005,48905,284,1,580.72,20.45,0.0035
"US","Nevada","Elko",32007,52778,946,8,1792.41,151.58,0.0085
"US","Nevada","Esmeralda",32009,873,0,0,0.00,0.00,0.0000
"US","Nevada","Eureka",32011,2029,10,0,492.85,0.00,0.0000
"US","Nevada","Humboldt",32013,16831,83,1,493.14,59.41,0.0120
"US","Nevada","Lander",32015,5532,66,1,1193.06,180.77,0.0152
"US","Nevada","Lincoln",32017,5183,7,0,135.06,0.00,0.0000
"US","Nevada","Lyon",32019,57510,406,7,705.96,121.72,0.0172
"US","Nevada","Mineral",32021,4505,9,0,199.78,0.00,0.0000
"US","Nevada","Nye",32023,46523,472,15,1014.55,322.42,0.0318
"US","Nevada","Pershing",32027,6724,21,0,312.31,0.00,0.0000
"US","Nevada","Storey",32029,4123,10,0,242.54,0.00,0.0000
"US","Nevada","Unassigned",90032,-1,-9,-2,0.00,0.00,0.0000
"US","Nevada","Washoe",32031,471519,8442,126,1790.38,267.22,0.0149
"US","Nevada","White Pine",32033,9580,60,1,626.30,104.38,0.0167
"US","Nevada","Elko County",32007,-1,0,0,0.00,0.00,0.0000
