Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","New Jersey","Atlantic",34001,263670,3455,215,1310.35,815.41,0.0622
"US","New Jersey","Bergen",34003,932201,7395,938,793.28,1006.22,0.1268
"US","New Jersey","Burlington",34005,445348,4611,370,1035.37,830.81,0.0802
"US","New Jersey","Camden",34007,506470,6589,465,1300.97,918.12,0.0706
"US","New Jersey","Cape May",34009,92039,1121,74,1217.96,804.01,0.0660
"US","New Jersey","Cumberland",34011,149527,3126,146,2090.59,976.41,0.0467
"US","New Jersey","Essex",34013,798974,7695,957,963.11,1197.79,0.1244
"US","New Jersey","Gloucester",34015,291635,3459,183,1186.07,627.50,0.0529
"US","New Jersey","Hudson",34017,672391,6266,735,931.90,1093.11,0.1173
"US","New Jersey","Hunterdon",34019,124370,802,95,644.85,763.85,0.1185
"US","New Jersey","Mercer",34021,367430,4757,406,1294.67,1104.97,0.0853
"US","New Jersey","Middlesex",34023,825062,8207,869,994.71,1053.25,0.1059
"US","New Jersey","Monmouth",34025,618795,6203,527,1002.43,851.66,0.0850
"US","New Jersey","Morris",34027,491845,2899,423,589.41,860.03,0.1459
"US","New Jersey","Ocean",34029,607186,7290,658,1200.62,1083.69,0.0903
"US","New Jersey","Passaic",34031,501825,6924,708,1379.76,1410.85,0.1023
"US","New Jersey","Salem",34033,62385,844,78,1352.89,1250.30,0.0924
"US","New Jersey","Somerset",34035,328934,2690,310,817.79,942.44,0.1152
"US","New Jersey","Sussex",34037,140488,631,93,449.15,661.98,0.1474
"US","New Jersey","Unassigned",90034,-1,-320,0,0.00,0.00,0.0000
"US","New Jersey","Union",34039,556341,5575,683,1002.08,1227.66,0.1225
"US","New Jersey","Warren",34041,105267,595,92,565.23,873.97,0.1546
