Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Oregon","Baker",41001,16124,95,2,589.18,124.04,0.0211
"US","Oregon","Benton",41003,93052,286,1,307.36,10.75,0.0035
"US","Oregon","Clackamas",41005,418187,2212,55,528.95,131.52,0.0249
"US","Oregon","Clatsop",41007,40224,194,0,482.30,0.00,0.0000
"US","Oregon","Columbia",41009,52354,162,1,309.43,19.10,0.0062
"US","Oregon","Coos",41011,64486,140,0,217.10,0.00,0.0000
"US","Oregon","Crook",41013,24403,61,1,249.97,40.98,0.0164
"US","Oregon","Curry",41015,22925,27,0,117.78,0.00,0.0000
"US","Oregon","Deschutes",41017,197692,770,12,389.49,60.70,0.0156
"US","Oregon","Douglas",41019,110979,212,3,191.03,27.03,0.0142
"US","Oregon","Gilliam",41021,1912,8,0,418.41,0.00,0.0000
"US","Oregon","Grant",41023,7198,8,0,111.14,0.00,0.0000
"US","Oregon","Harney",41025,7393,11,0,148.79,0.00,0.0000
"US","Oregon","Hood River",41027,23382,244,0,1043.54,0.00,0.0000
"US","Oregon","Jackson",41029,220943,1115,5,504.66,22.63,0.0045
"US","Oregon","Jefferson",41031,24658,528,8,2141.29,324.44,0.0152
"US","Oregon","Josephine",41033,87487,180,1,205.74,11.43,0.0056
"US","Oregon","Klamath",41035,68238,248,2,363.43,29.31,0.0081
"US","Oregon","Lake",41037,7869,32,0,406.66,0.00,0.0000
"US","Oregon","Lane",41039,382067,1186,15,310.42,39.26,0.0126
"US","Oregon","Lincoln",41041,49962,475,12,950.72,240.18,0.0253
"US","Oregon","Linn",41043,129748,440,6,339.12,46.24,0.0136
"US","Oregon","Malheur",41045,30570,1622,27,5305.86,883.22,0.0166
"US","Oregon","Marion",41047,347817,4217,77,1212.42,221.38,0.0183
"US","Oregon","Morrow",41049,11603,498,6,4291.99,517.11,0.0120
"US","Oregon","Multnomah",41051,812854,6505,96,800.27,118.10,0.0148
"US","Oregon","Polk",41053,86085,488,13,566.88,151.01,0.0266
"US","Oregon","Sherman",41055,1780,17,0,955.06,0.00,0.0000
"US","Oregon","Tillamook",41057,27035,46,0,170.15,0.00,0.0000
"US","Oregon","Umatilla",41059,77950,2942,40,3774.21,513.15,0.0136
"US","Oregon","Unassigned",90041,-1,0,0,0.00,0.00,0.0000
"US","Oregon","Union",41061,26835,440,2,1639.65,74.53,0.0045
"US","Oregon","Wallowa",41063,7208,30,1,416.20,138.73,0.0333
"US","Oregon","Wasco",41065,26682,278,2,1041.90,74.96,0.0072
"US","Oregon","Washington",41067,601591,4062,48,675.21,79.79,0.0118
"US","Oregon","Wheeler",41069,1332,0,0,0.00,0.00,0.0000
"US","Oregon","Yamhill",41071,107100,729,6,680.67,56.02,0.0082
