Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","South Dakota","Aurora",46003,2751,55,0,1999.27,0.00,0.0000
"US","South Dakota","Beadle",46005,18453,771,7,4178.18,379.34,0.0091
"US","South Dakota","Bennett",46007,3365,67,1,1991.08,297.18,0.0149
"US","South Dakota","Bon Homme",46009,6901,83,1,1202.72,144.91,0.0120
"US","South Dakota","Brookings",46011,35077,755,2,2152.41,57.02,0.0026
"US","South Dakota","Brown",46013,38839,1157,3,2978.96,77.24,0.0026
"US","South Dakota","Brule",46015,5297,123,0,2322.07,0.00,0.0000
"US","South Dakota","Buffalo",46017,1962,136,3,6931.70,1529.05,0.0221
"US","South Dakota","Butte",46019,10428,104,2,997.31,191.79,0.0192
"US","South Dakota","Campbell",46021,1376,29,0,2107.56,0.00,0.0000
"US","South Dakota","Charles Mix",46023,9292,172,0,1851.05,0.00,0.0000
"US","South Dakota","Clark",46025,3736,39,0,1043.90,0.00,0.0000
"US","South Dakota","Clay",46027,14070,557,5,3958.78,355.37,0.0090
"US","South Dakota","Codington",46029,28009,856,4,3056.16,142.81,0.0047
"US","South Dakota","Corson",46031,4086,90,1,2202.64,244.74,0.0111
"US","South Dakota","Custer",46033,8971,186,2,2073.35,222.94,0.0108
"US","South Dakota","Davison",46035,19775,304,2,1537.29,101.14,0.0066
"US","South Dakota","Day",46037,5424,75,0,1382.74,0.00,0.0000
"US","South Dakota","Deuel",46039,4350,84,0,1931.03,0.00,0.0000
"US","South Dakota","Dewey",46041,5891,149,0,2529.28,0.00,0.0000
"US","South Dakota","Douglas",46043,2921,83,0,2841.49,0.00,0.0000
"US","South Dakota","Edmunds",46045,3829,94,0,2454.95,0.00,0.0000
"US","South Dakota","Fall River",46047,6713,94,3,1400.27,446.89,0.0319
"US","South Dakota","Faulk",46049,2299,70,1,3044.80,434.97,0.0143
"US","South Dakota","Grant",46051,7052,134,1,1900.17,141.80,0.0075
"US","South Dakota","Gregory",46053,4185,128,2,3058.54,477.90,0.0156
"US","South Dakota","Haakon",46055,1898,25,0,1317.18,0.00,0.0000
"US","South Dakota","Hamlin",46057,6163,95,0,1541.46,0.00,0.0000
"US","South Dakota","Hand",46059,3191,41,0,1284.86,0.00,0.0000
"US","South Dakota","Hanson",46061,3453,39,0,1129.45,0.00,0.0000
"US","South Dakota","Harding",46063,1298,4,0,308.17,0.00,0.0000
"US","South Dakota","Hughes",46065,17526,431,4,2459.20,228.23,0.0093
"US","South Dakota","Hutchinson",46067,7290,97,2,1330.59,274.35,0.0206
"US","South Dakota","Hyde",46069,1300,18,0,1384.62,0.00,0.0000
"US","South Dakota","Jackson",46071,3344,34,1,1016.75,299.04,0.0294
"US","South Dakota","Jerauld",46073,2012,82,0,4075.55,0.00,0.0000
"US","South Dakota","Jones",46075,903,13,0,1439.65,0.00,0.0000
"US","South Dakota","Kingsbury",46077,4939,56,0,1133.83,0.00,0.0000
"US","South Dakota","Lake",46079,12797,191,7,1492.54,547.00,0.0366
"US","South Dakota","Lawrence",46081,25844,401,4,1551.62,154.77,0.0100
"US","South Dakota","Lincoln",46083,61128,1232,2,2015.44,32.72,0.0016
"US","South Dakota","Lyman",46085,3781,154,3,4073.00,793.44,0.0195
"US","South Dakota","Marshall",46091,4935,39,0,790.27,0.00,0.0000
"US","South Dakota","McCook",46087,5586,96,0,1718.58,0.00,0.0000
"US","South Dakota","McPherson",46089,2379,33,0,1387.14,0.00,0.0000
"US","South Dakota","Meade",46093,28331,543,4,1916.63,141.19,0.0074
"US","South Dakota","Mellette",46095,2061,31,0,1504.12,0.00,0.0000
"US","South Dakota","Miner",46097,2216,22,0,992.78,0.00,0.0000
"US","South Dakota","Minnehaha",46099,193134,4691,69,2428.88,357.26,0.0147
"US","South Dakota","Moody",46101,6576,88,0,1338.20,0.00,0.0000
"US","South Dakota","Oglala Lakota",46102,14177,283,3,1996.19,211.61,0.0106
"US","South Dakota","Pennington",46103,113775,2319,35,2038.23,307.62,0.0151
"US","South Dakota","Perkins",46105,2865,39,0,1361.26,0.00,0.0000
"US","South Dakota","Potter",46107,2152,44,0,2044.61,0.00,0.0000
"US","South Dakota","Roberts",46109,10393,198,1,1905.13,96.22,0.0051
"US","South Dakota","Sanborn",46111,2344,26,0,1109.22,0.00,0.0000
"US","South Dakota","Spink",46115,6375,131,0,2054.90,0.00,0.0000
"US","South Dakota","Stanley",46117,3098,35,0,1129.76,0.00,0.0000
"US","South Dakota","Sully",46119,1391,10,0,718.91,0.00,0.0000
"US","South Dakota","Todd",46121,10177,124,5,1218.43,491.30,0.0403
"US","South Dakota","Tripp",46123,5441,154,0,2830.36,0.00,0.0000
"US","South Dakota","Turner",46125,8384,148,2,1765.27,238.55,0.0135
"US","South Dakota","Unassigned",90046,-1,0,0,0.00,0.00,0.0000
"US","South Dakota","Union",46127,15931,384,7,2410.39,439.39,0.0182
"US","South Dakota","Walworth",46129,5435,118,0,2171.11,0.00,0.0000
"US","South Dakota","Yankton",46135,22814,392,4,1718.24,175.33,0.0102
"US","South Dakota","Ziebach",46137,2756,61,0,2213.35,0.00,0.0000
