Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Tennessee","Anderson",47001,76978,1177,11,1529.01,142.90,0.0093
"US","Tennessee","Bedford",47003,49713,1184,14,2381.67,281.62,0.0118
"US","Tennessee","Benton",47005,16160,333,7,2060.64,433.17,0.0210
"US","Tennessee","Bledsoe",47007,15064,278,4,1845.46,265.53,0.0144
"US","Tennessee","Blount",47009,133087,2496,21,1875.46,157.79,0.0084
"US","Tennessee","Bradley",47011,108110,2912,16,2693.55,148.00,0.0055
"US","Tennessee","Campbell",47013,39842,443,2,1111.89,50.20,0.0045
"US","Tennessee","Cannon",47015,14678,284,0,1934.87,0.00,0.0000
"US","Tennessee","Carroll",47017,27766,886,18,3190.95,648.27,0.0203
"US","Tennessee","Carter",47019,56391,1166,27,2067.71,478.80,0.0232
"US","Tennessee","Cheatham",47021,40667,773,9,1900.80,221.31,0.0116
"US","Tennessee","Chester",47023,17297,629,10,3636.47,578.13,0.0159
"US","Tennessee","Claiborne",47025,31959,439,4,1373.63,125.16,0.0091
"US","Tennessee","Clay",47027,7614,229,5,3007.62,656.69,0.0218
"US","Tennessee","Cocke",47029,36004,739,9,2052.55,249.97,0.0122
"US","Tennessee","Coffee",47031,56520,1224,13,2165.61,230.01,0.0106
"US","Tennessee","Crockett",47033,14230,540,19,3794.80,1335.21,0.0352
"US","Tennessee","Cumberland",47035,60520,1141,17,1885.33,280.90,0.0149
"US","Tennessee","Davidson",47037,694143,24083,280,3469.46,403.38,0.0116
"US","Tennessee","DeKalb",47041,20489,553,14,2699.01,683.29,0.0253
"US","Tennessee","Decatur",47039,11663,524,7,4492.84,600.19,0.0134
"US","Tennessee","Dickson",47043,53948,1203,15,2229.93,278.05,0.0125
"US","Tennessee","Dyer",47045,37159,1369,15,3684.17,403.67,0.0110
"US","Tennessee","Fayette",47047,41133,1154,18,2805.53,437.60,0.0156
"US","Tennessee","Fentress",47049,18522,537,3,2899.25,161.97,0.0056
"US","Tennessee","Franklin",47051,42207,954,8,2260.29,189.54,0.0084
"US","Tennessee","Gibson",47053,49133,1659,22,3376.55,447.76,0.0133
"US","Tennessee","Giles",47055,29463,624,17,2117.91,576.99,0.0272
"US","Tennessee","Grainger",47057,23319,383,3,1642.44,128.65,0.0078
"US","Tennessee","Greene",47059,69069,1123,42,1625.91,608.09,0.0374
"US","Tennessee","Grundy",47061,13427,284,4,2115.14,297.91,0.0141
"US","Tennessee","Hamblen",47063,64934,1923,25,2961.47,385.01,0.0130
"US","Tennessee","Hamilton",47065,367804,9402,81,2556.25,220.23,0.0086
"US","Tennessee","Hancock",47067,6620,107,3,1616.31,453.17,0.0280
"US","Tennessee","Hardeman",47069,25049,1564,26,6243.76,1037.97,0.0166
"US","Tennessee","Hardin",47071,25652,1045,15,4073.76,584.75,0.0144
"US","Tennessee","Hawkins",47073,56786,794,17,1398.23,299.37,0.0214
"US","Tennessee","Haywood",47075,17304,971,19,5611.42,1098.01,0.0196
"US","Tennessee","Henderson",47077,28117,1180,23,4196.75,818.01,0.0195
"US","Tennessee","Henry",47079,32344,618,9,1910.71,278.26,0.0146
"US","Tennessee","Hickman",47081,25178,555,7,2204.31,278.02,0.0126
"US","Tennessee","Houston",47083,8201,231,3,2816.73,365.81,0.0130
"US","Tennessee","Humphreys",47085,18581,253,2,1361.61,107.64,0.0079
"US","Tennessee","Jackson",47087,11786,325,5,2757.51,424.23,0.0154
"US","Tennessee","Jefferson",47089,54495,1120,14,2055.23,256.90,0.0125
"US","Tennessee","Johnson",47091,17788,723,2,4064.54,112.44,0.0028
"US","Tennessee","Knox",47093,470313,9299,73,1977.19,155.22,0.0079
"US","Tennessee","Lake",47095,7016,871,2,12414.48,285.06,0.0023
"US","Tennessee","Lauderdale",47097,25633,978,15,3815.39,585.18,0.0153
"US","Tennessee","Lawrence",47099,44142,1056,12,2392.28,271.85,0.0114
"US","Tennessee","Lewis",47101,12268,203,1,1654.71,81.51,0.0049
"US","Tennessee","Lincoln",47103,34366,615,1,1789.56,29.10,0.0016
"US","Tennessee","Loudon",47105,54067,1163,6,2151.03,110.97,0.0052
"US","Tennessee","Macon",47111,24602,1021,17,4150.07,691.00,0.0167
"US","Tennessee","Madison",47113,97983,2829,63,2887.24,642.97,0.0223
"US","Tennessee","Marion",47115,28907,512,7,1771.20,242.16,0.0137
"US","Tennessee","Marshall",47117,34375,753,4,2190.55,116.36,0.0053
"US","Tennessee","Maury",47119,96386,2365,25,2453.68,259.37,0.0106
"US","Tennessee","McMinn",47107,53794,1069,24,1987.21,446.15,0.0225
"US","Tennessee","McNairy",47109,25694,892,18,3471.63,700.55,0.0202
"US","Tennessee","Meigs",47121,12422,220,3,1771.05,241.51,0.0136
"US","Tennessee","Monroe",47123,46544,1041,17,2236.59,365.25,0.0163
"US","Tennessee","Montgomery",47125,208993,2974,42,1423.01,200.96,0.0141
"US","Tennessee","Moore",47127,6488,175,1,2697.29,154.13,0.0057
"US","Tennessee","Morgan",47129,21403,315,3,1471.76,140.17,0.0095
"US","Tennessee","Obion",47131,30069,1187,10,3947.59,332.57,0.0084
"US","Tennessee","Out of TN",80047,-1,2671,24,0.00,0.00,0.0090
"US","Tennessee","Overton",47133,22241,754,5,3390.14,224.81,0.0066
"US","Tennessee","Perry",47135,8076,142,0,1758.30,0.00,0.0000
"US","Tennessee","Pickett",47137,5048,123,2,2436.61,396.20,0.0163
"US","Tennessee","Polk",47139,16832,392,10,2328.90,594.11,0.0255
"US","Tennessee","Putnam",47141,80245,3217,37,4008.97,461.09,0.0115
"US","Tennessee","Rhea",47143,33167,841,13,2535.65,391.96,0.0155
"US","Tennessee","Roane",47145,53382,899,5,1684.09,93.66,0.0056
"US","Tennessee","Robertson",47147,71813,2078,36,2893.63,501.30,0.0173
"US","Tennessee","Rutherford",47149,332285,8911,80,2681.73,240.76,0.0090
"US","Tennessee","Scott",47151,22068,209,2,947.07,90.63,0.0096
"US","Tennessee","Sequatchie",47153,15026,235,2,1563.96,133.10,0.0085
"US","Tennessee","Sevier",47155,98250,2598,14,2644.27,142.49,0.0054
"US","Tennessee","Shelby",47157,937165,28451,415,3035.86,442.82,0.0146
"US","Tennessee","Smith",47159,20157,714,9,3542.19,446.50,0.0126
"US","Tennessee","Stewart",47161,13715,205,2,1494.71,145.83,0.0098
"US","Tennessee","Sullivan",47163,158348,2169,32,1369.77,202.09,0.0148
"US","Tennessee","Sumner",47165,191283,4254,62,2223.93,324.13,0.0146
"US","Tennessee","Tipton",47167,61599,1726,19,2801.99,308.45,0.0110
"US","Tennessee","Trousdale",47169,11284,1062,5,9411.56,443.11,0.0047
"US","Tennessee","Unassigned",90047,-1,2974,5,0.00,0.00,0.0017
"US","Tennessee","Unicoi",47171,17883,287,1,1604.88,55.92,0.0035
"US","Tennessee","Union",47173,19972,368,1,1842.58,50.07,0.0027
"US","Tennessee","Van Buren",47175,5871,163,0,2776.36,0.00,0.0000
"US","Tennessee","Warren",47177,41277,1063,7,2575.28,169.59,0.0066
"US","Tennessee","Washington",47179,129375,2287,36,1767.73,278.26,0.0157
"US","Tennessee","Wayne",47181,16673,1497,5,8978.59,299.89,0.0033
"US","Tennessee","Weakley",47183,33328,1187,19,3561.57,570.09,0.0160
"US","Tennessee","White",47185,27345,840,9,3071.86,329.13,0.0107
"US","Tennessee","Williamson",47187,238412,4925,28,2065.75,117.44,0.0057
"US","Tennessee","Wilson",47189,144657,3290,41,2274.35,283.43,0.0125
"US","Tennessee","Out-of-state",0,-1,0,0,0.00,0.00,0.0000
"US","Tennessee","Unknown",0,-1,0,0,0.00,0.00,0.0000
