Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Texas","Anderson",48001,57735,2433,31,4214.08,536.94,0.0127
"US","Texas","Andrews",48003,18705,290,8,1550.39,427.69,0.0276
"US","Texas","Angelina",48005,86715,1841,81,2123.05,934.09,0.0440
"US","Texas","Aransas",48007,23510,306,18,1301.57,765.63,0.0588
"US","Texas","Archer",48009,8553,86,1,1005.50,116.92,0.0116
"US","Texas","Armstrong",48011,1887,12,1,635.93,529.94,0.0833
"US","Texas","Atascosa",48013,51153,1295,29,2531.62,566.93,0.0224
"US","Texas","Austin",48015,30031,500,9,1664.95,299.69,0.0180
"US","Texas","Bailey",48017,7000,254,5,3628.57,714.29,0.0197
"US","Texas","Bandera",48019,23112,172,7,744.20,302.87,0.0407
"US","Texas","Bastrop",48021,88723,1828,27,2060.35,304.32,0.0148
"US","Texas","Baylor",48023,3509,43,0,1225.42,0.00,0.0000
"US","Texas","Bee",48025,32564,2317,32,7115.22,982.68,0.0138
"US","Texas","Bell",48027,362924,1805,82,497.35,225.94,0.0454
"US","Texas","Bexar",48029,2003554,59271,1252,2958.29,624.89,0.0211
"US","Texas","Blanco",48031,11931,108,4,905.20,335.26,0.0370
"US","Texas","Borden",48033,653,1,0,153.14,0.00,0.0000
"US","Texas","Bosque",48035,18685,328,6,1755.42,321.11,0.0183
"US","Texas","Bowie",48037,93245,1352,51,1449.94,546.95,0.0377
"US","Texas","Brazoria",48039,374264,11928,160,3187.06,427.51,0.0134
"US","Texas","Brazos",48041,229211,5770,47,2517.33,205.05,0.0081
"US","Texas","Brewster",48043,9203,232,3,2520.92,325.98,0.0129
"US","Texas","Briscoe",48045,1545,19,1,1229.77,647.25,0.0526
"US","Texas","Brooks",48047,7093,347,22,4892.15,3101.65,0.0634
"US","Texas","Brown",48049,37864,413,20,1090.75,528.21,0.0484
"US","Texas","Burleson",48051,18443,302,6,1637.48,325.33,0.0199
"US","Texas","Burnet",48053,48155,896,12,1860.66,249.20,0.0134
"US","Texas","Caldwell",48055,43664,1377,35,3153.63,801.58,0.0254
"US","Texas","Calhoun",48057,21290,826,4,3879.76,187.88,0.0048
"US","Texas","Callahan",48059,13943,120,3,860.65,215.16,0.0250
"US","Texas","Cameron",48061,423163,17678,904,4177.59,2136.29,0.0511
"US","Texas","Camp",48063,13094,256,10,1955.09,763.71,0.0391
"US","Texas","Carson",48065,5926,43,0,725.62,0.00,0.0000
"US","Texas","Cass",48067,30026,398,15,1325.52,499.57,0.0377
"US","Texas","Castro",48069,7530,309,4,4103.59,531.21,0.0129
"US","Texas","Chambers",48071,43837,758,8,1729.13,182.49,0.0106
"US","Texas","Cherokee",48073,52646,1206,28,2290.77,531.85,0.0232
"US","Texas","Childress",48075,7305,87,0,1190.97,0.00,0.0000
"US","Texas","Clay",48077,10471,81,1,773.57,95.50,0.0123
"US","Texas","Cochran",48079,2853,67,1,2348.41,350.51,0.0149
"US","Texas","Coke",48081,3387,66,3,1948.63,885.74,0.0455
"US","Texas","Coleman",48083,8175,87,3,1064.22,366.97,0.0345
"US","Texas","Collin",48085,1034729,11570,126,1118.17,121.77,0.0109
"US","Texas","Collingsworth",48087,2919,23,0,787.94,0.00,0.0000
"US","Texas","Colorado",48089,21493,485,4,2256.55,186.11,0.0082
"US","Texas","Comal",48091,156209,3159,96,2022.29,614.56,0.0304
"US","Texas","Comanche",48093,13634,286,3,2097.70,220.04,0.0105
"US","Texas","Concho",48095,2726,141,2,5172.41,733.68,0.0142
"US","Texas","Cooke",48097,41257,503,5,1219.19,121.19,0.0099
"US","Texas","Coryell",48099,75950,2002,10,2635.94,131.67,0.0050
"US","Texas","Cottle",48101,1397,26,2,1861.13,1431.64,0.0769
"US","Texas","Crane",48103,4796,121,2,2522.94,417.01,0.0165
"US","Texas","Crockett",48105,3464,169,6,4878.75,1732.10,0.0355
"US","Texas","Crosby",48107,5737,117,2,2039.39,348.61,0.0171
"US","Texas","Culberson",48109,2171,56,2,2579.46,921.23,0.0357
"US","Texas","Dallam",48111,7287,279,7,3828.74,960.61,0.0251
"US","Texas","Dallas",48113,2635516,81892,1058,3107.25,401.44,0.0129
"US","Texas","Dawson",48115,12728,342,8,2686.99,628.54,0.0234
"US","Texas","DeWitt",48123,20159,803,36,3983.33,1785.80,0.0448
"US","Texas","Deaf Smith",48117,18546,1077,21,5807.18,1132.32,0.0195
"US","Texas","Delta",48119,5331,32,0,600.26,0.00,0.0000
"US","Texas","Denton",48121,887207,10002,131,1127.36,147.65,0.0131
"US","Texas","Dickens",48125,2211,70,2,3165.99,904.57,0.0286
"US","Texas","Dimmit",48127,10124,216,7,2133.54,691.43,0.0324
"US","Texas","Donley",48129,3278,48,1,1464.31,305.06,0.0208
"US","Texas","Duval",48131,11157,402,15,3603.12,1344.45,0.0373
"US","Texas","Eastland",48133,18360,201,3,1094.77,163.40,0.0149
"US","Texas","Ector",48135,166223,3173,94,1908.88,565.51,0.0296
"US","Texas","Edwards",48137,1931,62,1,3210.77,517.87,0.0161
"US","Texas","El Paso",48141,839238,15881,505,1892.31,601.74,0.0318
"US","Texas","Ellis",48139,184826,3744,62,2025.69,335.45,0.0166
"US","Texas","Erath",48143,42698,762,11,1784.63,257.62,0.0144
"US","Texas","Falls",48145,17297,240,5,1387.52,289.07,0.0208
"US","Texas","Fannin",48147,35513,631,14,1776.81,394.22,0.0222
"US","Texas","Fayette",48149,25346,515,19,2031.88,749.63,0.0369
"US","Texas","Fisher",48151,3830,72,3,1879.90,783.29,0.0417
"US","Texas","Floyd",48153,5711,176,9,3081.77,1575.91,0.0511
"US","Texas","Foard",48155,1154,10,0,866.55,0.00,0.0000
"US","Texas","Fort Bend",48157,811688,18969,263,2336.98,324.02,0.0139
"US","Texas","Franklin",48159,10725,132,6,1230.77,559.44,0.0455
"US","Texas","Freestone",48161,19717,433,2,2196.07,101.44,0.0046
"US","Texas","Frio",48163,20306,884,8,4353.39,393.97,0.0090
"US","Texas","Gaines",48165,21491,164,8,763.11,372.25,0.0488
"US","Texas","Galveston",48167,342139,10067,133,2942.37,388.73,0.0132
"US","Texas","Garza",48169,6228,127,4,2039.18,642.26,0.0315
"US","Texas","Gillespie",48171,26988,310,10,1148.66,370.54,0.0323
"US","Texas","Glasscock",48173,1409,12,0,851.67,0.00,0.0000
"US","Texas","Goliad",48175,7658,185,6,2415.77,783.49,0.0324
"US","Texas","Gonzales",48177,20837,999,15,4794.36,719.87,0.0150
"US","Texas","Gray",48179,21886,343,5,1567.21,228.46,0.0146
"US","Texas","Grayson",48181,136212,1840,44,1350.84,323.03,0.0239
"US","Texas","Gregg",48183,123944,1513,66,1220.71,532.50,0.0436
"US","Texas","Grimes",48185,28880,1029,30,3563.02,1038.78,0.0292
"US","Texas","Guadalupe",48187,166847,3656,76,2191.23,455.51,0.0208
"US","Texas","Hale",48189,33406,759,50,2272.05,1496.74,0.0659
"US","Texas","Hall",48191,2963,37,1,1248.73,337.50,0.0270
