Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Algeria","","",0,43851043,68116,1426,155.33,32.52,0.0209
"Angola","","",0,32866268,19305,383,58.74,11.65,0.0198
"Benin","","",0,12123198,5265,54,43.43,4.45,0.0103
"Botswana","","",0,2351624,40963,653,1741.90,277.68,0.0159
"Burkina Faso","","",0,20903278,11054,96,52.88,4.59,0.0087
"Burundi","","",0,11890781,2924,5,24.59,0.42,0.0017
"Cabo Verde","","",0,555988,14126,131,2540.70,235.62,0.0093
"Cameroon","","",0,26545864,42315,510,159.40,19.21,0.0121
"Central African Republic","","",0,4829764,928,14,19.21,2.90,0.0151
"Chad","","",0,16425859,3494,83,21.27,5.05,0.0238
"Comoros","","",0,869594,3329,139,382.82,159.84,0.0418
"Congo (Brazzaville)","","",0,5518092,5053,49,91.57,8.88,0.0097
"Congo (Kinshasa)","","",0,89561404,18217,474,20.34,5.29,0.0260
"Cote d'Ivoire","","",0,26378275,25804,152,97.82,5.76,0.0059
"Djibouti","","",0,988001,4889,50,494.84,50.61,0.0102
"Egypt","","",0,102334403,111700,6756,109.15,66.02,0.0605
"Equatorial Guinea","","",0,1402985,2255,23,160.73,16.39,0.0102
"Eritrea","","",0,3546427,3121,10,88.00,2.82,0.0032
"Eswatini","","",0,1160164,12863,561,1108.72,483.55,0.0436
"Ethiopia","","",0,114963583,163958,2133,142.62,18.55,0.0130
"Gabon","","",0,2225728,12836,78,576.71,35.04,0.0061
"Gambia","","",0,2416664,2128,58,88.06,24.00,0.0273
"Ghana","","",0,31072945,45121,466,145.21,15.00,0.0103
"Guinea","","",0,13132792,10766,71,81.98,5.41,0.0066
"Guinea-Bissau","","",0,1967997,1372,27,69.72,13.72,0.0197
"Kenya","","",0,53771300,111604,1747,207.55,32.49,0.0157
"Lesotho","","",0,2142252,9131,279,426.23,130.24,0.0306
"Liberia","","",0,5057676,732,3,14.47,0.59,0.0041
"Libya","","",0,6871287,137702,2347,2004.02,341.57,0.0170
"Madagascar","","",0,27691019,14523,303,52.45,10.94,0.0209
"Malawi","","",0,19129955,28141,956,147.10,49.97,0.0340
"Mali","","",0,20250834,9611,297,47.46,14.67,0.0309
"Mauritania","","",0,4649660,10624,291,228.49,62.59,0.0274
"Mauritius","","",0,1271767,823,4,64.71,3.15,0.0049
"Morocco","","",0,36910557,385344,6821,1043.99,184.80,0.0177
"Mozambique","","",0,31255435,60838,739,194.65,23.64,0.0121
"Namibia","","",0,2540915,35233,475,1386.63,186.94,0.0135
"Niger","","",0,24206635,3914,120,16.17,4.96,0.0307
"Nigeria","","",0,206139587,105635,952,51.24,4.62,0.0090
"Rwanda","","",0,12952209,18969,292,146.45,22.54,0.0154
"Sao Tome and Principe","","",0,219161,1362,20,621.46,91.26,0.0147
"Senegal","","",0,16743930,24737,778,147.74,46.46,0.0315
"Seychelles","","",0,98340,4570,24,4647.14,244.05,0.0053
"Sierra Leone","","",0,7976985,1801,6,22.58,0.75,0.0033
"Somalia","","",0,15893219,9333,555,58.72,34.92,0.0595
"South Africa","","",0,59308690,892102,37063,1504.17,624.92,0.0415
"South Sudan","","",0,11193729,7738,64,69.13,5.72,0.0083
"Sudan","","",0,43849269,19142,1367,43.65,31.17,0.0714
"Tanzania","","",0,59734212,0,0,0.00,0.00,0.0000
"Togo","","",0,8278737,10577,72,127.76,8.70,0.0068
"Tunisia","","",0,11818618,264946,9405,2241.77,795.78,0.0355
"Uganda","","",0,45741000,33546,264,73.34,5.77,0.0079
"Zambia","","",0,18383956,75949,900,413.13,48.96,0.0119
"Zimbabwe","","",0,14862927,29763,1321,200.25,88.88,0.0444
