Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Chile","Antofagasta","",0,607534,26479,427,4358.44,702.84,0.0161
"Chile","Araucania","",0,957224,56130,666,5863.83,695.76,0.0119
"Chile","Arica y Parinacota","",0,226068,10782,225,4769.36,995.28,0.0209
"Chile","Atacama","",0,288944,9281,122,3212.04,422.23,0.0131
"Chile","Aysen","",0,103158,3515,28,3407.39,271.43,0.0080
"Chile","Biobio","",0,1556805,83988,1431,5394.90,919.19,0.0170
"Chile","Coquimbo","",0,757586,17878,363,2359.86,479.15,0.0203
"Chile","Los Lagos","",0,828708,56355,770,6800.34,929.16,0.0137
"Chile","Los Rios","",0,384836,29371,327,7632.08,849.71,0.0111
"Chile","Magallanes","",0,166533,15901,283,9548.26,1699.36,0.0178
"Chile","Maule","",0,1044949,47575,778,4552.85,744.53,0.0164
"Chile","Metropolitana","",0,7112808,177560,4314,2496.34,606.51,0.0243
"Chile","Nuble","",0,480609,17702,317,3683.24,659.58,0.0179
"Chile","OHiggins","",0,914555,27589,564,3016.66,616.69,0.0204
"Chile","Tarapaca","",0,330558,19872,349,6011.65,1055.79,0.0176
"Chile","Unknown","",0,-1,-5,0,0.00,0.00,0.0000
"Chile","Valparaiso","",0,1815902,49933,1245,2749.76,685.61,0.0249
