Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"China","Anhui","",0,63240000,3,0,0.00,0.00,0.0000
"China","Beijing","",0,21540000,121,0,0.56,0.00,0.0000
"China","Chongqing","",0,31020000,6,0,0.02,0.00,0.0000
"China","Fujian","",0,39410000,178,0,0.45,0.00,0.0000
"China","Gansu","",0,26370000,23,0,0.09,0.00,0.0000
"China","Guangdong","",0,113459999,490,0,0.43,0.00,0.0000
"China","Guangxi","",0,49260000,10,0,0.02,0.00,0.0000
"China","Guizhou","",0,36000000,0,0,0.00,0.00,0.0000
"China","Hainan","",0,9340000,3,0,0.03,0.00,0.0000
"China","Hebei","",0,75560000,952,1,1.26,0.01,0.0011
"China","Heilongjiang","",0,37729999,662,0,1.75,0.00,0.0000
"China","Henan","",0,96050000,31,0,0.03,0.00,0.0000
"China","Hong Kong","",0,7496988,6567,103,87.60,13.74,0.0157
"China","Hubei","",0,59170000,16,0,0.03,0.00,0.0000
"China","Hunan","",0,68990000,25,0,0.04,0.00,0.0000
"China","Inner Mongolia","",0,25340000,113,0,0.45,0.00,0.0000
"China","Jiangsu","",0,80510000,50,0,0.06,0.00,0.0000
"China","Jiangxi","",0,46480000,2,0,0.00,0.00,0.0000
"China","Jilin","",0,27039999,416,1,1.54,0.04,0.0024
"China","Liaoning","",0,43590000,138,0,0.32,0.00,0.0000
"China","Macau","",0,649341,3,0,0.46,0.00,0.0000
"China","Ningxia","",0,6880000,0,0,0.00,0.00,0.0000
"China","Qinghai","",0,6030000,0,0,0.00,0.00,0.0000
"China","Shaanxi","",0,38639999,175,0,0.45,0.00,0.0000
"China","Shandong","",0,100469999,43,0,0.04,0.00,0.0000
"China","Shanghai","",0,24240000,943,0,3.89,0.00,0.0000
"China","Shanxi","",0,37180000,45,0,0.12,0.00,0.0000
"China","Sichuan","",0,83410000,271,0,0.32,0.00,0.0000
"China","Tianjin","",0,15600000,138,0,0.88,0.00,0.0000
"China","Tibet","",0,3440000,0,0,0.00,0.00,0.0000
"China","Xinjiang","",0,24870000,78,0,0.31,0.00,0.0000
"China","Yunnan","",0,48300000,118,0,0.24,0.00,0.0000
"China","Zhejiang","",0,57370000,45,0,0.08,0.00,0.0000
"China","Unknown","",0,-1,0,0,0.00,0.00,0.0000
