Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Italy","Abruzzo","",0,1311580,64522,1827,4919.41,1392.98,0.0283
"Italy","Basilicata","",0,562868,21030,466,3736.22,827.90,0.0222
"Italy","Calabria","",0,1947130,51961,828,2668.59,425.24,0.0159
"Italy","Campania","",0,5801692,353997,5453,6101.62,939.90,0.0154
"Italy","Emilia-Romagna","",0,4459477,320851,8061,7194.81,1807.61,0.0251
"Italy","Friuli Venezia Giulia","",0,1215220,97946,3219,8059.94,2648.90,0.0329
"Italy","Lazio","",0,5879082,291654,6311,4960.88,1073.47,0.0216
"Italy","Liguria","",0,1550640,82298,2449,5307.36,1579.35,0.0298
"Italy","Lombardia","",0,10060574,670286,15173,6662.50,1508.16,0.0226
"Italy","Marche","",0,1525271,85894,1835,5631.39,1203.06,0.0214
"Italy","Molise","",0,305617,12133,437,3970.00,1429.89,0.0360
"Italy","P.A. Bolzano","",0,532318,66766,862,12542.50,1619.33,0.0129
"Italy","P.A. Trento","",0,541418,36907,914,6816.73,1688.16,0.0248
"Italy","Piemonte","",0,4356406,296489,6711,6805.82,1540.49,0.0226
"Italy","Puglia","",0,4029053,209420,4791,5197.75,1189.11,0.0229
"Italy","Sardegna","",0,1639591,47022,1152,2867.91,702.61,0.0245
"Italy","Sicilia","",0,4999891,186142,4816,3722.92,963.22,0.0259
"Italy","Toscana","",0,3729641,199523,4643,5349.66,1244.89,0.0233
"Italy","Umbria","",0,882014,50531,1229,5729.05,1393.40,0.0243
"Italy","Valle d'Aosta","",0,125665,8982,292,7147.57,2323.64,0.0325
"Italy","Veneto","",0,4905854,372375,8878,7590.42,1809.67,0.0238
