Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Japan","Aichi","",0,7552239,24438,525,323.59,69.52,0.0215
"Japan","Akita","",0,966490,305,8,31.56,8.28,0.0262
"Japan","Aomori","",0,1246371,1233,19,98.93,15.24,0.0154
"Japan","Chiba","",0,6259382,27481,528,439.04,84.35,0.0192
"Japan","Ehime","",0,1339215,1753,20,130.90,14.93,0.0114
"Japan","Fukui","",0,767937,463,18,60.29,23.44,0.0389
"Japan","Fukuoka","",0,5103679,15011,246,294.12,48.20,0.0164
"Japan","Fukushima","",0,1845519,2677,115,145.05,62.31,0.0430
"Japan","Gifu","",0,1986587,4553,119,229.19,59.90,0.0261
"Japan","Gunma","",0,1942456,4718,82,242.89,42.21,0.0174
"Japan","Hiroshima","",0,2804176,4845,104,172.78,37.09,0.0215
"Japan","Hokkaido","",0,5250049,20122,687,383.27,130.86,0.0341
"Japan","Hyogo","",0,5466190,22105,562,404.40,102.81,0.0254
"Japan","Ibaraki","",0,2860307,6684,112,233.68,39.16,0.0168
"Japan","Ishikawa","",0,1137648,1368,19,120.25,16.70,0.0139
"Japan","Iwate","",0,1226815,750,30,61.13,24.45,0.0400
"Japan","Kagawa","",0,956347,945,17,98.81,17.78,0.0180
"Japan","Kagoshima","",0,1602273,1538,16,95.99,9.99,0.0104
"Japan","Kanagawa","",0,9198267,43664,662,474.70,71.97,0.0152
"Japan","Kochi","",0,698029,818,15,117.19,21.49,0.0183
"Japan","Kumamoto","",0,1747566,3033,66,173.56,37.77,0.0218
"Japan","Kyoto","",0,2582957,8993,151,348.17,58.46,0.0168
"Japan","Mie","",0,1780882,2624,67,147.34,37.62,0.0255
"Japan","Miyagi","",0,2306365,7060,44,306.11,19.08,0.0062
"Japan","Miyazaki","",0,1073301,1672,21,155.78,19.57,0.0126
"Japan","Nagano","",0,2048790,3093,48,150.97,23.43,0.0155
"Japan","Nagasaki","",0,1326524,1495,36,112.70,27.14,0.0241
"Japan","Nara","",0,1330122,4264,51,320.57,38.34,0.0120
"Japan","Niigata","",0,2223106,1706,18,76.74,8.10,0.0106
"Japan","Oita","",0,1135434,1216,20,107.10,17.61,0.0164
"Japan","Okayama","",0,1889585,2969,34,157.12,17.99,0.0115
"Japan","Okinawa","",0,1453168,8758,84,602.68,57.80,0.0096
"Japan","Osaka","",0,8809363,55080,1049,625.24,119.08,0.0190
"Japan","Port Quarantine","",0,-1,1614,2,0.00,0.00,0.0012
"Japan","Saga","",0,814710,1080,13,132.56,15.96,0.0120
"Japan","Saitama","",0,7349693,30508,624,415.09,84.90,0.0205
"Japan","Shiga","",0,1413943,2641,51,186.78,36.07,0.0193
"Japan","Shimane","",0,674346,157,0,23.28,0.00,0.0000
"Japan","Shizuoka","",0,3643528,5560,119,152.60,32.66,0.0214
"Japan","Tochigi","",0,1933990,4601,69,237.90,35.68,0.0150
"Japan","Tokushima","",0,727977,689,16,94.65,21.98,0.0232
"Japan","Tokyo","",0,13920663,103427,1429,742.97,102.65,0.0138
"Japan","Tottori","",0,555558,293,2,52.74,3.60,0.0068
"Japan","Toyama","",0,1043502,690,3,66.12,2.87,0.0043
"Japan","Unknown","",0,-1,0,0,0.00,0.00,0.0000
"Japan","Wakayama","",0,924932,1467,15,158.61,16.22,0.0102
"Japan","Yamagata","",0,1077665,1218,23,113.02,21.34,0.0189
"Japan","Yamaguchi","",0,1358336,1323,41,97.40,30.18,0.0310
"Japan","Yamanashi","",0,810955,876,13,108.02,16.03,0.0148
