Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Malaysia","Johor","",0,3768200,42157,89,1118.76,23.62,0.0021
"Malaysia","Kedah","",0,2185900,8585,19,392.74,8.69,0.0022
"Malaysia","Kelantan","",0,1892200,7939,23,419.56,12.16,0.0029
"Malaysia","Melaka","",0,932700,6603,16,707.94,17.15,0.0024
"Malaysia","Negeri Sembilan","",0,1132100,16762,23,1480.61,20.32,0.0014
"Malaysia","Pahang","",0,1677100,4276,11,254.96,6.56,0.0026
"Malaysia","Perak","",0,2514300,13702,38,544.96,15.11,0.0028
"Malaysia","Perlis","",0,254600,310,0,121.76,0.00,0.0000
"Malaysia","Pulau Pinang","",0,1777600,17934,20,1008.89,11.25,0.0011
"Malaysia","Sabah","",0,3904700,54727,398,1401.57,101.93,0.0073
"Malaysia","Sarawak","",0,2818100,22059,115,782.76,40.81,0.0052
"Malaysia","Selangor","",0,6541900,120249,329,1838.14,50.29,0.0027
"Malaysia","Terengganu","",0,1250099,3734,12,298.70,9.60,0.0032
"Malaysia","W.P. Kuala Lumpur","",0,1778400,37081,111,2085.08,62.42,0.0030
"Malaysia","W.P. Labuan","",0,99400,2393,12,2407.44,120.72,0.0050
"Malaysia","W.P. Putrajaya","",0,105400,1161,8,1101.52,75.90,0.0069
"Malaysia","Unknown","",0,-1,0,0,0.00,0.00,0.0000
