Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Peru","Amazonas","",0,426799,10064,358,2358.02,838.80,0.0356
"Peru","Ancash","",0,1180600,34530,2314,2924.78,1960.02,0.0670
"Peru","Apurimac","",0,430700,11698,649,2716.04,1506.85,0.0555
"Peru","Arequipa","",0,1497400,27541,2299,1839.25,1535.33,0.0835
"Peru","Ayacucho","",0,668199,13485,822,2018.11,1230.17,0.0610
"Peru","Cajamarca","",0,1453700,26428,1448,1817.98,996.08,0.0548
"Peru","Callao","",0,1129900,55331,3793,4896.98,3356.93,0.0686
"Peru","Cusco","",0,1357099,28807,1880,2122.69,1385.31,0.0653
"Peru","Huancavelica","",0,365300,5360,500,1467.29,1368.74,0.0933
"Peru","Huanuco","",0,760300,12567,1199,1652.90,1577.01,0.0954
"Peru","Ica","",0,975200,19348,3128,1984.00,3207.55,0.1617
"Peru","Junin","",0,1361500,36246,2669,2662.21,1960.34,0.0736
"Peru","La Libertad","",0,2016799,31190,3378,1546.51,1674.93,0.1083
"Peru","Lambayeque","",0,1310800,19641,2821,1498.40,2152.12,0.1436
"Peru","Lima","",0,10628499,413726,36022,3892.61,3389.19,0.0871
"Peru","Loreto","",0,1027599,18779,1176,1827.46,1144.42,0.0626
"Peru","Madre de Dios","",0,173800,4324,76,2487.92,437.28,0.0176
"Peru","Moquegua","",0,192700,9472,398,4915.41,2065.39,0.0420
"Peru","Pasco","",0,271900,6941,472,2552.78,1735.93,0.0680
"Peru","Piura","",0,2048000,29194,3937,1425.49,1922.36,0.1349
"Peru","Puno","",0,1238000,12897,1372,1041.76,1108.24,0.1064
"Peru","San Martin","",0,899600,19588,765,2177.41,850.38,0.0391
"Peru","Tacna","",0,371000,10821,804,2916.71,2167.12,0.0743
"Peru","Tumbes","",0,251500,7139,579,2838.57,2302.19,0.0811
"Peru","Ucayali","",0,589100,12611,1078,2140.72,1829.91,0.0855
"Peru","Unknown","",0,-1,3347,151,0.00,0.00,0.0451
