Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Alabama","Autauga",1001,55869,4980,78,8913.71,1396.12,0.0157
"US","Alabama","Baldwin",1003,223234,15068,250,6749.87,1119.90,0.0166
"US","Alabama","Barbour",1005,24686,1377,48,5578.06,1944.42,0.0349
"US","Alabama","Bibb",1007,22394,1905,49,8506.74,2188.09,0.0257
"US","Alabama","Blount",1009,57826,4888,119,8452.95,2057.90,0.0243
"US","Alabama","Bullock",1011,10101,610,25,6039.01,2475.00,0.0410
"US","Alabama","Butler",1013,19447,1218,27,6263.18,1388.39,0.0222
"US","Alabama","Calhoun",1015,113604,10811,268,9516.39,2359.07,0.0248
"US","Alabama","Chambers",1017,33253,2346,80,7055.00,2405.80,0.0341
"US","Alabama","Cherokee",1019,26196,1223,30,4668.65,1145.21,0.0245
"US","Alabama","Chilton",1021,44428,2519,79,5669.85,1778.16,0.0314
"US","Alabama","Choctaw",1023,12588,236,11,1874.80,873.85,0.0466
"US","Alabama","Clarke",1025,23622,2372,43,10041.49,1820.34,0.0181
"US","Alabama","Clay",1027,13235,915,46,6913.49,3475.63,0.0503
"US","Alabama","Cleburne",1029,14909,1060,35,7109.80,2347.58,0.0330
"US","Alabama","Coffee",1031,52342,4051,106,7739.48,2025.14,0.0262
"US","Alabama","Colbert",1033,55241,4551,105,8238.45,1900.76,0.0231
"US","Alabama","Conecuh",1035,12067,560,16,4640.76,1325.93,0.0286
"US","Alabama","Coosa",1037,10663,817,25,7662.01,2344.56,0.0306
"US","Alabama","Covington",1039,37049,2664,87,7190.48,2348.24,0.0327
"US","Alabama","Crenshaw",1041,13772,953,25,6919.84,1815.28,0.0262
"US","Alabama","Cullman",1043,83768,7605,169,9078.65,2017.48,0.0222
"US","Alabama","Dale",1045,49172,3374,66,6861.63,1342.23,0.0196
"US","Alabama","Dallas",1047,37196,1746,123,4694.05,3306.81,0.0704
"US","Alabama","DeKalb",1049,71513,6295,161,8802.60,2251.34,0.0256
"US","Alabama","Elmore",1051,81209,7305,153,8995.31,1884.03,0.0209
"US","Alabama","Escambia",1053,36633,2289,49,6248.46,1337.59,0.0214
"US","Alabama","Etowah",1055,102268,10178,301,9952.28,2943.25,0.0296
"US","Alabama","Fayette",1057,16302,1620,51,9937.43,3128.45,0.0315
"US","Alabama","Franklin",1059,31362,2424,52,7729.10,1658.06,0.0215
"US","Alabama","Geneva",1061,26271,1814,70,6904.95,2664.54,0.0386
"US","Alabama","Greene",1063,8111,606,19,7471.34,2342.50,0.0314
"US","Alabama","Hale",1065,14651,1530,47,10442.97,3207.97,0.0307
"US","Alabama","Henry",1067,17205,1367,39,7945.36,2266.78,0.0285
"US","Alabama","Houston",1069,105882,7426,256,7013.47,2417.79,0.0345
"US","Alabama","Jackson",1071,51626,5177,98,10027.89,1898.27,0.0189
"US","Alabama","Jefferson",1073,658572,55587,1141,8440.53,1732.54,0.0205
"US","Alabama","Lamar",1075,13805,1023,32,7410.36,2318.00,0.0313
"US","Alabama","Lauderdale",1077,92728,7516,196,8105.43,2113.71,0.0261
"US","Alabama","Lawrence",1079,32924,2320,71,7046.53,2156.48,0.0306
"US","Alabama","Lee",1081,164542,9661,105,5871.45,638.13,0.0109
"US","Alabama","Limestone",1083,98915,7656,127,7739.98,1283.93,0.0166
"US","Alabama","Lowndes",1085,9726,712,26,7320.58,2673.25,0.0365
"US","Alabama","Macon",1087,18067,1075,29,5950.07,1605.14,0.0270
"US","Alabama","Madison",1089,372909,26206,418,7027.45,1120.92,0.0160
"US","Alabama","Marengo",1091,18862,1769,41,9378.64,2173.68,0.0232
"US","Alabama","Marion",1093,29708,2116,71,7122.66,2389.93,0.0336
"US","Alabama","Marshall",1095,96774,8055,176,8323.52,1818.67,0.0218
"US","Alabama","Mobile",1097,413210,25604,505,6196.37,1222.14,0.0197
"US","Alabama","Monroe",1099,20732,1136,32,5479.45,1543.51,0.0282
"US","Alabama","Montgomery",1101,226486,15212,385,6716.53,1699.88,0.0253
"US","Alabama","Morgan",1103,119679,10809,243,9031.66,2030.43,0.0225
"US","Alabama","Out of AL",80001,-1,0,0,0.00,0.00,0.0000
"US","Alabama","Perry",1105,8922,537,19,6018.83,2129.57,0.0354
"US","Alabama","Pickens",1107,19930,1665,44,8354.24,2207.73,0.0264
"US","Alabama","Pike",1109,33114,1860,65,5616.96,1962.92,0.0349
"US","Alabama","Randolph",1111,22722,1108,28,4876.33,1232.29,0.0253
"US","Alabama","Russell",1113,57961,2546,35,4392.61,603.85,0.0137
"US","Alabama","Shelby",1117,217702,17093,190,7851.56,872.75,0.0111
"US","Alabama","St. Clair",1115,89512,7113,198,7946.42,2211.99,0.0278
"US","Alabama","Sumter",1119,12427,593,12,4771.87,965.64,0.0202
"US","Alabama","Talladega",1121,79978,5937,142,7423.29,1775.49,0.0239
"US","Alabama","Tallapoosa",1123,40367,2754,62,6822.40,1535.91,0.0225
"US","Alabama","Tuscaloosa",1125,209355,16717,326,7985.00,1557.16,0.0195
"US","Alabama","Unassigned",90001,-1,0,0,0.00,0.00,0.0000
"US","Alabama","Walker",1127,63521,4794,190,7547.11,2991.14,0.0396
"US","Alabama","Washington",1129,16326,1091,25,6682.59,1531.30,0.0229
"US","Alabama","Wilcox",1131,10373,717,16,6912.18,1542.47,0.0223
"US","Alabama","Winston",1133,23629,1990,59,8421.85,2496.93,0.0296
