Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Georgia","Appling",13001,18386,1159,41,6303.71,2229.96,0.0354
"US","Georgia","Atkinson",13003,8165,518,15,6344.15,1837.11,0.0290
"US","Georgia","Bacon",13005,11164,950,20,8509.49,1791.47,0.0211
"US","Georgia","Baker",13007,3037,128,5,4214.69,1646.36,0.0391
"US","Georgia","Baldwin",13009,44890,2235,68,4978.84,1514.81,0.0304
"US","Georgia","Banks",13011,19234,1274,26,6623.69,1351.77,0.0204
"US","Georgia","Barrow",13013,83239,7297,81,8766.32,973.10,0.0111
"US","Georgia","Bartow",13015,107738,11029,131,10236.87,1215.91,0.0119
"US","Georgia","Ben Hill",13017,16700,1238,51,7413.17,3053.89,0.0412
"US","Georgia","Berrien",13019,19397,1265,20,6521.63,1031.09,0.0158
"US","Georgia","Bibb",13021,153159,9292,252,6066.90,1645.35,0.0271
"US","Georgia","Bleckley",13023,12873,869,29,6750.56,2252.78,0.0334
"US","Georgia","Brantley",13025,19109,1037,25,5426.76,1308.28,0.0241
"US","Georgia","Brooks",13027,15457,807,18,5220.94,1164.52,0.0223
"US","Georgia","Bryan",13029,39627,2356,24,5945.44,605.65,0.0102
"US","Georgia","Bulloch",13031,79608,3428,70,4306.10,879.31,0.0204
"US","Georgia","Burke",13033,22382,1523,47,6804.58,2099.90,0.0309
"US","Georgia","Butts",13035,24936,2205,36,8842.64,1443.70,0.0163
"US","Georgia","Calhoun",13037,6189,316,7,5105.83,1131.04,0.0222
"US","Georgia","Camden",13039,54666,2565,20,4692.13,365.86,0.0078
"US","Georgia","Candler",13043,10802,443,44,4101.09,4073.32,0.0993
"US","Georgia","Carroll",13045,119992,7503,160,6252.92,1333.42,0.0213
"US","Georgia","Catoosa",13047,67580,4884,49,7226.99,725.07,0.0100
"US","Georgia","Charlton",13049,13392,632,19,4719.24,1418.76,0.0301
"US","Georgia","Chatham",13051,289429,14096,269,4870.28,929.42,0.0191
"US","Georgia","Chattahoochee",13053,10907,2105,12,19299.53,1100.21,0.0057
"US","Georgia","Chattooga",13055,24788,1923,45,7757.79,1815.39,0.0234
"US","Georgia","Cherokee",13057,258773,23540,215,9096.78,830.84,0.0091
"US","Georgia","Clarke",13059,128330,8713,96,6789.53,748.07,0.0110
"US","Georgia","Clay",13061,2834,108,0,3810.87,0.00,0.0000
"US","Georgia","Clayton",13063,292256,17949,282,6141.53,964.91,0.0157
"US","Georgia","Clinch",13065,6617,537,19,8115.46,2871.39,0.0354
"US","Georgia","Cobb",13067,760141,54389,575,7155.12,756.44,0.0106
"US","Georgia","Coffee",13069,43273,2974,117,6872.65,2703.76,0.0393
"US","Georgia","Colquitt",13071,45599,2398,75,5258.89,1644.77,0.0313
"US","Georgia","Columbia",13073,156714,12193,134,7780.42,855.06,0.0110
"US","Georgia","Cook",13075,17270,1196,26,6925.30,1505.50,0.0217
"US","Georgia","Coweta",13077,148509,10161,159,6842.01,1070.64,0.0156
"US","Georgia","Crawford",13079,12404,469,14,3781.04,1128.67,0.0299
"US","Georgia","Crisp",13081,22372,1300,56,5810.83,2503.13,0.0431
"US","Georgia","Dade",13083,16115,1090,7,6763.88,434.38,0.0064
"US","Georgia","Dawson",13085,26107,2117,34,8108.94,1302.33,0.0161
"US","Georgia","DeKalb",13089,759297,43822,584,5771.39,769.13,0.0133
"US","Georgia","Decatur",13087,26404,1600,34,6059.69,1287.68,0.0213
"US","Georgia","Dodge",13091,20605,1349,82,6546.95,3979.62,0.0608
"US","Georgia","Dooly",13093,13389,668,28,4989.17,2091.27,0.0419
"US","Georgia","Dougherty",13095,87956,4016,105,4565.92,1193.78,0.0261
"US","Georgia","Douglas",13097,146343,10737,133,7336.87,908.82,0.0124
"US","Georgia","Early",13099,10190,625,15,6133.46,1472.03,0.0240
"US","Georgia","Echols",13101,4006,212,7,5292.06,1747.38,0.0330
"US","Georgia","Effingham",13103,64296,3006,42,4675.25,653.23,0.0140
"US","Georgia","Elbert",13105,19193,1507,63,7851.82,3282.45,0.0418
"US","Georgia","Emanuel",13107,22645,1369,49,6045.48,2163.83,0.0358
"US","Georgia","Evans",13109,10654,489,18,4589.83,1689.51,0.0368
"US","Georgia","Fannin",13111,26187,1651,38,6304.65,1451.10,0.0230
"US","Georgia","Fayette",13113,114421,6496,114,5677.28,996.32,0.0175
"US","Georgia","Floyd",13115,98498,8382,170,8509.82,1725.92,0.0203
"US","Georgia","Forsyth",13117,244252,17352,134,7104.14,548.61,0.0077
"US","Georgia","Franklin",13119,23349,1828,35,7829.03,1498.99,0.0191
"US","Georgia","Fulton",13121,1063937,64719,729,6082.97,685.19,0.0113
"US","Georgia","Gilmer",13123,31369,2021,65,6442.67,2072.11,0.0322
"US","Georgia","Glascock",13125,2971,213,17,7169.30,5721.98,0.0798
"US","Georgia","Glynn",13127,85292,4399,67,5157.58,785.54,0.0152
"US","Georgia","Gordon",13129,57963,5960,72,10282.42,1242.17,0.0121
"US","Georgia","Grady",13131,24633,1251,34,5078.55,1380.26,0.0272
"US","Georgia","Greene",13133,18324,1232,36,6723.42,1964.64,0.0292
"US","Georgia","Gwinnett",13135,936249,69495,685,7422.70,731.64,0.0099
"US","Georgia","Habersham",13137,45328,3342,85,7372.93,1875.22,0.0254
