Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Indiana","Adams",18001,35777,3102,49,8670.37,1369.59,0.0158
"US","Indiana","Allen",18003,379299,32680,464,8615.89,1223.31,0.0142
"US","Indiana","Bartholomew",18005,83778,6675,87,7967.49,1038.46,0.0130
"US","Indiana","Benton",18007,8748,875,13,10002.29,1486.05,0.0149
"US","Indiana","Blackford",18009,11758,1209,27,10282.36,2296.31,0.0223
"US","Indiana","Boone",18011,67843,5537,48,8161.49,707.52,0.0087
"US","Indiana","Brown",18013,15091,893,37,5917.43,2451.79,0.0414
"US","Indiana","Carroll",18015,20257,1575,7,7775.09,345.56,0.0044
"US","Indiana","Cass",18017,37689,3714,90,9854.33,2387.96,0.0242
"US","Indiana","Clark",18019,118301,10402,131,8792.83,1107.34,0.0126
"US","Indiana","Clay",18021,26225,2218,38,8457.58,1449.00,0.0171
"US","Indiana","Clinton",18023,32398,3544,39,10938.95,1203.78,0.0110
"US","Indiana","Crawford",18025,10577,863,13,8159.21,1229.08,0.0151
"US","Indiana","Daviess",18027,33350,2211,70,6629.69,2098.95,0.0317
"US","Indiana","DeKalb",18033,43475,3591,68,8259.92,1564.12,0.0189
"US","Indiana","Dearborn",18029,49457,5011,44,10132.03,889.66,0.0088
"US","Indiana","Decatur",18031,26559,2327,53,8761.63,1995.56,0.0228
"US","Indiana","Delaware",18035,114135,8315,121,7285.23,1060.15,0.0146
"US","Indiana","Dubois",18037,42736,5070,98,11863.53,2293.15,0.0193
"US","Indiana","Elkhart",18039,206341,20478,317,9924.35,1536.29,0.0155
"US","Indiana","Fayette",18041,23102,2346,48,10154.96,2077.74,0.0205
"US","Indiana","Floyd",18043,78522,6146,103,7827.11,1311.73,0.0168
"US","Indiana","Fountain",18045,16346,1952,43,11941.76,2630.61,0.0220
"US","Indiana","Franklin",18047,22757,1342,10,5897.09,439.43,0.0075
"US","Indiana","Fulton",18049,19974,1664,37,8330.83,1852.41,0.0222
"US","Indiana","Gibson",18051,33659,3734,83,11093.62,2465.91,0.0222
"US","Indiana","Grant",18053,65769,5845,132,8887.17,2007.02,0.0226
"US","Indiana","Greene",18055,31922,2272,49,7117.35,1534.99,0.0216
"US","Indiana","Hamilton",18057,338011,29407,290,8700.01,857.96,0.0099
"US","Indiana","Hancock",18059,78168,7005,96,8961.47,1228.12,0.0137
"US","Indiana","Harrison",18061,40515,3679,44,9080.59,1086.02,0.0120
"US","Indiana","Hendricks",18063,170311,13994,182,8216.73,1068.63,0.0130
"US","Indiana","Henry",18065,47971,4744,74,9889.31,1542.60,0.0156
"US","Indiana","Howard",18067,82544,8298,144,10052.82,1744.52,0.0174
"US","Indiana","Huntington",18069,36520,3524,77,9649.51,2108.43,0.0219
"US","Indiana","Jackson",18071,44231,4150,59,9382.56,1333.91,0.0142
"US","Indiana","Jasper",18073,33562,3075,44,9162.15,1311.01,0.0143
"US","Indiana","Jay",18075,20436,1666,28,8152.28,1370.13,0.0168
"US","Indiana","Jefferson",18077,32308,2864,76,8864.68,2352.36,0.0265
"US","Indiana","Jennings",18079,27735,1929,35,6955.11,1261.94,0.0181
"US","Indiana","Johnson",18081,158167,15109,238,9552.56,1504.74,0.0158
"US","Indiana","Knox",18083,36594,3123,78,8534.19,2131.50,0.0250
"US","Indiana","Kosciusko",18085,79456,7823,96,9845.70,1208.22,0.0123
"US","Indiana","LaGrange",18087,39614,1876,58,4735.70,1464.13,0.0309
"US","Indiana","LaPorte",18091,109887,9432,161,8583.36,1465.14,0.0171
"US","Indiana","Lake",18089,485493,40704,590,8384.05,1215.26,0.0145
"US","Indiana","Lawrence",18093,45370,3809,87,8395.42,1917.57,0.0228
"US","Indiana","Madison",18095,129569,10606,257,8185.60,1983.50,0.0242
"US","Indiana","Marion",18097,964582,74620,903,7735.99,936.16,0.0121
"US","Indiana","Marshall",18099,46258,4743,82,10253.36,1772.67,0.0173
"US","Indiana","Martin",18101,10255,657,15,6406.63,1462.70,0.0228
"US","Indiana","Miami",18103,35515,3279,61,9232.72,1717.58,0.0186
"US","Indiana","Monroe",18105,148431,8751,127,5895.67,855.62,0.0145
"US","Indiana","Montgomery",18107,38337,3658,63,9541.70,1643.32,0.0172
"US","Indiana","Morgan",18109,70489,5646,97,8009.76,1376.10,0.0172
"US","Indiana","Newton",18111,13984,859,22,6142.73,1573.23,0.0256
"US","Indiana","Noble",18113,47744,4467,50,9356.15,1047.25,0.0112
"US","Indiana","Ohio",18115,5875,477,3,8119.15,510.64,0.0063
"US","Indiana","Orange",18117,19645,1480,28,7533.72,1425.30,0.0189
"US","Indiana","Owen",18119,20799,1747,54,8399.44,2596.28,0.0309
"US","Indiana","Parke",18121,16936,1334,14,7876.71,826.64,0.0105
"US","Indiana","Perry",18123,19169,1575,23,8216.39,1199.85,0.0146
"US","Indiana","Pike",18125,12388,1127,32,9097.51,2583.14,0.0284
"US","Indiana","Porter",18127,170389,15307,247,8983.56,1449.62,0.0161
"US","Indiana","Posey",18129,25427,2330,32,9163.49,1258.50,0.0137
"US","Indiana","Pulaski",18131,12353,1018,44,8240.91,3561.89,0.0432
"US","Indiana","Putnam",18133,37576,2940,48,7824.14,1277.41,0.0163
"US","Indiana","Randolph",18135,24665,2124,71,8611.39,2878.57,0.0334
"US","Indiana","Ripley",18137,28324,3033,60,10708.23,2118.34,0.0198
"US","Indiana","Rush",18139,16580,1546,20,9324.49,1206.27,0.0129
"US","Indiana","Scott",18143,23873,2216,42,9282.45,1759.31,0.0190
"US","Indiana","Shelby",18145,44729,4098,66,9161.84,1475.55,0.0161
"US","Indiana","Spencer",18147,20277,2015,28,9937.37,1380.87,0.0139
"US","Indiana","St. Joseph",18141,271826,27219,415,10013.39,1526.71,0.0152
"US","Indiana","Starke",18149,22994,1757,44,7641.12,1913.54,0.0250
"US","Indiana","Steuben",18151,34594,3238,49,9360.00,1416.43,0.0151
"US","Indiana","Sullivan",18153,20669,1736,27,8399.05,1306.30,0.0156
"US","Indiana","Switzerland",18155,10751,699,8,6501.72,744.12,0.0114
"US","Indiana","Tippecanoe",18157,195732,19158,199,9787.87,1016.70,0.0104
"US","Indiana","Tipton",18159,15148,1379,18,9103.51,1188.28,0.0131
"US","Indiana","Unassigned",90018,-1,0,362,0.00,0.00,0.0000
"US","Indiana","Union",18161,7054,618,10,8760.99,1417.64,0.0162
"US","Indiana","Vanderburgh",18163,181450,18244,358,10054.56,1973.00,0.0196
"US","Indiana","Vermillion",18165,15498,1526,43,9846.43,2774.55,0.0282
"US","Indiana","Vigo",18167,107038,10299,206,9621.82,1924.55,0.0200
"US","Indiana","Wabash",18169,30995,3196,68,10311.34,2193.90,0.0213
"US","Indiana","Warren",18171,8265,752,14,9098.61,1693.89,0.0186
"US","Indiana","Warrick",18173,62997,6310,112,10016.35,1777.86,0.0177
"US","Indiana","Washington",18175,28035,2034,28,7255.22,998.75,0.0138
"US","Indiana","Wayne",18177,65884,6109,183,9272.36,2777.61,0.0300
"US","Indiana","Wells",18179,28295,2587,76,9142.96,2685.99,0.0294
"US","Indiana","White",18181,24102,2587,39,10733.55,1618.12,0.0151
"US","Indiana","Whitley",18183,33964,3487,32,10266.75,942.17,0.0092
