Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Iowa","Adair",19001,7152,771,31,10780.20,4334.45,0.0402
"US","Iowa","Adams",19003,3602,293,4,8134.37,1110.49,0.0137
"US","Iowa","Allamakee",19005,13687,1227,44,8964.71,3214.73,0.0359
"US","Iowa","Appanoose",19007,12426,1123,44,9037.50,3540.96,0.0392
"US","Iowa","Audubon",19009,5496,406,8,7387.19,1455.60,0.0197
"US","Iowa","Benton",19011,25645,2170,54,8461.69,2105.67,0.0249
"US","Iowa","Black Hawk",19013,131228,11007,215,8387.69,1638.37,0.0195
"US","Iowa","Boone",19015,26234,2059,24,7848.59,914.84,0.0117
"US","Iowa","Bremer",19017,25062,2288,53,9129.36,2114.76,0.0232
"US","Iowa","Buchanan",19019,21174,1595,30,7532.82,1416.83,0.0188
"US","Iowa","Buena Vista",19021,19620,2213,28,11279.31,1427.12,0.0127
"US","Iowa","Butler",19023,14439,1347,32,9328.90,2216.22,0.0238
"US","Iowa","Calhoun",19025,9668,1141,8,11801.82,827.47,0.0070
"US","Iowa","Carroll",19027,20165,2098,45,10404.17,2231.59,0.0214
"US","Iowa","Cass",19029,12836,1172,52,9130.57,4051.11,0.0444
"US","Iowa","Cedar",19031,18627,1584,21,8503.78,1127.40,0.0133
"US","Iowa","Cerro Gordo",19033,42450,4152,64,9780.92,1507.66,0.0154
"US","Iowa","Cherokee",19035,11235,1311,36,11668.89,3204.27,0.0275
"US","Iowa","Chickasaw",19037,11933,961,14,8053.30,1173.22,0.0146
"US","Iowa","Clarke",19039,9395,713,20,7589.14,2128.79,0.0281
"US","Iowa","Clay",19041,16016,1765,21,11020.23,1311.19,0.0119
"US","Iowa","Clayton",19043,17549,1403,52,7994.76,2963.13,0.0371
"US","Iowa","Clinton",19045,46429,4227,68,9104.22,1464.60,0.0161
"US","Iowa","Crawford",19047,16820,1521,34,9042.81,2021.40,0.0224
"US","Iowa","Dallas",19049,93453,8061,58,8625.73,620.63,0.0072
"US","Iowa","Davis",19051,9000,671,20,7455.56,2222.22,0.0298
"US","Iowa","Decatur",19053,7870,520,8,6607.37,1016.52,0.0154
"US","Iowa","Delaware",19055,17011,1595,35,9376.29,2057.49,0.0219
"US","Iowa","Des Moines",19057,38966,3601,56,9241.39,1437.15,0.0156
"US","Iowa","Dickinson",19059,17258,1875,36,10864.53,2085.99,0.0192
"US","Iowa","Dubuque",19061,97311,9778,160,10048.20,1644.21,0.0164
"US","Iowa","Emmet",19063,9208,1011,30,10979.58,3258.04,0.0297
"US","Iowa","Fayette",19065,19650,1599,39,8137.40,1984.73,0.0244
"US","Iowa","Floyd",19067,15642,1200,38,7671.65,2429.36,0.0317
"US","Iowa","Franklin",19069,10070,776,3,7706.06,297.91,0.0039
"US","Iowa","Fremont",19071,6960,490,9,7040.23,1293.10,0.0184
"US","Iowa","Greene",19073,8888,658,10,7403.24,1125.11,0.0152
"US","Iowa","Grundy",19075,12232,1125,28,9197.19,2289.08,0.0249
"US","Iowa","Guthrie",19077,10689,918,20,8588.27,1871.08,0.0218
"US","Iowa","Hamilton",19079,14772,1447,46,9795.56,3114.00,0.0318
"US","Iowa","Hancock",19081,10629,1239,32,11656.79,3010.63,0.0258
"US","Iowa","Hardin",19083,16846,1490,41,8844.83,2433.81,0.0275
"US","Iowa","Harrison",19085,14049,1506,69,10719.62,4911.38,0.0458
"US","Iowa","Henry",19087,19954,2105,32,10549.26,1603.69,0.0152
"US","Iowa","Howard",19089,9158,837,15,9139.55,1637.91,0.0179
"US","Iowa","Humboldt",19091,9558,989,23,10347.35,2406.36,0.0233
"US","Iowa","Ida",19093,6860,766,31,11166.18,4518.95,0.0405
"US","Iowa","Iowa",19095,16184,1234,23,7624.81,1421.16,0.0186
"US","Iowa","Jackson",19097,19439,1823,39,9378.05,2006.28,0.0214
"US","Iowa","Jasper",19099,37185,3216,37,8648.65,995.02,0.0115
"US","Iowa","Jefferson",19101,18295,1166,33,6373.33,1803.77,0.0283
"US","Iowa","Johnson",19103,151140,8843,53,5850.87,350.67,0.0060
"US","Iowa","Jones",19105,20680,2644,52,12785.30,2514.51,0.0197
"US","Iowa","Keokuk",19107,10246,831,29,8110.48,2830.37,0.0349
"US","Iowa","Kossuth",19109,14813,1845,62,12455.28,4185.51,0.0336
"US","Iowa","Lee",19111,33657,3028,48,8996.64,1426.15,0.0159
"US","Iowa","Linn",19113,226705,16154,216,7125.56,952.78,0.0134
"US","Iowa","Louisa",19115,11035,833,34,7548.71,3081.11,0.0408
"US","Iowa","Lucas",19117,8600,593,16,6895.35,1860.47,0.0270
"US","Iowa","Lyon",19119,11754,1189,37,10115.71,3147.86,0.0311
"US","Iowa","Madison",19121,16337,1303,17,7975.76,1040.58,0.0130
"US","Iowa","Mahaska",19123,22095,1826,30,8264.31,1357.77,0.0164
"US","Iowa","Marion",19125,33253,2775,67,8345.11,2014.86,0.0241
"US","Iowa","Marshall",19127,39369,2974,39,7554.17,990.63,0.0131
"US","Iowa","Mills",19129,15109,1391,19,9206.43,1257.53,0.0137
"US","Iowa","Mitchell",19131,10585,1059,41,10004.72,3873.41,0.0387
"US","Iowa","Monona",19133,8615,650,29,7544.98,3366.22,0.0446
"US","Iowa","Monroe",19135,7706,777,17,10083.05,2206.07,0.0219
"US","Iowa","Montgomery",19137,9917,905,32,9125.74,3226.78,0.0354
"US","Iowa","Muscatine",19139,42664,3466,41,8123.95,961.00,0.0118
"US","Iowa","O'Brien",19141,13752,1568,51,11401.98,3708.55,0.0325
"US","Iowa","Osceola",19143,5957,583,16,9786.81,2685.92,0.0274
"US","Iowa","Page",19145,15107,1714,20,11345.73,1323.89,0.0117
"US","Iowa","Palo Alto",19147,8886,899,21,10117.04,2363.27,0.0234
"US","Iowa","Plymouth",19149,25176,2796,58,11105.82,2303.78,0.0207
"US","Iowa","Pocahontas",19151,6618,669,19,10108.79,2870.96,0.0284
"US","Iowa","Polk",19153,490161,39858,338,8131.61,689.57,0.0085
"US","Iowa","Pottawattamie",19155,93206,8540,122,9162.50,1308.93,0.0143
"US","Iowa","Poweshiek",19157,18504,1216,24,6571.55,1297.02,0.0197
"US","Iowa","Ringgold",19159,4894,483,20,9869.23,4086.64,0.0414
"US","Iowa","Sac",19161,9721,1007,19,10359.02,1954.53,0.0189
"US","Iowa","Scott",19163,172942,15923,206,9207.13,1191.15,0.0129
"US","Iowa","Shelby",19165,11453,1007,36,8792.46,3143.28,0.0357
"US","Iowa","Sioux",19167,34855,3382,69,9703.06,1979.63,0.0204
"US","Iowa","Story",19169,97116,6829,30,7031.80,308.91,0.0044
"US","Iowa","Tama",19171,16853,1324,39,7856.17,2314.13,0.0295
"US","Iowa","Taylor",19173,6121,513,11,8380.98,1797.09,0.0214
"US","Iowa","Unassigned",90019,-1,990,0,0.00,0.00,0.0000
"US","Iowa","Union",19175,12241,1098,29,8969.86,2369.09,0.0264
"US","Iowa","Van Buren",19177,7044,437,17,6203.86,2413.40,0.0389
"US","Iowa","Wapello",19179,34969,2912,63,8327.38,1801.60,0.0216
"US","Iowa","Warren",19181,51466,4572,80,8883.53,1554.42,0.0175
"US","Iowa","Washington",19183,21965,2013,38,9164.58,1730.03,0.0189
"US","Iowa","Wayne",19185,6441,432,20,6707.03,3105.11,0.0463
"US","Iowa","Webster",19187,35904,3778,77,10522.50,2144.61,0.0204
"US","Iowa","Winnebago",19189,10354,1044,17,10083.06,1641.88,0.0163
"US","Iowa","Winneshiek",19191,19991,1601,26,8008.60,1300.59,0.0162
"US","Iowa","Woodbury",19193,103106,9322,154,9041.18,1493.61,0.0165
"US","Iowa","Worth",19195,7381,597,8,8088.33,1083.86,0.0134
"US","Iowa","Wright",19197,12562,1205,34,9592.42,2706.58,0.0282
