Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Kansas","Allen",20001,12369,1172,17,9475.30,1374.40,0.0145
"US","Kansas","Anderson",20003,7858,753,18,9582.59,2290.66,0.0239
"US","Kansas","Atchison",20005,16073,1251,11,7783.24,684.38,0.0088
"US","Kansas","Barber",20007,4427,363,6,8199.68,1355.32,0.0165
"US","Kansas","Barton",20009,25779,2095,40,8126.77,1551.65,0.0191
"US","Kansas","Bourbon",20011,14534,1201,23,8263.38,1582.50,0.0192
"US","Kansas","Brown",20013,9564,1103,34,11532.83,3555.00,0.0308
"US","Kansas","Butler",20015,66911,6478,81,9681.52,1210.56,0.0125
"US","Kansas","Chase",20017,2648,169,1,6382.18,377.64,0.0059
"US","Kansas","Chautauqua",20019,3249,246,6,7571.56,1846.72,0.0244
"US","Kansas","Cherokee",20021,19939,1940,44,9729.68,2206.73,0.0227
"US","Kansas","Cheyenne",20023,2657,296,12,11140.38,4516.37,0.0405
"US","Kansas","Clark",20025,1993,196,6,9834.42,3010.54,0.0306
"US","Kansas","Clay",20027,8001,740,27,9248.84,3374.58,0.0365
"US","Kansas","Cloud",20029,8785,905,22,10301.65,2504.27,0.0243
"US","Kansas","Coffey",20031,8178,601,14,7348.99,1711.91,0.0233
"US","Kansas","Comanche",20033,1700,154,9,9058.82,5294.12,0.0584
"US","Kansas","Cowley",20035,34908,3520,101,10083.65,2893.32,0.0287
"US","Kansas","Crawford",20037,38818,3604,68,9284.35,1751.76,0.0189
"US","Kansas","Decatur",20039,2827,240,11,8489.56,3891.05,0.0458
"US","Kansas","Dickinson",20041,18465,1525,42,8258.87,2274.57,0.0275
"US","Kansas","Doniphan",20043,7600,850,23,11184.21,3026.32,0.0271
"US","Kansas","Douglas",20045,122259,6795,71,5557.87,580.73,0.0104
"US","Kansas","Edwards",20047,2798,209,12,7469.62,4288.78,0.0574
"US","Kansas","Elk",20049,2530,172,5,6798.42,1976.28,0.0291
"US","Kansas","Ellis",20051,28553,2715,68,9508.63,2381.54,0.0250
"US","Kansas","Ellsworth",20053,6102,1167,25,19124.88,4097.02,0.0214
"US","Kansas","Finney",20055,36466,3866,59,10601.66,1617.95,0.0153
"US","Kansas","Ford",20057,33619,2857,62,8498.17,1844.20,0.0217
"US","Kansas","Franklin",20059,25544,2140,38,8377.70,1487.63,0.0178
"US","Kansas","Geary",20061,31670,2827,37,8926.43,1168.30,0.0131
"US","Kansas","Gove",20063,2636,331,19,12556.90,7207.89,0.0574
"US","Kansas","Graham",20065,2482,226,6,9105.56,2417.41,0.0265
"US","Kansas","Grant",20067,7150,650,13,9090.91,1818.18,0.0200
"US","Kansas","Gray",20069,5987,426,14,7115.42,2338.40,0.0329
"US","Kansas","Greeley",20071,1231,94,1,7636.07,812.35,0.0106
"US","Kansas","Greenwood",20073,5982,504,11,8425.28,1838.85,0.0218
"US","Kansas","Hamilton",20075,2539,155,1,6104.77,393.86,0.0065
"US","Kansas","Harper",20077,5436,496,16,9124.36,2943.34,0.0323
"US","Kansas","Harvey",20079,34428,3211,64,9326.71,1858.95,0.0199
"US","Kansas","Haskell",20081,3968,295,8,7434.48,2016.13,0.0271
"US","Kansas","Hodgeman",20083,1794,186,8,10367.89,4459.31,0.0430
"US","Kansas","Jackson",20085,13171,1150,14,8731.30,1062.94,0.0122
"US","Kansas","Jefferson",20087,19043,1496,29,7855.91,1522.87,0.0194
"US","Kansas","Jewell",20089,2879,192,3,6668.98,1042.03,0.0156
"US","Kansas","Johnson",20091,602401,45643,590,7576.85,979.41,0.0129
"US","Kansas","Kearny",20093,3838,468,9,12193.85,2344.97,0.0192
"US","Kansas","Kingman",20095,7151,653,14,9131.59,1957.77,0.0214
"US","Kansas","Kiowa",20097,2475,211,4,8525.25,1616.16,0.0190
"US","Kansas","Labette",20099,19617,2477,42,12626.80,2141.00,0.0170
"US","Kansas","Lane",20101,1534,112,7,7301.17,4563.23,0.0625
"US","Kansas","Leavenworth",20103,81758,4931,79,6031.21,966.27,0.0160
"US","Kansas","Lincoln",20105,2961,248,4,8375.55,1350.89,0.0161
"US","Kansas","Linn",20107,9703,713,8,7348.24,824.49,0.0112
"US","Kansas","Logan",20109,2794,268,5,9591.98,1789.55,0.0187
"US","Kansas","Lyon",20111,33194,3104,50,9351.09,1506.30,0.0161
"US","Kansas","Marion",20115,11884,954,23,8027.60,1935.38,0.0241
"US","Kansas","Marshall",20117,9707,1051,23,10827.24,2369.42,0.0219
"US","Kansas","McPherson",20113,28542,2949,79,10332.14,2767.85,0.0268
"US","Kansas","Meade",20119,4033,375,11,9298.29,2727.50,0.0293
"US","Kansas","Miami",20121,34237,2311,40,6750.01,1168.33,0.0173
"US","Kansas","Mitchell",20123,5978,514,18,8598.19,3011.04,0.0350
"US","Kansas","Montgomery",20125,31828,2991,71,9397.39,2230.74,0.0237
"US","Kansas","Morris",20127,5620,536,22,9537.37,3914.59,0.0410
"US","Kansas","Morton",20129,2587,237,5,9161.19,1932.74,0.0211
