Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Maine","Androscoggin",23001,108277,5519,50,5097.11,461.78,0.0091
"US","Maine","Aroostook",23003,67055,1494,44,2228.02,656.18,0.0295
"US","Maine","Cumberland",23005,295003,12830,117,4349.11,396.61,0.0091
"US","Maine","Franklin",23007,30199,1048,12,3470.31,397.36,0.0115
"US","Maine","Hancock",23009,54986,1125,35,2045.98,636.53,0.0311
"US","Maine","Kennebec",23011,122302,4782,50,3909.99,408.82,0.0105
"US","Maine","Knox",23013,39771,848,4,2132.21,100.58,0.0047
"US","Maine","Lincoln",23015,34634,708,1,2044.23,28.87,0.0014
"US","Maine","Out of ME",80023,-1,0,0,0.00,0.00,0.0000
"US","Maine","Oxford",23017,57975,2736,57,4719.28,983.18,0.0208
"US","Maine","Penobscot",23019,152148,4756,83,3125.90,545.52,0.0175
"US","Maine","Piscataquis",23021,16785,403,4,2400.95,238.31,0.0099
"US","Maine","Sagadahoc",23023,35855,1077,7,3003.77,195.23,0.0065
"US","Maine","Somerset",23025,50483,1547,20,3064.40,396.17,0.0129
"US","Maine","Unassigned",90023,-1,2,0,0.00,0.00,0.0000
"US","Maine","Waldo",23027,39715,693,5,1744.93,125.90,0.0072
"US","Maine","Washington",23029,31379,788,15,2511.23,478.03,0.0190
"US","Maine","York",23031,207641,10630,112,5119.41,539.39,0.0105
