Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Michigan","Alcona",26001,10405,576,24,5535.80,2306.58,0.0417
"US","Michigan","Alger",26003,9108,460,5,5050.51,548.97,0.0109
"US","Michigan","Allegan",26005,118081,8680,117,7350.89,990.85,0.0135
"US","Michigan","Alpena",26007,28404,1719,38,6051.96,1337.84,0.0221
"US","Michigan","Antrim",26009,23324,1349,22,5783.74,943.23,0.0163
"US","Michigan","Arenac",26011,14883,893,24,6000.13,1612.58,0.0269
"US","Michigan","Baraga",26013,8209,610,31,7430.87,3776.34,0.0508
"US","Michigan","Barry",26015,61550,4557,51,7403.74,828.59,0.0112
"US","Michigan","Bay",26017,103126,8620,262,8358.71,2540.58,0.0304
"US","Michigan","Benzie",26019,17766,1037,30,5836.99,1688.62,0.0289
"US","Michigan","Berrien",26021,153401,11920,184,7770.48,1199.47,0.0154
"US","Michigan","Branch",26023,43517,3685,85,8467.96,1953.26,0.0231
"US","Michigan","Calhoun",26025,134159,11058,211,8242.46,1572.76,0.0191
"US","Michigan","Cass",26027,51787,4354,54,8407.52,1042.73,0.0124
"US","Michigan","Charlevoix",26029,26143,1317,12,5037.68,459.01,0.0091
"US","Michigan","Cheboygan",26031,25276,1500,36,5934.48,1424.28,0.0240
"US","Michigan","Chippewa",26033,37348,2161,31,5786.12,830.03,0.0143
"US","Michigan","Clare",26035,30950,1944,66,6281.10,2132.47,0.0340
"US","Michigan","Clinton",26037,79595,6086,64,7646.21,804.07,0.0105
"US","Michigan","Crawford",26039,14029,753,2,5367.45,142.56,0.0027
"US","Michigan","Delta",26041,35784,3094,79,8646.32,2207.69,0.0255
"US","Michigan","Dickinson",26043,25238,2426,69,9612.49,2733.97,0.0284
"US","Michigan","Eaton",26045,110268,8306,159,7532.56,1441.94,0.0191
"US","Michigan","Emmet",26047,33415,1872,36,5602.27,1077.36,0.0192
"US","Michigan","Federal Correctional Institution (FCI)",0,-1,121,0,0.00,0.00,0.0000
"US","Michigan","Genesee",26049,405813,31318,511,7717.35,1259.20,0.0163
"US","Michigan","Gladwin",26051,25449,1885,41,7406.97,1611.07,0.0218
"US","Michigan","Gogebic",26053,13975,1184,48,8472.27,3434.70,0.0405
"US","Michigan","Grand Traverse",26055,93088,5226,73,5614.04,784.20,0.0140
"US","Michigan","Gratiot",26057,40710,3123,92,7671.33,2259.89,0.0295
"US","Michigan","Hillsdale",26059,45605,3565,55,7817.13,1206.01,0.0154
"US","Michigan","Houghton",26061,35683,2455,38,6880.03,1064.93,0.0155
"US","Michigan","Huron",26063,30980,3355,62,10829.57,2001.29,0.0185
"US","Michigan","Ingham",26065,292406,18632,275,6371.96,940.47,0.0148
"US","Michigan","Ionia",26067,64697,4830,68,7465.57,1051.05,0.0141
"US","Michigan","Iosco",26069,25126,1490,56,5930.11,2228.77,0.0376
"US","Michigan","Iron",26071,11066,786,48,7102.84,4337.61,0.0611
"US","Michigan","Isabella",26073,69872,4611,66,6599.21,944.58,0.0143
"US","Michigan","Jackson",26075,158510,12595,202,7945.87,1274.37,0.0160
"US","Michigan","Kalamazoo",26077,265066,16853,247,6358.04,931.84,0.0147
"US","Michigan","Kalkaska",26079,18038,862,12,4778.80,665.26,0.0139
"US","Michigan","Kent",26081,656955,53022,584,8070.87,888.95,0.0110
"US","Michigan","Keweenaw",26083,2116,155,2,7325.14,945.18,0.0129
