Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Montana","Beaverhead",30001,9453,805,7,8515.82,740.51,0.0087
"US","Montana","Big Horn",30003,13319,1603,52,12035.44,3904.20,0.0324
"US","Montana","Blaine",30005,6681,697,23,10432.57,3442.60,0.0330
"US","Montana","Broadwater",30007,6237,452,5,7247.07,801.67,0.0111
"US","Montana","Carbon",30009,10725,739,14,6890.44,1305.36,0.0189
"US","Montana","Carter",30011,1252,141,5,11261.98,3993.61,0.0355
"US","Montana","Cascade",30013,81366,7985,161,9813.68,1978.71,0.0202
"US","Montana","Chouteau",30015,5635,466,6,8269.74,1064.77,0.0129
"US","Montana","Custer",30017,11402,1061,15,9305.39,1315.56,0.0141
"US","Montana","Daniels",30019,1690,191,7,11301.78,4142.01,0.0366
"US","Montana","Dawson",30021,8613,1023,29,11877.39,3367.00,0.0283
"US","Montana","Deer Lodge",30023,9140,961,15,10514.22,1641.14,0.0156
"US","Montana","Fallon",30025,2846,272,2,9557.27,702.74,0.0074
"US","Montana","Fergus",30027,11050,1031,28,9330.32,2533.94,0.0272
"US","Montana","Flathead",30029,103806,10450,73,10066.86,703.23,0.0070
"US","Montana","Gallatin",30031,114433,12546,56,10963.62,489.37,0.0045
"US","Montana","Garfield",30033,1258,61,2,4848.97,1589.83,0.0328
"US","Montana","Glacier",30035,13753,1207,40,8776.27,2908.46,0.0331
"US","Montana","Golden Valley",30037,821,48,1,5846.53,1218.03,0.0208
"US","Montana","Granite",30039,3379,167,2,4942.29,591.89,0.0120
"US","Montana","Hill",30041,16484,1778,40,10786.22,2426.60,0.0225
"US","Montana","Jefferson",30043,12221,979,8,8010.80,654.61,0.0082
"US","Montana","Judith Basin",30045,2007,82,1,4085.70,498.26,0.0122
"US","Montana","Lake",30047,30457,1726,34,5667.01,1116.33,0.0197
"US","Montana","Lewis and Clark",30049,69432,6380,81,9188.85,1166.61,0.0127
"US","Montana","Liberty",30051,2337,98,1,4193.41,427.90,0.0102
"US","Montana","Lincoln",30053,19980,1474,13,7377.38,650.65,0.0088
"US","Montana","Madison",30057,8600,645,7,7500.00,813.95,0.0109
"US","Montana","McCone",30055,1663,161,1,9681.30,601.32,0.0062
"US","Montana","Meagher",30059,1861,107,5,5749.60,2686.73,0.0467
"US","Montana","Mineral",30061,4397,247,0,5617.47,0.00,0.0000
"US","Montana","Missoula",30063,119600,8122,88,6790.97,735.79,0.0108
"US","Montana","Musselshell",30065,4633,296,8,6388.95,1726.74,0.0270
"US","Montana","Park",30067,16606,1135,17,6834.88,1023.73,0.0150
"US","Montana","Petroleum",30069,487,12,1,2464.07,2053.39,0.0833
"US","Montana","Phillips",30071,3954,399,16,10091.05,4046.54,0.0401
"US","Montana","Pondera",30073,5910,419,3,7089.68,507.61,0.0072
"US","Montana","Powder River",30075,1682,107,6,6361.47,3567.18,0.0561
"US","Montana","Powell",30077,6889,901,9,13078.82,1306.43,0.0100
"US","Montana","Prairie",30079,1077,137,2,12720.52,1857.01,0.0146
"US","Montana","Ravalli",30081,43806,2811,28,6416.93,639.18,0.0100
"US","Montana","Richland",30083,10803,1059,13,9802.83,1203.37,0.0123
"US","Montana","Roosevelt",30085,11004,1258,48,11432.21,4362.05,0.0382
"US","Montana","Rosebud",30087,8937,554,27,6198.95,3021.15,0.0487
"US","Montana","Sanders",30089,12113,575,13,4746.97,1073.23,0.0226
"US","Montana","Sheridan",30091,3308,405,5,12243.05,1511.49,0.0123
"US","Montana","Silver Bow",30093,34915,3772,82,10803.38,2348.56,0.0217
"US","Montana","Stillwater",30095,9642,642,11,6658.37,1140.84,0.0171
"US","Montana","Sweet Grass",30097,3736,342,5,9154.18,1338.33,0.0146
"US","Montana","Teton",30099,6147,423,5,6881.41,813.40,0.0118
"US","Montana","Toole",30101,4735,613,3,12946.15,633.58,0.0049
"US","Montana","Treasure",30103,696,51,1,7327.59,1436.78,0.0196
"US","Montana","Unassigned",90030,-1,0,0,0.00,0.00,0.0000
"US","Montana","Valley",30105,7396,786,17,10627.37,2298.54,0.0216
"US","Montana","Wheatland",30107,2126,158,6,7431.80,2822.20,0.0380
"US","Montana","Wibaux",30109,969,110,6,11351.91,6191.95,0.0545
"US","Montana","Yellowstone",30111,161299,13676,194,8478.66,1202.74,0.0142
