Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","North Carolina","Alamance",37001,169509,13394,204,7901.65,1203.48,0.0152
"US","North Carolina","Alexander",37003,37497,3736,76,9963.46,2026.83,0.0203
"US","North Carolina","Alleghany",37005,11137,743,5,6671.46,448.95,0.0067
"US","North Carolina","Anson",37007,24445,1870,50,7649.83,2045.41,0.0267
"US","North Carolina","Ashe",37009,27203,1752,40,6440.47,1470.43,0.0228
"US","North Carolina","Avery",37011,17557,1688,20,9614.40,1139.15,0.0118
"US","North Carolina","Beaufort",37013,46994,3502,69,7452.02,1468.27,0.0197
"US","North Carolina","Bertie",37015,18947,1127,34,5948.17,1794.48,0.0302
"US","North Carolina","Bladen",37017,32722,2249,25,6873.05,764.01,0.0111
"US","North Carolina","Brunswick",37019,142820,7164,120,5016.10,840.22,0.0168
"US","North Carolina","Buncombe",37021,261191,13770,228,5272.00,872.92,0.0166
"US","North Carolina","Burke",37023,90485,7587,109,8384.82,1204.62,0.0144
"US","North Carolina","Cabarrus",37025,216453,16650,177,7692.20,817.73,0.0106
"US","North Carolina","Caldwell",37027,82177,7425,84,9035.37,1022.18,0.0113
"US","North Carolina","Camden",37029,10867,520,2,4785.13,184.04,0.0038
"US","North Carolina","Carteret",37031,69472,4207,41,6055.68,590.17,0.0097
"US","North Carolina","Caswell",37033,22604,1738,22,7688.90,973.28,0.0127
"US","North Carolina","Catawba",37035,159551,15383,243,9641.43,1523.02,0.0158
"US","North Carolina","Chatham",37037,74470,2815,28,3780.05,375.99,0.0099
"US","North Carolina","Cherokee",37039,28612,1727,8,6035.93,279.60,0.0046
"US","North Carolina","Chowan",37041,13943,1055,18,7566.52,1290.97,0.0171
"US","North Carolina","Clay",37043,11230,583,16,5191.45,1424.76,0.0274
"US","North Carolina","Cleveland",37045,97947,8841,158,9026.31,1613.12,0.0179
"US","North Carolina","Columbus",37047,55508,4825,92,8692.44,1657.42,0.0191
"US","North Carolina","Craven",37049,102138,7429,86,7273.49,842.00,0.0116
"US","North Carolina","Cumberland",37051,335509,21256,216,6335.45,643.80,0.0102
"US","North Carolina","Currituck",37053,27763,1302,12,4689.69,432.23,0.0092
"US","North Carolina","Dare",37055,37009,1761,5,4758.30,135.10,0.0028
"US","North Carolina","Davidson",37057,167609,13002,147,7757.34,877.04,0.0113
"US","North Carolina","Davie",37059,42846,3346,30,7809.36,700.18,0.0090
"US","North Carolina","Duplin",37061,58741,3730,75,6349.91,1276.79,0.0201
"US","North Carolina","Durham",37063,321488,16252,121,5055.24,376.37,0.0074
"US","North Carolina","Edgecombe",37065,51472,3882,59,7541.96,1146.25,0.0152
"US","North Carolina","Forsyth",37067,382294,27250,266,7128.02,695.80,0.0098
"US","North Carolina","Franklin",37069,69685,5101,17,7320.08,243.95,0.0033
"US","North Carolina","Gaston",37071,224529,20333,326,9055.85,1451.93,0.0160
"US","North Carolina","Gates",37073,11562,575,8,4973.19,691.92,0.0139
"US","North Carolina","Graham",37075,8440,413,8,4893.36,947.87,0.0194
"US","North Carolina","Granville",37077,60443,3970,29,6568.17,479.79,0.0073
"US","North Carolina","Greene",37079,21069,1627,37,7722.25,1756.13,0.0227
"US","North Carolina","Guilford",37081,537174,36197,462,6738.41,860.06,0.0128
"US","North Carolina","Halifax",37083,50010,4343,87,8684.26,1739.65,0.0200
"US","North Carolina","Harnett",37085,135976,8654,112,6364.36,823.67,0.0129
"US","North Carolina","Haywood",37087,62317,3567,60,5723.96,962.82,0.0168
"US","North Carolina","Henderson",37089,117417,7765,91,6613.18,775.02,0.0117
"US","North Carolina","Hertford",37091,23676,1287,33,5435.88,1393.82,0.0256
"US","North Carolina","Hoke",37093,55234,3292,37,5960.10,669.88,0.0112
"US","North Carolina","Hyde",37095,4937,524,3,10613.73,607.66,0.0057
"US","North Carolina","Iredell",37097,181806,14867,173,8177.40,951.56,0.0116
"US","North Carolina","Jackson",37099,43937,2897,48,6593.53,1092.47,0.0166
"US","North Carolina","Johnston",37101,209339,15571,152,7438.17,726.09,0.0098
"US","North Carolina","Jones",37103,9419,644,6,6837.24,637.01,0.0093
"US","North Carolina","Lee",37105,61778,4129,61,6683.61,987.41,0.0148
"US","North Carolina","Lenoir",37107,55949,4713,77,8423.74,1376.25,0.0163
"US","North Carolina","Lincoln",37109,86111,7929,69,9207.88,801.29,0.0087
"US","North Carolina","Macon",37113,35858,2266,30,6319.37,836.63,0.0132
"US","North Carolina","Madison",37115,21755,1408,39,6472.08,1792.69,0.0277
"US","North Carolina","Martin",37117,22440,1731,28,7713.90,1247.77,0.0162
