Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","North Dakota","Adams",38001,2216,247,3,11146.21,1353.79,0.0121
"US","North Dakota","Barnes",38003,10415,1126,31,10811.33,2976.48,0.0275
"US","North Dakota","Benson",38005,6832,704,12,10304.45,1756.44,0.0170
"US","North Dakota","Billings",38007,928,36,0,3879.31,0.00,0.0000
"US","North Dakota","Bottineau",38009,6282,624,16,9933.14,2546.96,0.0256
"US","North Dakota","Bowman",38011,3024,359,5,11871.69,1653.44,0.0139
"US","North Dakota","Burke",38013,2115,199,0,9408.98,0.00,0.0000
"US","North Dakota","Burleigh",38015,95626,11574,142,12103.40,1484.95,0.0123
"US","North Dakota","Cass",38017,181922,18499,122,10168.64,670.62,0.0066
"US","North Dakota","Cavalier",38019,3761,373,5,9917.58,1329.43,0.0134
"US","North Dakota","Dickey",38021,4872,692,32,14203.61,6568.14,0.0462
"US","North Dakota","Divide",38023,2264,165,1,7287.99,441.70,0.0061
"US","North Dakota","Dunn",38025,4424,266,5,6012.66,1130.20,0.0188
"US","North Dakota","Eddy",38027,2286,379,3,16579.18,1312.34,0.0079
"US","North Dakota","Emmons",38029,3241,238,11,7343.41,3394.01,0.0462
"US","North Dakota","Foster",38031,3210,511,18,15919.00,5607.48,0.0352
"US","North Dakota","Golden Valley",38033,1761,207,2,11754.68,1135.72,0.0097
"US","North Dakota","Grand Forks",38035,69451,8078,64,11631.22,921.51,0.0079
"US","North Dakota","Grant",38037,2274,171,6,7519.79,2638.52,0.0351
"US","North Dakota","Griggs",38039,2231,253,1,11340.21,448.23,0.0040
"US","North Dakota","Hettinger",38041,2499,260,4,10404.16,1600.64,0.0154
"US","North Dakota","Kidder",38043,2480,209,10,8427.42,4032.26,0.0478
"US","North Dakota","LaMoure",38045,4046,451,17,11146.81,4201.68,0.0377
"US","North Dakota","Logan",38047,1850,180,8,9729.73,4324.32,0.0444
"US","North Dakota","McHenry",38049,5745,556,20,9677.98,3481.29,0.0360
"US","North Dakota","McIntosh",38051,2497,259,4,10372.45,1601.92,0.0154
"US","North Dakota","McKenzie",38053,15024,994,10,6616.08,665.60,0.0101
"US","North Dakota","McLean",38055,9450,971,26,10275.13,2751.32,0.0268
"US","North Dakota","Mercer",38057,8186,950,9,11605.18,1099.44,0.0095
"US","North Dakota","Morton",38059,31364,3825,71,12195.51,2263.74,0.0186
"US","North Dakota","Mountrail",38061,10545,1039,15,9853.01,1422.48,0.0144
"US","North Dakota","Nelson",38063,2879,404,14,14032.65,4862.80,0.0347
"US","North Dakota","Oliver",38065,1959,132,3,6738.13,1531.39,0.0227
"US","North Dakota","Pembina",38067,6801,713,11,10483.75,1617.41,0.0154
"US","North Dakota","Pierce",38069,3975,499,25,12553.46,6289.31,0.0501
"US","North Dakota","Ramsey",38071,11519,1445,28,12544.49,2430.77,0.0194
"US","North Dakota","Ransom",38073,5217,576,17,11040.83,3258.58,0.0295
"US","North Dakota","Renville",38075,2327,254,13,10915.34,5586.59,0.0512
"US","North Dakota","Richland",38077,16177,1715,15,10601.47,927.24,0.0087
"US","North Dakota","Rolette",38079,14176,1944,23,13713.32,1622.46,0.0118
"US","North Dakota","Sargent",38081,3898,392,5,10056.44,1282.71,0.0128
"US","North Dakota","Sheridan",38083,1315,102,2,7756.65,1520.91,0.0196
"US","North Dakota","Sioux",38085,4230,494,8,11678.49,1891.25,0.0162
"US","North Dakota","Slope",38087,750,24,0,3200.00,0.00,0.0000
"US","North Dakota","Stark",38089,31489,3012,37,9565.25,1175.01,0.0123
"US","North Dakota","Steele",38091,1890,150,2,7936.51,1058.20,0.0133
"US","North Dakota","Stutsman",38093,20703,2892,77,13968.99,3719.27,0.0266
"US","North Dakota","Towner",38095,2189,290,11,13248.06,5025.13,0.0379
"US","North Dakota","Traill",38097,8035,910,18,11325.45,2240.20,0.0198
"US","North Dakota","Unassigned",90038,-1,0,31,0.00,0.00,0.0000
"US","North Dakota","Walsh",38099,10640,1641,23,15422.93,2161.65,0.0140
"US","North Dakota","Ward",38101,67641,8399,184,12417.03,2720.24,0.0219
"US","North Dakota","Wells",38103,3833,404,8,10540.05,2087.14,0.0198
"US","North Dakota","Williams",38105,37589,3618,30,9625.16,798.11,0.0083
