Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Ohio","Adams",39001,27698,2143,49,7737.02,1769.08,0.0229
"US","Ohio","Allen",39003,102351,9846,167,9619.84,1631.64,0.0170
"US","Ohio","Ashland",39005,53484,3869,84,7233.94,1570.56,0.0217
"US","Ohio","Ashtabula",39007,97241,5809,133,5973.82,1367.74,0.0229
"US","Ohio","Athens",39009,65327,4284,54,6557.78,826.61,0.0126
"US","Ohio","Auglaize",39011,45655,4128,72,9041.73,1577.05,0.0174
"US","Ohio","Belmont",39013,67006,4879,142,7281.44,2119.21,0.0291
"US","Ohio","Brown",39015,43432,3567,53,8212.84,1220.30,0.0149
"US","Ohio","Butler",39017,383134,31546,475,8233.67,1239.78,0.0151
"US","Ohio","Carroll",39019,26913,1735,40,6446.70,1486.27,0.0231
"US","Ohio","Champaign",39021,38885,2884,55,7416.74,1414.43,0.0191
"US","Ohio","Clark",39023,134083,11749,257,8762.48,1916.72,0.0219
"US","Ohio","Clermont",39025,206427,17670,217,8559.93,1051.22,0.0123
"US","Ohio","Clinton",39027,41968,3302,53,7867.90,1262.87,0.0161
"US","Ohio","Columbiana",39029,101883,6589,143,6467.22,1403.57,0.0217
"US","Ohio","Coshocton",39031,36600,2352,48,6426.23,1311.48,0.0204
"US","Ohio","Crawford",39033,41493,3616,91,8714.72,2193.14,0.0252
"US","Ohio","Cuyahoga",39035,1235072,89091,1550,7213.43,1254.99,0.0174
"US","Ohio","Darke",39037,51113,4441,88,8688.59,1721.68,0.0198
"US","Ohio","Defiance",39039,38087,3685,86,9675.22,2257.99,0.0233
"US","Ohio","Delaware",39041,209176,15693,109,7502.29,521.09,0.0069
"US","Ohio","Erie",39043,74266,6590,123,8873.51,1656.21,0.0187
"US","Ohio","Fairfield",39045,157573,13529,156,8585.86,990.02,0.0115
"US","Ohio","Fayette",39047,28525,2532,46,8876.42,1612.62,0.0182
"US","Ohio","Franklin",39049,1316756,94710,879,7192.68,667.55,0.0093
"US","Ohio","Fulton",39051,42126,3803,64,9027.68,1519.25,0.0168
"US","Ohio","Gallia",39053,29898,2131,38,7127.57,1270.99,0.0178
"US","Ohio","Geauga",39055,93649,5797,101,6190.14,1078.50,0.0174
