Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Germany","Baden-Wurttemberg","",0,11069533,240974,1997,2176.91,180.41,0.0083
"Germany","Bayern","",0,13076721,285882,2446,2186.19,187.05,0.0086
"Germany","Berlin","",0,3644826,69081,571,1895.32,156.66,0.0083
"Germany","Brandenburg","",0,2511917,31115,491,1238.70,195.47,0.0158
"Germany","Bremen","",0,682986,12397,99,1815.12,144.95,0.0080
"Germany","Hamburg","",0,1841179,32100,397,1743.45,215.62,0.0124
"Germany","Hessen","",0,6265808,117283,1282,1871.79,204.60,0.0109
"Germany","Mecklenburg-Vorpommern","",0,1609675,18490,325,1148.68,201.90,0.0176
"Germany","Niedersachsen","",0,7982448,105117,988,1316.85,123.77,0.0094
"Germany","Nordrhein-Westfalen","",0,17932650,348343,3413,1942.51,190.32,0.0098
"Germany","Rheinland-Pfalz","",0,4084844,66794,661,1635.17,161.82,0.0099
"Germany","Saarland","",0,990508,15763,113,1591.41,114.08,0.0072
"Germany","Sachsen","",0,4077937,91641,1655,2247.24,405.84,0.0181
"Germany","Sachsen-Anhalt","",0,2208321,31578,661,1429.96,299.32,0.0209
"Germany","Schleswig-Holstein","",0,2896712,28073,257,969.13,88.72,0.0092
"Germany","Thuringen","",0,2143145,49331,923,2301.80,430.68,0.0187
"Germany","Unknown","",0,-1,2274,0,0.00,0.00,0.0000
