Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"India","Andaman and Nicobar Islands","",0,417036,2337,65,560.38,155.86,0.0278
"India","Andhra Pradesh","",0,53903392,1114947,6995,2068.42,129.77,0.0063
"India","Arunachal Pradesh","",0,1570458,38176,224,2430.88,142.63,0.0059
"India","Assam","",0,35607039,387325,4878,1087.78,137.00,0.0126
"India","Bihar","",0,124799926,413473,7941,331.31,63.63,0.0192
"India","Chandigarh","",0,1158473,32294,410,2787.64,353.91,0.0127
"India","Chhattisgarh","",0,29436230,489501,7944,1662.92,269.87,0.0162
"India","Dadra and Nagar Haveli and Daman and Diu","",0,615723,5948,0,966.02,0.00,0.0000
"India","Delhi","",0,18710922,624290,13157,3336.50,703.17,0.0211
"India","Goa","",0,1586250,112262,2486,7077.19,1567.22,0.0221
"India","Gujarat","",0,63872399,437539,4872,685.02,76.28,0.0111
"India","Haryana","",0,28204692,425764,6671,1509.55,236.52,0.0157
"India","Himachal Pradesh","",0,7451954,149530,2589,2006.59,347.43,0.0173
"India","Jammu and Kashmir","",0,13606320,187863,2384,1380.70,175.21,0.0127
"India","Jharkhand","",0,38593948,192150,3747,497.88,97.09,0.0195
"India","Karnataka","",0,67562686,1855070,24832,2745.70,367.54,0.0134
"India","Kerala","",0,35699443,3761539,27342,10536.69,765.89,0.0073
"India","Ladakh","",0,274289,9241,75,3369.07,273.43,0.0081
"India","Lakshadweep","",0,64429,9350,50,14512.10,776.05,0.0053
"India","Madhya Pradesh","",0,85358965,404691,6069,474.10,71.10,0.0150
"India","Maharashtra","",0,123144222,2902974,80537,2357.38,654.01,0.0277
"India","Manipur","",0,3091545,94164,1548,3045.86,500.72,0.0164
"India","Meghalaya","",0,3366710,68972,1301,2048.65,386.43,0.0189
"India","Mizoram","",0,1239244,118005,424,9522.34,342.14,0.0036
"India","Nagaland","",0,2249695,19336,592,859.49,263.15,0.0306
"India","Odisha","",0,46356334,678457,6399,1463.57,138.04,0.0094
"India","Puducherry","",0,1413542,81369,1154,5756.39,816.39,0.0142
"India","Punjab","",0,30141373,310259,8766,1029.35,290.83,0.0283
"India","Rajasthan","",0,81032689,552740,5855,682.12,72.25,0.0106
"India","Sikkim","",0,690251,25411,260,3681.41,376.67,0.0102
"India","Tamil Nadu","",0,77841267,1729094,23094,2221.31,296.68,0.0134
"India","Telangana","",0,39362732,323059,2138,820.72,54.32,0.0066
"India","Tripura","",0,4169794,50553,422,1212.36,101.20,0.0083
"India","Unknown","",0,-1,0,0,0.00,0.00,0.0000
"India","Uttar Pradesh","",0,237882725,905665,13239,380.72,55.65,0.0146
"India","Uttarakhand","",0,11250857,224066,5560,1991.55,494.18,0.0248
"India","West Bengal","",0,99609303,946773,8635,950.49,86.69,0.0091
