Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Mexico","Aguascalientes","",0,1434635,10314,568,718.93,395.92,0.0551
"Mexico","Baja California","",0,3634868,22896,1769,629.90,486.68,0.0773
"Mexico","Baja California Sur","",0,804708,26600,1061,3305.55,1318.49,0.0399
"Mexico","Campeche","",0,1000617,14775,898,1476.59,897.45,0.0608
"Mexico","Chiapas","",0,5730367,12548,741,218.97,129.31,0.0591
"Mexico","Chihuahua","",0,3801486,19239,1653,506.09,434.83,0.0859
"Mexico","Ciudad de Mexico","",0,9018645,345045,8030,3825.91,890.38,0.0233
"Mexico","Coahuila","",0,3218720,26044,1268,809.14,393.95,0.0487
"Mexico","Colima","",0,785153,22085,828,2812.83,1054.57,0.0375
"Mexico","Durango","",0,1868996,15759,698,843.18,373.46,0.0443
"Mexico","Guanajuato","",0,6228175,59655,2281,957.82,366.24,0.0382
"Mexico","Guerrero","",0,3657048,37558,1920,1027.00,525.01,0.0511
"Mexico","Hidalgo","",0,3086414,24475,1765,792.99,571.86,0.0721
"Mexico","Jalisco","",0,8409693,76971,5486,915.27,652.34,0.0713
"Mexico","Mexico","",0,17427790,134348,10781,770.88,618.61,0.0802
"Mexico","Michoacan","",0,4825401,26704,2753,553.40,570.52,0.1031
"Mexico","Morelos","",0,2044057,18219,1746,891.32,854.18,0.0958
"Mexico","Nayarit","",0,1288570,22390,1042,1737.59,808.65,0.0465
"Mexico","Nuevo Leon","",0,5610153,82853,3848,1476.84,685.90,0.0464
"Mexico","Oaxaca","",0,4143593,36528,2105,881.55,508.01,0.0576
"Mexico","Puebla","",0,6604451,42636,4336,645.56,656.53,0.1017
"Mexico","Queretaro","",0,2279637,30259,1488,1327.36,652.74,0.0492
"Mexico","Quintana Roo","",0,1723259,37395,1494,2170.02,866.96,0.0400
"Mexico","San Luis Potosi","",0,2866142,41755,1497,1456.84,522.30,0.0359
"Mexico","Sinaloa","",0,3156674,36373,2815,1152.26,891.76,0.0774
"Mexico","Sonora","",0,3074745,40234,2061,1308.53,670.30,0.0512
"Mexico","Tabasco","",0,2572287,79455,1480,3088.89,575.36,0.0186
"Mexico","Tamaulipas","",0,3650602,45851,2042,1255.98,559.36,0.0445
"Mexico","Tlaxcala","",0,1380011,10144,595,735.07,431.16,0.0587
"Mexico","Unknown","",0,-1,0,0,0.00,0.00,0.0000
"Mexico","Veracruz","",0,8539862,63556,5400,744.23,632.33,0.0850
"Mexico","Yucatan","",0,2259098,37583,1977,1663.63,875.13,0.0526
"Mexico","Zacatecas","",0,1666426,12089,655,725.44,393.06,0.0542
