Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Alabama","",1001,4959042,311306,4894,6277.54,986.88,0.0157
"US","Alaska","",2013,735127,74028,408,10070.10,555.01,0.0055
"US","Arizona","",4001,7350601,321312,4081,4371.23,555.19,0.0127
"US","Arkansas","",5001,3035273,180996,2727,5963.09,898.44,0.0151
"US","California","",6001,41183542,1161313,12512,2819.85,303.81,0.0108
"US","Colorado","",8001,6276139,263099,2104,4192.05,335.24,0.0080
"US","Connecticut","",9001,4508618,75446,781,1673.37,173.22,0.0104
"US","Delaware","",10001,1154548,44266,502,3834.05,434.80,0.0113
"US","District of Columbia","",11001,1411498,18095,100,1281.97,70.85,0.0055
"US","Florida","",12001,21746767,1537545,25468,7070.22,1171.12,0.0166
"US","Georgia","",13001,10635766,556030,9554,5227.93,898.29,0.0172
"US","Hawaii","",15001,1617297,51944,449,3211.78,277.62,0.0086
"US","Idaho","",16001,2268644,108702,1571,4791.50,692.48,0.0145
"US","Illinois","",17001,12737234,408553,4377,3207.55,343.64,0.0107
"US","Indiana","",18001,6767975,323345,3581,4777.57,529.11,0.0111
"US","Iowa","",19001,3162203,129551,1134,4096.86,358.61,0.0088
"US","Kansas","",20001,2925658,130609,1496,4464.26,511.34,0.0115
"US","Kentucky","",21001,4486846,310974,3535,6930.79,787.86,0.0114
"US","Louisiana","",22001,4710826,308435,4298,6547.37,912.37,0.0139
"US","Maine","",23001,1452485,49027,421,3375.39,289.85,0.0086
"US","Maryland","",24001,6116090,129440,2386,2116.38,390.12,0.0184
"US","Massachusetts","",25001,7105492,187848,1588,2643.70,223.49,0.0085
"US","Michigan","",26001,9997246,427064,5934,4271.82,593.56,0.0139
"US","Minnesota","",27001,5655500,249964,1784,4419.84,315.45,0.0071
"US","Mississippi","",28001,3006816,196626,2976,6539.34,989.75,0.0151
"US","Missouri","",29001,6651689,274628,3638,4128.70,546.93,0.0132
"US","Montana","",30001,1078221,71064,840,6590.86,779.06,0.0118
"US","Nebraska","",31001,1965749,70591,764,3591.05,388.66,0.0108
"US","Nevada","",32510,3136068,131065,2307,4179.28,735.63,0.0176
"US","New Hampshire","",33001,1421013,45613,306,3209.89,215.34,0.0067
"US","New Jersey","",34001,9145853,230376,2930,2518.91,320.36,0.0127
"US","New Mexico","",35001,2775943,84018,1077,3026.65,387.98,0.0128
"US","New York","",36001,19759061,583004,5285,2950.57,267.47,0.0091
"US","North Carolina","",37001,10657574,540998,5768,5076.18,541.21,0.0107
"US","North Dakota","",38001,764269,43887,300,5742.35,392.53,0.0068
"US","Ohio","",39001,11716782,503641,6595,4298.46,562.87,0.0131
"US","Oklahoma","",40001,3979148,201316,4092,5059.27,1028.36,0.0203
"US","Oregon","",41001,4233849,194717,1995,4599.05,471.20,0.0102
"US","Pennsylvania","",42001,12904988,480908,5983,3726.53,463.62,0.0124
"US","Puerto Rico","",72001,3211040,65037,1041,2025.42,324.19,0.0160
"US","Rhode Island","",44001,1107838,36485,233,3293.35,210.32,0.0064
"US","South Carolina","",45001,5173227,332520,4451,6427.71,860.39,0.0134
"US","South Dakota","",46003,887396,34883,298,3930.94,335.81,0.0085
"US","Tennessee","",47001,6906134,452800,4355,6556.49,630.60,0.0096
"US","Texas","",48001,29053568,1393153,21938,4795.12,755.09,0.0157
"US","Utah","",0,3392774,162799,1080,4798.40,318.32,0.0066
"US","Vermont","",50001,660764,18988,132,2873.64,199.77,0.0070
"US","Virginia","",51001,8567808,286042,3460,3338.57,403.84,0.0121
"US","Washington","",53001,7634868,347898,3327,4556.70,435.76,0.0096
"US","West Virginia","",54001,1808573,125877,1695,6960.02,937.20,0.0135
"US","Wisconsin","",55001,5842632,240702,2060,4119.75,352.58,0.0086
"US","Wyoming","",56001,617635,46763,506,7571.30,819.25,0.0108
