Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"United Kingdom","Anguilla","",0,15001,939,1,6259.58,66.66,0.0011
"United Kingdom","Bermuda","",0,62273,3615,85,5805.08,1364.96,0.0235
"United Kingdom","British Virgin Islands","",0,30236,2541,36,8403.89,1190.63,0.0142
"United Kingdom","Cayman Islands","",0,65720,1454,0,2212.42,0.00,0.0000
"United Kingdom","Channel Islands","",0,170498,9312,16,5461.65,93.84,0.0017
"United Kingdom","England","",0,55977200,3927341,10996,7015.97,196.44,0.0028
"United Kingdom","Falkland Islands","",0,3483,8,0,229.69,0.00,0.0000
"United Kingdom","Gibraltar","",0,33691,1754,4,5206.14,118.73,0.0023
"United Kingdom","Isle of Man","",0,85032,8192,29,9634.02,341.05,0.0035
"United Kingdom","Montserrat","",0,4999,21,0,420.08,0.00,0.0000
"United Kingdom","Northern Ireland","",0,1881600,158657,586,8432.03,311.44,0.0037
"United Kingdom","Saint Helena, Ascension and Tristan da Cunha","",0,5661,0,0,0.00,0.00,0.0000
"United Kingdom","Scotland","",0,5463300,425365,1562,7785.86,285.91,0.0037
"United Kingdom","Turks and Caicos Islands","",0,38718,626,6,1616.82,154.97,0.0096
"United Kingdom","Wales","",0,3138599,233602,641,7442.87,204.23,0.0027
