Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Florida","Alachua",12001,269043,15795,21,5870.81,78.05,0.0013
"US","Florida","Baker",12003,29210,2574,2,8812.05,68.47,0.0008
"US","Florida","Bay",12005,174705,12899,15,7383.30,85.86,0.0012
"US","Florida","Bradford",12007,28200,2397,2,8500.00,70.92,0.0008
"US","Florida","Brevard",12009,601942,42322,75,7030.91,124.60,0.0018
"US","Florida","Broward",12011,1952778,133079,318,6814.86,162.84,0.0024
"US","Florida","Calhoun",12013,14104,1341,1,9507.94,70.90,0.0007
"US","Florida","Charlotte",12015,188910,11214,35,5936.16,185.27,0.0031
"US","Florida","Citrus",12017,149657,9851,29,6582.39,193.78,0.0029
"US","Florida","Clay",12019,219251,16001,20,7298.03,91.22,0.0012
"US","Florida","Collier",12021,384901,24102,40,6261.87,103.92,0.0017
"US","Florida","Columbia",12023,71686,6934,5,9672.74,69.75,0.0007
"US","Florida","DeSoto",12027,38001,2719,8,7155.07,210.52,0.0029
"US","Florida","Dixie",12029,16826,1380,0,8201.59,0.00,0.0000
"US","Florida","Duval",12031,957755,71196,137,7433.63,143.04,0.0019
"US","Florida","Escambia",12033,318316,21979,31,6904.77,97.39,0.0014
"US","Florida","Flagler",12035,115081,7478,9,6498.03,78.21,0.0012
"US","Florida","Franklin",12037,12124,960,2,7918.18,164.96,0.0021
"US","Florida","Gadsden",12039,45660,3069,6,6721.42,131.41,0.0020
"US","Florida","Gilchrist",12041,18582,1596,2,8588.96,107.63,0.0013
"US","Florida","Glades",12043,13811,512,0,3707.19,0.00,0.0000
"US","Florida","Gulf",12045,13639,1068,2,7830.49,146.64,0.0019
"US","Florida","Hamilton",12047,14428,1151,0,7977.54,0.00,0.0000
"US","Florida","Hardee",12049,26936,3087,3,11460.50,111.38,0.0010
"US","Florida","Hendry",12051,42022,3418,8,8133.83,190.38,0.0023
"US","Florida","Hernando",12053,193920,15566,33,8027.02,170.17,0.0021
"US","Florida","Highlands",12055,106220,7977,31,7509.89,291.85,0.0039
"US","Florida","Hillsborough",12057,1471968,113873,180,7736.11,122.29,0.0016
"US","Florida","Holmes",12059,19616,1652,0,8421.70,0.00,0.0000
"US","Florida","Indian River",12061,159923,10139,17,6339.93,106.30,0.0017
"US","Florida","Jackson",12063,46414,4067,1,8762.44,21.55,0.0002
"US","Florida","Jefferson",12065,14246,1047,1,7349.43,70.20,0.0010
"US","Florida","Lafayette",12067,8421,604,0,7172.54,0.00,0.0000
"US","Florida","Lake",12069,367118,26947,45,7340.15,122.58,0.0017
"US","Florida","Lee",12071,770577,61283,67,7952.87,86.95,0.0011
"US","Florida","Leon",12073,293581,20747,23,7066.87,78.34,0.0011
"US","Florida","Levy",12075,41503,3726,8,8977.66,192.76,0.0021
"US","Florida","Liberty",12077,8354,766,0,9169.26,0.00,0.0000
"US","Florida","Madison",12079,18493,1572,1,8500.51,54.07,0.0006
"US","Florida","Manatee",12081,403253,29117,41,7220.53,101.67,0.0014
"US","Florida","Marion",12083,365579,27082,54,7407.97,147.71,0.0020
"US","Florida","Martin",12085,161000,8532,22,5299.38,136.65,0.0026
"US","Florida","Miami-Dade",12086,2716940,211779,448,7794.76,164.89,0.0021
"US","Florida","Monroe",12087,74228,4229,2,5697.31,26.94,0.0005
"US","Florida","Nassau",12089,88625,7395,3,8344.15,33.85,0.0004
"US","Florida","Okaloosa",12091,210737,14567,9,6912.41,42.71,0.0006
"US","Florida","Okeechobee",12093,42168,3559,1,8440.05,23.71,0.0003
"US","Florida","Orange",12095,1393451,99711,88,7155.69,63.15,0.0009
"US","Florida","Osceola",12097,375751,30468,37,8108.56,98.47,0.0012
"US","Florida","Palm Beach",12099,1496770,89776,170,5997.98,113.58,0.0019
"US","Florida","Pasco",12101,553947,40838,85,7372.19,153.44,0.0021
"US","Florida","Pinellas",12103,974996,60333,96,6188.03,98.46,0.0016
"US","Florida","Polk",12105,724777,64548,105,8905.91,144.87,0.0016
"US","Florida","Putnam",12107,74521,6574,22,8821.67,295.22,0.0033
"US","Florida","Santa Rosa",12113,184313,14691,9,7970.68,48.83,0.0006
"US","Florida","Sarasota",12115,433742,25740,39,5934.40,89.92,0.0015
"US","Florida","Seminole",12117,471826,30373,39,6437.33,82.66,0.0013
"US","Florida","St. Johns",12109,264672,19155,15,7237.26,56.67,0.0008
"US","Florida","St. Lucie",12111,328296,22923,47,6982.42,143.16,0.0021
"US","Florida","Sumter",12119,132420,5587,16,4219.15,120.83,0.0029
"US","Florida","Suwannee",12121,44417,3956,2,8906.50,45.03,0.0005
"US","Florida","Taylor",12123,21569,1891,3,8767.21,139.09,0.0016
"US","Florida","Unassigned",90012,-1,-550,22810,0.00,0.00,0.0000
"US","Florida","Union",12125,15237,1271,3,8341.54,196.89,0.0024
"US","Florida","Volusia",12127,553284,35666,88,6446.24,159.05,0.0025
"US","Florida","Wakulla",12129,33739,3094,1,9170.40,29.64,0.0003
"US","Florida","Walton",12131,74071,5253,3,7091.84,40.50,0.0006
"US","Florida","Washington",12133,25473,1870,1,7341.11,39.26,0.0005
"US","Florida","Desoto",0,-1,0,0,0.00,0.00,0.0000
