Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Nevada","Carson City",32510,55915,2535,33,4533.67,590.18,0.0130
"US","Nevada","Churchill",32001,24909,1853,21,7439.08,843.07,0.0113
"US","Nevada","Clark",32003,2266714,93391,1780,4120.11,785.28,0.0191
"US","Nevada","Douglas",32005,48905,1922,22,3930.07,449.85,0.0114
"US","Nevada","Elko",32007,52778,3647,58,6910.08,1098.94,0.0159
"US","Nevada","Esmeralda",32009,873,22,2,2520.05,2290.95,0.0909
"US","Nevada","Eureka",32011,2029,115,0,5667.82,0.00,0.0000
"US","Nevada","Humboldt",32013,16831,1280,21,7605.01,1247.70,0.0164
"US","Nevada","Lander",32015,5532,298,6,5386.84,1084.60,0.0201
"US","Nevada","Lincoln",32017,5183,250,2,4823.46,385.88,0.0080
"US","Nevada","Lyon",32019,57510,3468,47,6030.26,817.25,0.0136
"US","Nevada","Mineral",32021,4505,263,4,5837.96,887.90,0.0152
"US","Nevada","Nye",32023,46523,1573,52,3381.12,1117.73,0.0331
"US","Nevada","Pershing",32027,6724,170,7,2528.26,1041.05,0.0412
"US","Nevada","Storey",32029,4123,115,2,2789.23,485.08,0.0174
"US","Nevada","Unassigned",90032,-1,0,0,0.00,0.00,0.0000
"US","Nevada","Washoe",32031,471519,19503,240,4136.21,508.99,0.0123
"US","Nevada","White Pine",32033,9580,657,5,6858.04,521.92,0.0076
"US","Nevada","Elko County",32007,-1,0,0,0.00,0.00,0.0000
