Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Oklahoma","Adair",40001,22194,1728,23,7785.89,1036.32,0.0133
"US","Oklahoma","Alfalfa",40003,5701,158,1,2771.44,175.41,0.0063
"US","Oklahoma","Atoka",40005,13757,903,9,6563.93,654.21,0.0100
"US","Oklahoma","Beaver",40007,5311,104,3,1958.20,564.87,0.0288
"US","Oklahoma","Beckham",40009,21859,639,19,2923.28,869.21,0.0297
"US","Oklahoma","Blaine",40011,9429,478,10,5069.47,1060.56,0.0209
"US","Oklahoma","Bryan",40013,47995,2836,37,5908.95,770.91,0.0130
"US","Oklahoma","Caddo",40015,28762,1258,43,4373.83,1495.03,0.0342
"US","Oklahoma","Canadian",40017,148306,6481,127,4370.02,856.34,0.0196
"US","Oklahoma","Carter",40019,48111,3011,83,6258.44,1725.18,0.0276
"US","Oklahoma","Cherokee",40021,48657,3455,42,7100.73,863.19,0.0122
"US","Oklahoma","Choctaw",40023,14671,1144,30,7797.70,2044.85,0.0262
"US","Oklahoma","Cimarron",40025,2137,116,1,5428.17,467.95,0.0086
"US","Oklahoma","Cleveland",40027,284014,13115,217,4617.73,764.05,0.0165
"US","Oklahoma","Coal",40029,5494,371,5,6752.82,910.08,0.0135
"US","Oklahoma","Comanche",40031,120748,7728,124,6400.11,1026.93,0.0160
"US","Oklahoma","Cotton",40033,5666,315,7,5559.48,1235.44,0.0222
"US","Oklahoma","Craig",40035,14141,1069,14,7559.58,990.03,0.0131
"US","Oklahoma","Creek",40037,71522,4400,107,6151.95,1496.04,0.0243
"US","Oklahoma","Custer",40039,29002,982,31,3385.97,1068.89,0.0316
"US","Oklahoma","Delaware",40041,43009,2797,71,6503.29,1650.82,0.0254
"US","Oklahoma","Dewey",40043,4891,136,5,2780.62,1022.29,0.0368
"US","Oklahoma","Ellis",40045,3859,123,1,3187.35,259.13,0.0081
"US","Oklahoma","Garfield",40047,61055,2515,81,4119.24,1326.67,0.0322
"US","Oklahoma","Garvin",40049,27711,1166,24,4207.72,866.08,0.0206
"US","Oklahoma","Grady",40051,55834,2216,65,3968.91,1164.17,0.0293
"US","Oklahoma","Grant",40053,4333,151,1,3484.88,230.79,0.0066
"US","Oklahoma","Greer",40055,5712,169,4,2958.68,700.28,0.0237
"US","Oklahoma","Harmon",40057,2652,40,2,1508.30,754.15,0.0500
"US","Oklahoma","Harper",40059,3688,81,3,2196.31,813.45,0.0370
"US","Oklahoma","Haskell",40061,12627,608,12,4815.08,950.34,0.0197
