Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","South Carolina","Abbeville",45001,24527,1326,11,5406.29,448.49,0.0083
"US","South Carolina","Aiken",45003,170871,10163,127,5947.76,743.25,0.0125
"US","South Carolina","Allendale",45005,8688,442,6,5087.48,690.61,0.0136
"US","South Carolina","Anderson",45007,202558,14440,245,7128.82,1209.53,0.0170
"US","South Carolina","Bamberg",45009,14066,629,12,4471.78,853.12,0.0191
"US","South Carolina","Barnwell",45011,20866,1391,29,6666.35,1389.82,0.0208
"US","South Carolina","Beaufort",45013,192122,10769,111,5605.29,577.76,0.0103
"US","South Carolina","Berkeley",45015,227907,14289,153,6269.66,671.33,0.0107
"US","South Carolina","Calhoun",45017,14553,458,16,3147.12,1099.43,0.0349
"US","South Carolina","Charleston",45019,411405,23556,227,5725.74,551.77,0.0096
"US","South Carolina","Cherokee",45021,57300,4176,101,7287.96,1762.65,0.0242
"US","South Carolina","Chester",45023,32243,2396,41,7431.07,1271.59,0.0171
"US","South Carolina","Chesterfield",45025,45649,2649,42,5802.97,920.06,0.0159
"US","South Carolina","Clarendon",45027,33744,1752,27,5192.03,800.14,0.0154
"US","South Carolina","Colleton",45029,37676,2146,65,5695.93,1725.24,0.0303
"US","South Carolina","Darlington",45031,66618,3771,54,5660.63,810.59,0.0143
"US","South Carolina","Dillon",45033,30479,2064,32,6771.88,1049.90,0.0155
"US","South Carolina","Dorchester",45035,162808,16912,170,10387.70,1044.17,0.0101
"US","South Carolina","Edgefield",45037,27260,1406,16,5157.74,586.94,0.0114
"US","South Carolina","Fairfield",45039,22347,944,14,4224.28,626.48,0.0148
"US","South Carolina","Florence",45041,138293,9317,135,6737.15,976.19,0.0145
"US","South Carolina","Georgetown",45043,62680,3129,41,4992.02,654.12,0.0131
"US","South Carolina","Greenville",45045,523542,33288,482,6358.23,920.65,0.0145
"US","South Carolina","Greenwood",45047,70811,4625,55,6531.47,776.72,0.0119
"US","South Carolina","Hampton",45049,19222,1208,24,6284.47,1248.57,0.0199
"US","South Carolina","Horry",45051,354081,24374,316,6883.74,892.45,0.0130
"US","South Carolina","Jasper",45053,30073,1675,37,5569.78,1230.34,0.0221
"US","South Carolina","Kershaw",45055,66551,4787,67,7192.98,1006.75,0.0140
"US","South Carolina","Lancaster",45057,98012,5705,62,5820.72,632.58,0.0109
"US","South Carolina","Laurens",45059,67493,4694,57,6954.80,844.53,0.0121
"US","South Carolina","Lee",45061,16828,688,16,4088.42,950.80,0.0233
"US","South Carolina","Lexington",45063,298749,22006,232,7366.05,776.57,0.0105
"US","South Carolina","Marion",45067,30657,1990,37,6491.18,1206.90,0.0186
"US","South Carolina","Marlboro",45069,26118,1633,30,6252.39,1148.63,0.0184
"US","South Carolina","McCormick",45065,9463,348,3,3677.48,317.02,0.0086
"US","South Carolina","Newberry",45071,38439,2771,46,7208.82,1196.70,0.0166
"US","South Carolina","Oconee",45073,79545,6356,88,7990.45,1106.29,0.0138
"US","South Carolina","Orangeburg",45075,86174,5102,89,5920.58,1032.79,0.0174
"US","South Carolina","Pickens",45077,126883,9786,185,7712.62,1458.04,0.0189
"US","South Carolina","Richland",45079,415758,24090,227,5794.24,545.99,0.0094
"US","South Carolina","Saluda",45081,20473,821,6,4010.16,293.07,0.0073
"US","South Carolina","Spartanburg",45083,319785,21855,415,6834.28,1297.75,0.0190
"US","South Carolina","Sumter",45085,106720,6021,95,5641.87,890.18,0.0158
"US","South Carolina","Unassigned",90045,-1,0,0,0.00,0.00,0.0000
"US","South Carolina","Union",45087,27316,1623,21,5941.57,768.78,0.0129
"US","South Carolina","Williamsburg",45089,30368,1690,28,5565.07,922.02,0.0166
"US","South Carolina","York",45091,280979,17243,141,6136.76,501.82,0.0082
