Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Virginia","Accomack",51001,32316,1331,38,4118.70,1175.89,0.0285
"US","Virginia","Albemarle",51003,109329,2606,19,2383.63,173.79,0.0073
"US","Virginia","Alexandria",51510,159428,2930,18,1837.82,112.90,0.0061
"US","Virginia","Alleghany",51005,14860,839,29,5646.03,1951.55,0.0346
"US","Virginia","Amelia",51007,13145,592,9,4503.61,684.67,0.0152
"US","Virginia","Amherst",51009,31605,1503,24,4755.58,759.37,0.0160
"US","Virginia","Appomattox",51011,15911,859,12,5398.78,754.20,0.0140
"US","Virginia","Arlington",51013,236842,3922,22,1655.96,92.89,0.0056
"US","Virginia","Augusta",51015,75558,4597,59,6084.07,780.86,0.0128
"US","Virginia","Bath",51017,4147,229,4,5522.06,964.55,0.0175
"US","Virginia","Bedford",51019,78997,3797,55,4806.51,696.23,0.0145
"US","Virginia","Bland",51021,6280,423,6,6735.67,955.41,0.0142
"US","Virginia","Botetourt",51023,33419,1454,13,4350.82,389.00,0.0089
"US","Virginia","Bristol",51520,16762,906,15,5405.08,894.88,0.0166
"US","Virginia","Brunswick",51025,16231,533,11,3283.84,677.72,0.0206
"US","Virginia","Buchanan",51027,21004,1094,25,5208.53,1190.25,0.0229
"US","Virginia","Buckingham",51029,17148,590,8,3440.63,466.53,0.0136
"US","Virginia","Buena Vista",51530,6478,455,7,7023.77,1080.58,0.0154
"US","Virginia","Campbell",51031,54884,2960,57,5393.19,1038.55,0.0193
"US","Virginia","Caroline",51033,30725,1705,16,5549.23,520.75,0.0094
"US","Virginia","Carroll",51035,29791,1507,27,5058.57,906.31,0.0179
"US","Virginia","Charles City",51036,6963,211,5,3030.30,718.08,0.0237
"US","Virginia","Charlotte",51037,11880,472,9,3973.06,757.58,0.0191
"US","Virginia","Charlottesville",51540,47266,1389,3,2938.69,63.47,0.0022
"US","Virginia","Chesapeake",51550,244834,8743,77,3570.99,314.50,0.0088
