Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Wisconsin","Adams",55001,20220,952,17,4708.21,840.75,0.0179
"US","Wisconsin","Ashland",55003,15562,571,1,3669.19,64.26,0.0018
"US","Wisconsin","Barron",55005,45243,2773,17,6129.12,375.75,0.0061
"US","Wisconsin","Bayfield",55007,15035,484,6,3219.16,399.07,0.0124
"US","Wisconsin","Brown",55009,264542,12385,50,4681.68,189.01,0.0040
"US","Wisconsin","Buffalo",55011,13031,668,1,5126.24,76.74,0.0015
"US","Wisconsin","Burnett",55013,15414,885,10,5741.53,648.76,0.0113
"US","Wisconsin","Calumet",55015,50089,2212,10,4416.14,199.64,0.0045
"US","Wisconsin","Chippewa",55017,64658,3671,21,5677.57,324.79,0.0057
"US","Wisconsin","Clark",55019,34774,1285,17,3695.29,488.87,0.0132
"US","Wisconsin","Columbia",55021,57531,2441,11,4242.93,191.20,0.0045
"US","Wisconsin","Crawford",55023,16130,622,5,3856.17,309.98,0.0080
"US","Wisconsin","Dane",55025,546695,13538,59,2476.34,107.92,0.0044
"US","Wisconsin","Dodge",55027,87838,3742,46,4260.12,523.69,0.0123
"US","Wisconsin","Door",55029,27668,1068,12,3860.05,433.71,0.0112
"US","Wisconsin","Douglas",55031,43150,1649,17,3821.55,393.97,0.0103
"US","Wisconsin","Dunn",55033,45367,2259,14,4979.39,308.59,0.0062
"US","Wisconsin","Eau Claire",55035,104645,4949,23,4729.32,219.79,0.0046
"US","Wisconsin","Florence",55037,4294,163,2,3795.99,465.77,0.0123
"US","Wisconsin","Fond du Lac",55039,103403,5062,49,4895.41,473.87,0.0097
"US","Wisconsin","Forest",55041,9003,516,5,5731.42,555.37,0.0097
"US","Wisconsin","Grant",55043,51439,2126,27,4133.05,524.89,0.0127
"US","Wisconsin","Green",55045,36960,1174,10,3176.41,270.56,0.0085
"US","Wisconsin","Green Lake",55047,18913,1119,10,5916.57,528.74,0.0089
"US","Wisconsin","Iowa",55049,23678,747,6,3154.83,253.40,0.0080
"US","Wisconsin","Iron",55051,5686,221,2,3886.74,351.74,0.0090
"US","Wisconsin","Jackson",55053,20643,812,4,3933.54,193.77,0.0049
"US","Wisconsin","Jefferson",55055,84768,2693,22,3176.91,259.53,0.0082
"US","Wisconsin","Juneau",55057,26686,1099,10,4118.26,374.73,0.0091
"US","Wisconsin","Kenosha",55059,169561,6443,66,3799.81,389.24,0.0102
"US","Wisconsin","Kewaunee",55061,20433,1022,8,5001.71,391.52,0.0078
"US","Wisconsin","La Crosse",55063,118016,4329,33,3668.15,279.62,0.0076
"US","Wisconsin","Lafayette",55065,16665,489,4,2934.29,240.02,0.0082
"US","Wisconsin","Langlade",55067,19189,1109,10,5779.35,521.13,0.0090
"US","Wisconsin","Lincoln",55069,27593,1249,23,4526.51,833.54,0.0184
"US","Wisconsin","Manitowoc",55071,78981,3507,20,4440.31,253.23,0.0057
"US","Wisconsin","Marathon",55073,135692,6055,59,4462.31,434.81,0.0097
"US","Wisconsin","Marinette",55075,40350,2596,12,6433.71,297.40,0.0046
"US","Wisconsin","Marquette",55077,15573,825,8,5297.63,513.71,0.0097
"US","Wisconsin","Menominee",55078,4556,162,0,3555.75,0.00,0.0000
"US","Wisconsin","Milwaukee",55079,945726,39514,310,4178.17,327.79,0.0078
"US","Wisconsin","Monroe",55081,46253,2137,18,4620.24,389.16,0.0084
"US","Wisconsin","Oconto",55083,37929,2442,19,6438.35,500.94,0.0078
"US","Wisconsin","Oneida",55085,35595,1465,17,4115.75,477.60,0.0116
"US","Wisconsin","Outagamie",55087,187885,8064,57,4291.99,303.38,0.0071
"US","Wisconsin","Ozaukee",55089,89220,3575,30,4006.95,336.25,0.0084
"US","Wisconsin","Pepin",55091,7287,337,3,4624.67,411.69,0.0089
"US","Wisconsin","Pierce",55093,42754,1791,4,4189.08,93.56,0.0022
"US","Wisconsin","Polk",55095,43783,2794,37,6381.47,845.08,0.0132
"US","Wisconsin","Portage",55097,70772,2506,30,3540.95,423.90,0.0120
"US","Wisconsin","Price",55099,13351,608,5,4553.97,374.50,0.0082
"US","Wisconsin","Racine",55101,196311,8030,93,4090.45,473.74,0.0116
"US","Wisconsin","Richland",55103,17252,922,12,5344.31,695.57,0.0130
"US","Wisconsin","Rock",55105,163354,5539,60,3390.80,367.30,0.0108
"US","Wisconsin","Rusk",55107,14178,911,18,6425.45,1269.57,0.0198
"US","Wisconsin","Sauk",55111,64441,2679,18,4157.29,279.33,0.0067
"US","Wisconsin","Sawyer",55113,16558,1012,8,6111.85,483.15,0.0079
"US","Wisconsin","Shawano",55115,40899,1957,10,4784.96,244.50,0.0051
"US","Wisconsin","Sheboygan",55117,115340,4239,43,3675.22,372.81,0.0101
"US","Wisconsin","St. Croix",55109,90687,4522,29,4986.38,319.78,0.0064
"US","Wisconsin","Taylor",55119,20343,1022,14,5023.84,688.20,0.0137
"US","Wisconsin","Trempealeau",55121,29649,1446,10,4877.06,337.28,0.0069
"US","Wisconsin","Unassigned",90055,-1,0,0,0.00,0.00,0.0000
"US","Wisconsin","Vernon",55123,30822,1065,19,3455.32,616.44,0.0178
"US","Wisconsin","Vilas",55125,22194,787,14,3546.00,630.80,0.0178
"US","Wisconsin","Walworth",55127,103867,3849,36,3705.70,346.60,0.0094
"US","Wisconsin","Washburn",55129,15719,827,7,5261.15,445.32,0.0085
"US","Wisconsin","Washington",55131,136034,6670,71,4903.19,521.93,0.0106
"US","Wisconsin","Waukesha",55133,404198,15882,174,3929.26,430.48,0.0110
"US","Wisconsin","Waupaca",55135,50989,2438,25,4781.42,490.30,0.0103
"US","Wisconsin","Waushara",55137,24443,1314,17,5375.77,695.50,0.0129
"US","Wisconsin","Winnebago",55139,171907,7153,55,4160.97,319.94,0.0077
"US","Wisconsin","Wood",55141,72998,3504,47,4800.13,643.85,0.0134
