Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Albania","","",0,2877800,77200,439,2682.60,152.55,0.0057
"Andorra","","",0,77265,21106,17,27316.38,220.02,0.0008
"Austria","","",0,9006400,1181595,2816,13119.50,312.67,0.0024
"Belarus","","",0,9449321,162808,1469,1722.96,155.46,0.0090
"Bosnia and Herzegovina","","",0,3280815,99640,3059,3037.05,932.39,0.0307
"Bulgaria","","",0,6948445,380332,9301,5473.63,1338.57,0.0245
"Croatia","","",0,4105268,501927,4778,12226.41,1163.87,0.0095
"Cyprus","","",0,1207361,146678,165,12148.64,136.66,0.0011
"Czech Republic","","",0,10708982,1432659,6570,13378.11,613.50,0.0046
"Denmark","","",0,5946705,1606379,1162,27012.93,195.40,0.0007
"Estonia","","",0,1326539,176085,504,13274.02,379.94,0.0029
"Finland","","",0,5540718,354897,798,6405.25,144.02,0.0022
"France","","",0,68450409,13479430,14671,19692.26,214.33,0.0011
"Greece","","",0,10423055,1281318,7958,12293.11,763.50,0.0062
"Vatican City","","",0,809,1,0,123.61,0.00,0.0000
"Iceland","","",0,341250,59997,15,17581.54,43.96,0.0003
"Ireland","","",0,4937796,754038,771,15270.74,156.14,0.0010
"Kosovo","","",0,1810366,55828,59,3083.80,32.59,0.0011
"Latvia","","",0,1886201,219613,1619,11643.14,858.34,0.0074
"Liechtenstein","","",0,38137,5918,13,15517.74,340.88,0.0022
"Lithuania","","",0,2722291,325706,2029,11964.41,745.33,0.0062
"Luxembourg","","",0,625975,84297,112,13466.51,178.92,0.0013
"Moldova","","",0,4033963,123442,2878,3060.07,713.44,0.0233
"Monaco","","",0,39244,5279,12,13451.74,305.78,0.0023
"Montenegro","","",0,628062,77531,483,12344.48,769.03,0.0062
"Norway","","",0,5421242,673910,558,12430.92,102.93,0.0008
"Poland","","",0,37846605,2084334,29349,5507.32,775.47,0.0141
"Portugal","","",0,10196707,1794647,1997,17600.26,195.85,0.0011
"Romania","","",0,19237682,720673,11909,3746.15,619.05,0.0165
"San Marino","","",0,33938,7817,17,23033.18,500.91,0.0022
"Serbia","","",0,8737369,603901,3845,6911.70,440.06,0.0064
"Slovakia","","",0,5459643,772873,4845,14156.11,887.42,0.0063
"Slovenia","","",0,2078932,446533,1181,21478.96,568.08,0.0026
"Switzerland","","",0,8654618,1494075,1533,17263.33,177.13,0.0010
"Turkey","","",0,84339066,4052726,17455,4805.28,206.96,0.0043
"Italy","","",0,61672582,6771199,16339,10979.27,264.93,0.0024
"Russia","","",0,147098077,3954052,91493,2688.04,621.99,0.0231
"Sweden","","",0,10487191,1123349,1143,10711.63,108.99,0.0010
"Germany","","",0,94088743,6394567,22674,6796.31,240.99,0.0035
"Spain","","",0,55364460,5223893,6708,9435.46,121.16,0.0013
"Belgium","","",0,24782030,1927787,3188,7778.97,128.64,0.0017
"Netherlands","","",0,17854316,2704133,2977,15145.54,166.74,0.0011
"Ukraine","","",0,47107394,1346624,34498,2858.63,732.33,0.0256
"United Kingdom","","",0,66991012,8761443,17396,13078.54,259.68,0.0020
