Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Antigua and Barbuda","","",0,97928,2686,24,2742.83,245.08,0.0089
"Bahamas","","",0,393248,10308,101,2621.25,256.84,0.0098
"Barbados","","",0,287371,29324,124,10204.23,431.50,0.0042
"Belize","","",0,397620,26392,130,6637.49,326.95,0.0049
"Costa Rica","","",0,5094114,162416,559,3188.31,109.73,0.0034
"Cuba","","",0,11326616,99593,188,879.28,16.60,0.0019
"Dominica","","",0,71990,4860,19,6750.94,263.93,0.0039
"Dominican Republic","","",0,10847904,178178,184,1642.51,16.96,0.0010
"El Salvador","","",0,6486201,21727,288,334.97,44.40,0.0133
"Grenada","","",0,112519,6996,13,6217.62,115.54,0.0019
"Guatemala","","",0,17915567,107028,1308,597.40,73.01,0.0122
"Haiti","","",0,11402532,5618,142,49.27,12.45,0.0253
"Honduras","","",0,9904607,16195,245,163.51,24.74,0.0151
"Jamaica","","",0,2961161,36694,446,1239.18,150.62,0.0122
"Nicaragua","","",0,6624553,1137,12,17.16,1.81,0.0106
"Panama","","",0,4314768,250020,496,5794.52,114.95,0.0020
"Saint Kitts and Nevis","","",0,53192,2793,13,5250.79,244.40,0.0047
"Saint Lucia","","",0,183629,8923,82,4859.25,446.55,0.0092
"Saint Vincent and the Grenadines","","",0,110947,2941,30,2650.82,270.40,0.0102
"Trinidad and Tobago","","",0,1399491,56853,1735,4062.41,1239.74,0.0305
"Mexico","","",0,129226918,1324066,20658,1024.61,159.86,0.0156
"Canada","","",0,42307627,1398703,5596,3306.03,132.27,0.0040
"US","","",1001,345020739,30281066,151845,8776.59,440.10,0.0050
