Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Argentina","","",0,45195777,3293896,6591,7288.06,145.83,0.0020
"Bolivia","","",0,11673029,357626,2195,3063.69,188.04,0.0061
"Ecuador","","",0,17643060,218801,1580,1240.15,89.55,0.0072
"Paraguay","","",0,7132530,144558,1303,2026.74,182.68,0.0090
"Uruguay","","",0,3473727,325729,544,9376.93,156.60,0.0017
"Venezuela","","",0,28435943,86079,568,302.71,19.97,0.0066
"Brazil","","",0,211029055,4643479,23495,2200.40,111.34,0.0051
"Colombia","","",0,48334716,952120,8168,1969.85,168.99,0.0086
"Chile","","",0,18184311,632377,2134,3477.60,117.35,0.0034
"Peru","","",0,33052793,1151126,6580,3482.69,199.08,0.0057
