Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Brazil","Acre","",0,881935,18033,47,2044.71,53.29,0.0026
"Brazil","Alagoas","",0,3337357,27934,169,837.01,50.64,0.0060
"Brazil","Amapa","",0,845731,32892,65,3889.18,76.86,0.0020
"Brazil","Amazonas","",0,4144596,120064,234,2896.88,56.46,0.0019
"Brazil","Bahia","",0,14873064,158145,1068,1063.30,71.81,0.0068
"Brazil","Ceara","",0,9132078,237184,940,2597.26,102.93,0.0040
"Brazil","Distrito Federal","",0,3015268,117030,329,3881.25,109.11,0.0028
"Brazil","Espirito Santo","",0,4018650,313049,717,7789.90,178.42,0.0023
"Brazil","Goias","",0,7018354,160708,947,2289.82,134.93,0.0059
"Brazil","Maranhao","",0,7075181,31794,286,449.37,40.42,0.0090
"Brazil","Mato Grosso","",0,3484465,104534,466,3000.00,133.74,0.0045
"Brazil","Mato Grosso do Sul","",0,2778986,63545,319,2286.63,114.79,0.0050
"Brazil","Minas Gerais","",0,21168791,674673,2114,3187.11,99.86,0.0031
"Brazil","Para","",0,8602865,64225,673,746.55,78.23,0.0105
"Brazil","Paraiba","",0,4018127,65940,360,1641.06,89.59,0.0055
"Brazil","Parana","",0,11433957,523360,886,4577.24,77.49,0.0017
"Brazil","Pernambuco","",0,9557071,95721,691,1001.57,72.30,0.0072
"Brazil","Piaui","",0,3273227,24509,331,748.77,101.12,0.0135
"Brazil","Rio Grande do Norte","",0,3506853,66146,387,1886.19,110.36,0.0059
"Brazil","Rio Grande do Sul","",0,11377239,452281,1621,3975.31,142.48,0.0036
"Brazil","Rio de Janeiro","",0,17264943,529595,1801,3067.46,104.32,0.0034
"Brazil","Rondonia","",0,1777224,60763,289,3418.98,162.61,0.0048
"Brazil","Roraima","",0,605760,18161,72,2998.05,118.86,0.0040
"Brazil","Santa Catarina","",0,7164788,278611,1077,3888.61,150.32,0.0039
"Brazil","Sao Paulo","",0,45919048,328932,7366,716.33,160.41,0.0224
"Brazil","Sergipe","",0,2298696,24356,94,1059.56,40.89,0.0039
"Brazil","Tocantins","",0,1572866,51284,135,3260.54,85.83,0.0026
