Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Russia","Adygea Republic","",0,453376,10080,261,2223.32,575.68,0.0259
"Russia","Altai Krai","",0,2350080,53913,2499,2294.09,1063.37,0.0464
"Russia","Altai Republic","",0,218063,4297,158,1970.53,724.56,0.0368
"Russia","Amur Oblast","",0,798424,20308,204,2543.51,255.50,0.0100
"Russia","Arkhangelsk Oblast","",0,1155027,50186,304,4345.01,263.20,0.0061
"Russia","Astrakhan Oblast","",0,1017514,25338,687,2490.19,675.17,0.0271
"Russia","Bashkortostan Republic","",0,4063292,51388,2144,1264.69,527.65,0.0417
"Russia","Belgorod Oblast","",0,1549876,27671,625,1785.37,403.26,0.0226
"Russia","Bryansk Oblast","",0,1210981,33744,1395,2786.50,1151.96,0.0413
"Russia","Buryatia Republic","",0,984511,31119,642,3160.86,652.10,0.0206
"Russia","Chechen Republic","",0,1436981,11864,296,825.62,205.99,0.0249
"Russia","Chelyabinsk Oblast","",0,3493036,71962,2234,2060.16,639.56,0.0310
"Russia","Chukotka Autonomous Okrug","",0,49347,829,19,1679.94,385.03,0.0229
"Russia","Chuvashia Republic","",0,1231117,18363,1431,1491.57,1162.36,0.0779
"Russia","Dagestan Republic","",0,3063885,19865,581,648.36,189.63,0.0292
"Russia","Ingushetia Republic","",0,488043,9076,138,1859.67,282.76,0.0152
"Russia","Irkutsk Oblast","",0,2404195,55212,2067,2296.49,859.75,0.0374
"Russia","Ivanovo Oblast","",0,1014646,18264,868,1800.04,855.47,0.0475
"Russia","Jewish Autonomous Okrug","",0,162014,3058,163,1887.49,1006.09,0.0533
"Russia","Kabardino-Balkarian Republic","",0,865828,11615,638,1341.49,736.87,0.0549
"Russia","Kaliningrad Oblast","",0,994599,34204,614,3438.97,617.33,0.0180
"Russia","Kalmykia Republic","",0,275413,7420,129,2694.14,468.39,0.0174
"Russia","Kaluga Oblast","",0,1012055,21613,443,2135.56,437.72,0.0205
"Russia","Kamchatka Krai","",0,315557,6246,105,1979.36,332.74,0.0168
"Russia","Karachay-Cherkess Republic","",0,466305,8516,174,1826.27,373.15,0.0204
"Russia","Karelia Republic","",0,622484,27046,349,4344.85,560.66,0.0129
"Russia","Kemerovo Oblast","",0,2694877,35899,476,1332.12,176.63,0.0133
"Russia","Khabarovsk Krai","",0,1328302,42931,441,3232.02,332.00,0.0103
"Russia","Khakassia Republic","",0,537513,18998,789,3534.43,1467.87,0.0415
"Russia","Khanty-Mansi Autonomous Okrug","",0,1532243,52222,820,3408.21,535.16,0.0157
"Russia","Kirov Oblast","",0,1283238,29482,227,2297.47,176.90,0.0077
"Russia","Komi Republic","",0,840873,31762,805,3777.26,957.34,0.0253
"Russia","Kostroma Oblast","",0,643324,15995,305,2486.31,474.10,0.0191
"Russia","Krasnodar Krai","",0,5603419,71253,2637,1271.60,470.61,0.0370
"Russia","Krasnoyarsk Krai","",0,2876497,70689,2913,2457.47,1012.69,0.0412
"Russia","Kurgan Oblast","",0,845537,18061,256,2136.04,302.77,0.0142
"Russia","Kursk Oblast","",0,1115237,23035,580,2065.48,520.07,0.0252
"Russia","Leningrad Oblast","",0,1813816,45683,607,2518.61,334.65,0.0133
"Russia","Lipetsk Oblast","",0,1150201,34427,1012,2993.13,879.85,0.0294
"Russia","Magadan Oblast","",0,144091,3423,77,2375.58,534.38,0.0225
"Russia","Mari El Republic","",0,682333,11929,293,1748.27,429.41,0.0246
"Russia","Mordovia Republic","",0,805056,13877,444,1723.73,551.51,0.0320
"Russia","Moscow","",0,12506468,647424,7815,5176.71,624.88,0.0121
"Russia","Moscow Oblast","",0,7503385,289447,4644,3857.55,618.92,0.0160
"Russia","Murmansk Oblast","",0,753557,23633,634,3136.19,841.34,0.0268
"Russia","Nenets Autonomous Okrug","",0,43996,1601,26,3638.97,590.96,0.0162
"Russia","Nizhny Novgorod Oblast","",0,3234752,73538,2809,2273.37,868.38,0.0382
"Russia","North Ossetia - Alania Republic","",0,701764,8944,422,1274.50,601.34,0.0472
"Russia","Novgorod Oblast","",0,606476,23174,340,3821.09,560.62,0.0147
"Russia","Novosibirsk Oblast","",0,2788849,38663,1289,1386.34,462.20,0.0333
"Russia","Omsk Oblast","",0,1960080,52745,1120,2690.96,571.41,0.0212
"Russia","Orel Oblast","",0,747247,27538,529,3685.26,707.93,0.0192
"Russia","Orenburg Oblast","",0,1977720,35571,979,1798.59,495.01,0.0275
"Russia","Penza Oblast","",0,1331655,31743,1349,2383.73,1013.03,0.0425
"Russia","Perm Krai","",0,2623121,83335,1998,3176.94,761.69,0.0240
"Russia","Primorsky Krai","",0,1913037,38970,460,2037.08,240.46,0.0118
"Russia","Pskov Oblast","",0,636545,18583,542,2919.35,851.47,0.0292
"Russia","Rostov Oblast","",0,4220452,74071,2276,1755.05,539.28,0.0307
"Russia","Ryazan Oblast","",0,1121474,24258,1454,2163.05,1296.51,0.0599
"Russia","Saint Petersburg","",0,5351934,405065,6148,7568.57,1148.74,0.0152
"Russia","Sakha (Yakutiya) Republic","",0,964330,53593,430,5557.54,445.91,0.0080
"Russia","Sakhalin Oblast","",0,490181,12514,300,2552.93,612.02,0.0240
"Russia","Samara Oblast","",0,3193513,101693,2083,3184.36,652.26,0.0205
"Russia","Saratov Oblast","",0,2462950,48293,1496,1960.78,607.40,0.0310
"Russia","Smolensk Oblast","",0,949348,31561,681,3324.49,717.33,0.0216
"Russia","Stavropol Krai","",0,2800674,52144,2421,1861.84,864.43,0.0464
"Russia","Sverdlovsk Oblast","",0,4325255,83645,2518,1933.87,582.16,0.0301
"Russia","Tambov Oblast","",0,1033552,22704,842,2196.70,814.67,0.0371
"Russia","Tatarstan Republic","",0,3894284,22150,616,568.78,158.18,0.0278
"Russia","Tomsk Oblast","",0,1078280,22761,116,2110.86,107.58,0.0051
"Russia","Tula Oblast","",0,1491855,34826,1160,2334.41,777.56,0.0333
"Russia","Tver Oblast","",0,1283873,36943,607,2877.47,472.79,0.0164
"Russia","Tyumen Oblast","",0,3692400,40041,1378,1084.42,373.20,0.0344
"Russia","Tyva Republic","",0,321721,8353,51,2596.35,158.52,0.0061
"Russia","Udmurt Republic","",0,1513044,30626,684,2024.13,452.07,0.0223
"Russia","Ulyanovsk Oblast","",0,1246618,35959,1035,2884.52,830.25,0.0288
"Russia","Vladimir Oblast","",0,1378337,31637,870,2295.30,631.20,0.0275
