Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"Sweden","Blekinge","",0,159606,12715,10,7966.49,62.65,0.0008
"Sweden","Dalarna","",0,287966,32614,27,11325.64,93.76,0.0008
"Sweden","Gavleborg","",0,287382,29640,32,10313.80,111.35,0.0011
"Sweden","Gotland","",0,59686,5769,2,9665.58,33.51,0.0003
"Sweden","Halland","",0,333848,53369,34,15986.02,101.84,0.0006
"Sweden","Jamtland Harjedalen","",0,130810,16731,17,12790.31,129.96,0.0010
"Sweden","Jonkoping","",0,363599,35206,32,9682.64,88.01,0.0009
"Sweden","Kalmar","",0,245445,25988,21,10588.12,85.56,0.0008
"Sweden","Kronoberg","",0,201468,21140,18,10492.98,89.34,0.0009
"Sweden","Norrbotten","",0,250093,15391,18,6154.11,71.97,0.0012
"Sweden","Orebro","",0,304805,46120,26,15130.99,85.30,0.0006
"Sweden","Ostergotland","",0,465495,40892,30,8784.63,64.45,0.0007
"Sweden","Skane","",0,1377826,147982,181,10740.25,131.37,0.0012
"Sweden","Sormland","",0,297540,30136,27,10128.39,90.74,0.0009
"Sweden","Stockholm","",0,2377081,263584,312,11088.56,131.25,0.0012
"Sweden","Uppsala","",0,383713,39718,41,10350.97,106.85,0.0010
"Sweden","Varmland","",0,282414,34344,18,12160.87,63.74,0.0005
"Sweden","Vasterbotten","",0,271736,21504,14,7913.56,51.52,0.0007
"Sweden","Vasternorrland","",0,245346,20740,8,8453.37,32.61,0.0004
"Sweden","Vastmanland","",0,275845,38240,37,13862.86,134.13,0.0010
"Sweden","Vastra Gotaland","",0,1725881,191517,231,11096.77,133.84,0.0012
