Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Arkansas","Arkansas",5001,17486,2006,9,11472.03,514.70,0.0045
"US","Arkansas","Ashley",5003,19656,1700,6,8648.76,305.25,0.0035
"US","Arkansas","Baxter",5005,41932,2385,39,5687.78,930.08,0.0164
"US","Arkansas","Benton",5007,279141,21525,124,7711.16,444.22,0.0058
"US","Arkansas","Boone",5009,37432,2810,21,7506.95,561.02,0.0075
"US","Arkansas","Bradley",5011,10763,944,2,8770.79,185.82,0.0021
"US","Arkansas","Calhoun",5013,5189,275,1,5299.67,192.72,0.0036
"US","Arkansas","Carroll",5015,28380,1536,12,5412.26,422.83,0.0078
"US","Arkansas","Chicot",5017,10117,669,4,6612.63,395.37,0.0060
"US","Arkansas","Clark",5019,22320,1730,12,7750.90,537.63,0.0069
"US","Arkansas","Clay",5021,14551,1205,7,8281.22,481.07,0.0058
"US","Arkansas","Cleburne",5023,24919,2363,17,9482.72,682.21,0.0072
"US","Arkansas","Cleveland",5025,7955,764,0,9604.02,0.00,0.0000
"US","Arkansas","Columbia",5027,23457,1644,3,7008.57,127.89,0.0018
"US","Arkansas","Conway",5029,20845,2060,6,9882.47,287.84,0.0029
"US","Arkansas","Craighead",5031,110331,13630,33,12353.74,299.10,0.0024
"US","Arkansas","Crawford",5033,63257,4513,39,7134.39,616.53,0.0086
"US","Arkansas","Crittenden",5035,47955,4648,30,9692.42,625.59,0.0065
"US","Arkansas","Cross",5037,16419,1589,11,9677.81,669.96,0.0069
"US","Arkansas","Dallas",5039,7009,524,3,7476.10,428.02,0.0057
"US","Arkansas","Desha",5041,11361,1027,2,9039.70,176.04,0.0019
"US","Arkansas","Drew",5043,18219,1579,4,8666.78,219.55,0.0025
"US","Arkansas","Faulkner",5045,126007,14144,48,11224.77,380.93,0.0034
"US","Arkansas","Franklin",5047,17715,950,14,5362.69,790.29,0.0147
"US","Arkansas","Fulton",5049,12476,880,18,7053.54,1442.77,0.0205
"US","Arkansas","Garland",5051,99386,5906,48,5942.49,482.97,0.0081
