Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Idaho","Ada",16001,481587,28042,153,5822.83,317.70,0.0055
"US","Idaho","Adams",16003,4293,117,2,2725.37,465.87,0.0171
"US","Idaho","Bannock",16005,87808,6378,43,7263.58,489.70,0.0067
"US","Idaho","Bear Lake",16007,6125,179,2,2922.45,326.53,0.0112
"US","Idaho","Benewah",16009,9298,699,9,7517.75,967.95,0.0129
"US","Idaho","Bingham",16011,46811,2633,19,5624.75,405.89,0.0072
"US","Idaho","Blaine",16013,23021,1895,2,8231.61,86.88,0.0011
"US","Idaho","Boise",16015,7830,182,3,2324.39,383.14,0.0165
"US","Idaho","Bonner",16017,45738,2129,62,4654.77,1355.55,0.0291
"US","Idaho","Bonneville",16019,119061,10136,54,8513.28,453.55,0.0053
"US","Idaho","Boundary",16021,12245,377,23,3078.81,1878.32,0.0610
"US","Idaho","Butte",16023,2597,105,3,4043.13,1155.18,0.0286
"US","Idaho","Camas",16025,1106,22,1,1989.15,904.16,0.0455
"US","Idaho","Canyon",16027,229849,12352,115,5373.96,500.33,0.0093
"US","Idaho","Caribou",16029,7155,426,3,5953.88,419.29,0.0070
"US","Idaho","Cassia",16031,24030,489,11,2034.96,457.76,0.0225
"US","Idaho","Clark",16033,845,21,0,2485.21,0.00,0.0000
"US","Idaho","Clearwater",16035,8755,514,5,5870.93,571.10,0.0097
"US","Idaho","Custer",16037,4315,128,1,2966.40,231.75,0.0078
"US","Idaho","Elmore",16039,27510,1436,12,5219.92,436.21,0.0084
"US","Idaho","Franklin",16041,13875,566,4,4079.28,288.29,0.0071
"US","Idaho","Fremont",16043,13099,672,6,5130.16,458.05,0.0089
"US","Idaho","Gem",16045,18112,532,16,2937.28,883.39,0.0301
"US","Idaho","Gooding",16047,15179,367,7,2417.81,461.16,0.0191
"US","Idaho","Idaho",16049,16667,691,8,4145.92,479.99,0.0116
"US","Idaho","Jefferson",16051,29871,1673,12,5600.75,401.73,0.0072
"US","Idaho","Jerome",16053,24412,636,8,2605.28,327.71,0.0126
"US","Idaho","Kootenai",16055,165697,7739,132,4670.57,796.63,0.0171
"US","Idaho","Latah",16057,40108,1840,10,4587.61,249.33,0.0054
"US","Idaho","Lemhi",16059,8027,362,6,4509.78,747.48,0.0166
"US","Idaho","Lewis",16061,3838,304,4,7920.79,1042.21,0.0132
"US","Idaho","Lincoln",16063,5366,184,2,3429.00,372.72,0.0109
"US","Idaho","Madison",16065,39906,3678,5,9216.66,125.29,0.0014
"US","Idaho","Minidoka",16067,21039,427,8,2029.56,380.25,0.0187
"US","Idaho","Nez Perce",16069,40408,2331,30,5768.66,742.43,0.0129
"US","Idaho","Oneida",16071,4531,212,1,4678.88,220.70,0.0047
"US","Idaho","Owyhee",16073,11823,389,9,3290.20,761.23,0.0231
"US","Idaho","Payette",16075,23951,861,14,3594.84,584.53,0.0163
"US","Idaho","Power",16077,7681,362,3,4712.93,390.57,0.0083
"US","Idaho","Shoshone",16079,12882,456,10,3539.82,776.28,0.0219
"US","Idaho","Teton",16081,12142,975,3,8029.98,247.08,0.0031
"US","Idaho","Twin Falls",16083,86878,3308,50,3807.64,575.52,0.0151
"US","Idaho","Unassigned",90016,-1,-2,0,0.00,0.00,0.0000
"US","Idaho","Valley",16085,11392,833,4,7312.15,351.12,0.0048
"US","Idaho","Washington",16087,10194,251,6,2462.23,588.58,0.0239
