Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Kentucky","Adair",21001,19202,1615,19,8410.58,989.48,0.0118
"US","Kentucky","Allen",21003,21315,2312,20,10846.82,938.31,0.0087
"US","Kentucky","Anderson",21005,22747,2203,13,9684.79,571.50,0.0059
"US","Kentucky","Ballard",21007,7888,499,6,6326.06,760.65,0.0120
"US","Kentucky","Barren",21009,44249,3860,46,8723.36,1039.57,0.0119
"US","Kentucky","Bath",21011,12500,907,4,7256.00,320.00,0.0044
"US","Kentucky","Bell",21013,26031,2250,28,8643.54,1075.64,0.0124
"US","Kentucky","Boone",21015,133581,14254,53,10670.68,396.76,0.0037
"US","Kentucky","Bourbon",21017,19788,2230,11,11269.46,555.89,0.0049
"US","Kentucky","Boyd",21019,46718,6275,43,13431.65,920.42,0.0069
"US","Kentucky","Boyle",21021,30060,2310,39,7684.63,1297.41,0.0169
"US","Kentucky","Bracken",21023,8303,885,13,10658.80,1565.70,0.0147
"US","Kentucky","Breathitt",21025,12629,1051,20,8322.12,1583.66,0.0190
"US","Kentucky","Breckinridge",21027,20477,1980,27,9669.39,1318.55,0.0136
"US","Kentucky","Bullitt",21029,81676,7924,48,9701.75,587.69,0.0061
"US","Kentucky","Butler",21031,12878,973,12,7555.52,931.82,0.0123
"US","Kentucky","Caldwell",21033,12747,1235,8,9688.55,627.60,0.0065
"US","Kentucky","Calloway",21035,39000,2471,12,6335.90,307.69,0.0049
"US","Kentucky","Campbell",21037,93583,8825,37,9430.13,395.37,0.0042
"US","Kentucky","Carlisle",21039,4760,286,5,6008.40,1050.42,0.0175
"US","Kentucky","Carroll",21041,10631,1396,12,13131.41,1128.77,0.0086
"US","Kentucky","Carter",21043,26796,3005,31,11214.36,1156.89,0.0103
"US","Kentucky","Casey",21045,16159,913,12,5650.10,742.62,0.0131
"US","Kentucky","Christian",21047,70461,3966,55,5628.65,780.57,0.0139
"US","Kentucky","Clark",21049,36263,3749,10,10338.36,275.76,0.0027
"US","Kentucky","Clay",21051,19901,1880,12,9446.76,602.98,0.0064
"US","Kentucky","Clinton",21053,10218,1023,8,10011.74,782.93,0.0078
"US","Kentucky","Crittenden",21055,8806,622,4,7063.37,454.24,0.0064
"US","Kentucky","Cumberland",21057,6614,801,6,12110.67,907.17,0.0075
"US","Kentucky","Daviess",21059,101511,12362,76,12177.99,748.69,0.0061
"US","Kentucky","Edmonson",21061,12150,753,7,6197.53,576.13,0.0093
"US","Kentucky","Elliott",21063,7516,473,7,6293.24,931.35,0.0148
"US","Kentucky","Estill",21065,14105,1179,28,8358.74,1985.11,0.0237
"US","Kentucky","Fayette",21067,323152,35477,105,10978.43,324.92,0.0030
"US","Kentucky","Fleming",21069,14581,1209,9,8291.61,617.24,0.0074
"US","Kentucky","Floyd",21071,35589,3466,41,9738.96,1152.04,0.0118
"US","Kentucky","Franklin",21073,50991,5138,44,10076.29,862.90,0.0086
"US","Kentucky","Fulton",21075,5969,343,6,5746.36,1005.19,0.0175
"US","Kentucky","Gallatin",21077,8869,839,4,9459.92,451.01,0.0048
"US","Kentucky","Garrard",21079,17666,1616,15,9147.52,849.09,0.0093
"US","Kentucky","Grant",21081,25069,2184,11,8711.96,438.79,0.0050
"US","Kentucky","Graves",21083,37265,3564,18,9563.93,483.03,0.0051
"US","Kentucky","Grayson",21085,26427,2494,22,9437.32,832.48,0.0088
"US","Kentucky","Green",21087,10941,875,5,7997.44,457.00,0.0057
"US","Kentucky","Greenup",21089,35098,4476,33,12752.86,940.22,0.0074
"US","Kentucky","Hancock",21091,8722,924,1,10593.90,114.65,0.0011
"US","Kentucky","Hardin",21093,110958,12649,101,11399.81,910.25,0.0080
"US","Kentucky","Harlan",21095,26010,2871,40,11038.06,1537.87,0.0139
"US","Kentucky","Harrison",21097,18886,2408,19,12750.19,1006.04,0.0079
"US","Kentucky","Hart",21099,19035,1508,25,7922.25,1313.37,0.0166
"US","Kentucky","Henderson",21101,45209,4865,41,10761.13,906.90,0.0084
"US","Kentucky","Henry",21103,16126,1919,15,11900.04,930.17,0.0078
