Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Louisiana","Acadia",22001,62045,4132,31,6659.68,499.64,0.0075
"US","Louisiana","Allen",22003,25627,2492,8,9724.12,312.17,0.0032
"US","Louisiana","Ascension",22005,126604,10514,28,8304.63,221.16,0.0027
"US","Louisiana","Assumption",22007,21890,1471,6,6719.96,274.10,0.0041
"US","Louisiana","Avoyelles",22009,40144,3264,8,8130.73,199.28,0.0025
"US","Louisiana","Beauregard",22011,37497,2418,9,6448.52,240.02,0.0037
"US","Louisiana","Bienville",22013,13241,1105,5,8345.29,377.61,0.0045
"US","Louisiana","Bossier",22015,127039,12773,36,10054.39,283.38,0.0028
"US","Louisiana","Caddo",22017,240204,22511,87,9371.62,362.19,0.0039
"US","Louisiana","Calcasieu",22019,203436,15742,49,7738.06,240.86,0.0031
"US","Louisiana","Caldwell",22021,9918,534,6,5384.15,604.96,0.0112
"US","Louisiana","Cameron",22023,6973,256,-1,3671.30,-143.41,-0.0039
"US","Louisiana","Catahoula",22025,9494,692,3,7288.81,315.99,0.0043
"US","Louisiana","Claiborne",22027,15669,968,4,6177.80,255.28,0.0041
"US","Louisiana","Concordia",22029,19259,1419,8,7367.98,415.39,0.0056
"US","Louisiana","De Soto",22031,27462,2069,16,7534.05,582.62,0.0077
"US","Louisiana","East Baton Rouge",22033,440059,38651,91,8783.14,206.79,0.0024
"US","Louisiana","East Carroll",22035,6861,613,4,8934.56,583.01,0.0065
"US","Louisiana","East Feliciana",22037,19135,2054,14,10734.26,731.64,0.0068
"US","Louisiana","Evangeline",22039,33395,1865,9,5584.67,269.50,0.0048
"US","Louisiana","Franklin",22041,20015,1588,17,7934.05,849.36,0.0107
"US","Louisiana","Grant",22043,22389,1495,6,6677.39,267.99,0.0040
"US","Louisiana","Iberia",22045,69829,4940,20,7074.42,286.41,0.0040
"US","Louisiana","Iberville",22047,32511,2447,15,7526.68,461.38,0.0061
"US","Louisiana","Jackson",22049,15743,1161,3,7374.71,190.56,0.0026
"US","Louisiana","Jefferson",22051,432492,36030,87,8330.79,201.16,0.0024
"US","Louisiana","Jefferson Davis",22053,31368,1715,14,5467.36,446.31,0.0082
"US","Louisiana","LaSalle",22059,14892,1087,3,7299.22,201.45,0.0028
"US","Louisiana","Lafayette",22055,244390,18036,45,7380.01,184.13,0.0025
"US","Louisiana","Lafourche",22057,97614,7502,23,7685.37,235.62,0.0031
"US","Louisiana","Lincoln",22061,46742,3975,12,8504.13,256.73,0.0030
"US","Louisiana","Livingston",22063,140789,9464,54,6722.12,383.55,0.0057
"US","Louisiana","Madison",22065,10951,738,5,6739.11,456.58,0.0068
"US","Louisiana","Morehouse",22067,24874,1854,10,7453.57,402.03,0.0054
"US","Louisiana","Natchitoches",22069,38158,2635,17,6905.50,445.52,0.0065
"US","Louisiana","Orleans",22071,390144,33918,74,8693.71,189.67,0.0022
"US","Louisiana","Ouachita",22073,153279,14509,77,9465.75,502.35,0.0053
"US","Louisiana","Out of LA",80022,-1,0,0,0.00,0.00,0.0000
"US","Louisiana","Plaquemines",22075,23197,2072,2,8932.19,86.22,0.0010
"US","Louisiana","Pointe Coupee",22077,21730,1471,3,6769.44,138.06,0.0020
"US","Louisiana","Rapides",22079,129648,8853,57,6828.49,439.65,0.0064
"US","Louisiana","Red River",22081,8442,552,1,6538.73,118.46,0.0018
"US","Louisiana","Richland",22083,20121,1501,6,7459.87,298.20,0.0040
"US","Louisiana","Sabine",22085,23884,1339,15,5606.26,628.04,0.0112
"US","Louisiana","St. Bernard",22087,47243,3559,7,7533.39,148.17,0.0020
"US","Louisiana","St. Charles",22089,53100,4003,8,7538.61,150.66,0.0020
"US","Louisiana","St. Helena",22091,10131,519,3,5122.89,296.12,0.0058
"US","Louisiana","St. James",22093,21096,1680,4,7963.59,189.61,0.0024
"US","Louisiana","St. John the Baptist",22095,42837,3495,8,8158.83,186.75,0.0023
"US","Louisiana","St. Landry",22097,82124,6183,22,7528.86,267.89,0.0036
"US","Louisiana","St. Martin",22099,53431,3323,12,6219.24,224.59,0.0036
"US","Louisiana","St. Mary",22101,49347,3069,30,6219.22,607.94,0.0098
"US","Louisiana","St. Tammany",22103,260418,22900,60,8793.55,230.40,0.0026
"US","Louisiana","Tangipahoa",22105,134758,9262,48,6873.06,356.19,0.0052
"US","Louisiana","Tensas",22107,4334,377,1,8698.66,230.73,0.0027
"US","Louisiana","Terrebonne",22109,110460,9014,37,8160.42,334.96,0.0041
"US","Louisiana","Unassigned",90022,-1,333,0,0.00,0.00,0.0000
"US","Louisiana","Union",22111,22108,2171,15,9819.97,678.49,0.0069
"US","Louisiana","Vermilion",22113,59511,3705,16,6225.74,268.86,0.0043
"US","Louisiana","Vernon",22115,47429,2840,12,5987.90,253.01,0.0042
"US","Louisiana","Washington",22117,46194,3885,18,8410.18,389.66,0.0046
"US","Louisiana","Webster",22119,38340,3518,10,9175.80,260.82,0.0028
"US","Louisiana","West Baton Rouge",22121,26465,2280,7,8615.15,264.50,0.0031
"US","Louisiana","West Carroll",22123,10830,1202,4,11098.80,369.34,0.0033
"US","Louisiana","West Feliciana",22125,15568,1126,2,7232.79,128.47,0.0018
"US","Louisiana","Winn",22127,13903,1335,0,9602.24,0.00,0.0000
